level,power,mode,dyad,estimate,OR,OR_lo,OR_hi,p,q_bh_old,q_bh_power,family,n_family,sig_q05_old,sig_q05_power
pooled,china,pg,todas,0.0768621717859704,1.0798932263802357,0.9486648240126276,1.22927439793677,0.244925455143099,0.489850910286198,0.815567295724748,"direction, china, pooled (4 tests)",4,False,False
pooled,china,control,todas,0.0050281826040734,1.0050408451284891,0.902636531345218,1.119062950921346,0.926930225172279,0.970399243954872,0.926930225172279,"direction, china, pooled (4 tests)",4,False,False
pooled,china,de,todas,0.0586632338361803,1.0604180676769368,0.8854412074301973,1.2699730584250408,0.523734216418735,0.815567295724748,0.815567295724748,"direction, china, pooled (4 tests)",4,False,False
pooled,china,he,todas,0.0445130448393888,1.0455186152439129,0.8804366163215603,1.2415535139696132,0.611675471793561,0.815567295724748,0.815567295724748,"direction, china, pooled (4 tests)",4,False,False
pooled,usa,pg,todas,0.170201574397227,1.1855438025137128,1.09436902848171,1.2843145877662818,3.06330537727317e-05,0.0001225322150909,6.12661075454634e-05,"direction, usa, pooled (4 tests)",4,True,True
pooled,usa,control,todas,0.0013115905424883,1.0013124510535354,0.9342923624310036,1.0731401271717895,0.970399243954872,0.970399243954872,0.970399243954872,"direction, usa, pooled (4 tests)",4,False,False
pooled,usa,de,todas,0.233522367876481,1.2630410791218,1.1385604851030735,1.401131330677387,1.02761981442669e-05,8.22095851541352e-05,4.11047925770676e-05,"direction, usa, pooled (4 tests)",4,True,True
pooled,usa,he,todas,-0.134513162944582,0.8741413725264001,0.7882728170731456,0.969363807316768,0.0107779032138438,0.0287410752369168,0.0143705376184584,"direction, usa, pooled (4 tests)",4,True,True
by_dyad,china,pg,cn_ally,0.24223230545155,1.2740901365246764,1.117944382896091,1.4520451113893635,0.0002818576594809,0.0030064817011296,0.0045097225516944,"direction, china, by_dyad (16 tests)",16,True,True
by_dyad,china,pg,cn_rival,-0.0444476832416073,0.9565256411054798,0.79566630229975,1.1499058078088178,0.636116122925127,0.7019212390897953,0.7269898547715737,"direction, china, by_dyad (16 tests)",16,False,False
by_dyad,china,pg,cn_neutral,0.226438599975815,1.2541256041274274,1.0813978876628645,1.4544424849277386,0.002743937805325,0.0146343349617333,0.0219515024426,"direction, china, by_dyad (16 tests)",16,True,True
by_dyad,china,pg,cn_us,-0.133115688063983,0.8753638171054479,0.7404826817625062,1.034813954694462,0.118957024799056,0.2537751872791595,0.38066247935697917,"direction, china, by_dyad (16 tests)",16,False,False
by_dyad,china,control,cn_ally,0.0240796831965849,1.024371939869289,0.8997425941019661,1.166264527288402,0.715997169559079,0.763730314196351,0.763730314196351,"direction, china, by_dyad (16 tests)",16,False,False
by_dyad,china,control,cn_rival,0.0453258628827038,1.046368777105649,0.9138921256197008,1.1980490771371282,0.511648805950566,0.6681703458026252,0.682198407934088,"direction, china, by_dyad (16 tests)",16,False,False
by_dyad,china,control,cn_neutral,-0.0576084308781142,0.9440195239707412,0.8230389229494406,1.0827833736518069,0.410327461536034,0.5968399440524131,0.6565239384576544,"direction, china, by_dyad (16 tests)",16,False,False
by_dyad,china,control,cn_us,0.0365593162939233,1.0372358271782611,0.8986254104268715,1.1972265069503325,0.617408414297923,0.7019212390897953,0.7269898547715737,"direction, china, by_dyad (16 tests)",16,False,False
by_dyad,china,de,cn_ally,0.210132298346582,1.2338412843212088,1.0540164476395444,1.4443458812286318,0.008933795260597,0.035735181042388,0.047646908056517334,"direction, china, by_dyad (16 tests)",16,True,True
by_dyad,china,de,cn_rival,-0.0056366391901052,0.9943792168549844,0.8226465063139149,1.20196222718269,0.953532369975623,0.953532369975623,0.953532369975623,"direction, china, by_dyad (16 tests)",16,False,False
by_dyad,china,de,cn_neutral,0.121941848566673,1.1296884068701385,0.9137500049069496,1.3966576084962652,0.259893746094028,0.3960285654766141,0.4620333263893831,"direction, china, by_dyad (16 tests)",16,False,False
by_dyad,china,de,cn_us,-0.119407656734389,0.8874459536928347,0.7287778144257444,1.0806590227315844,0.234776831325492,0.3781036486969968,0.4620333263893831,"direction, china, by_dyad (16 tests)",16,False,False
by_dyad,china,he,cn_ally,-0.119485717772219,0.8873766814444384,0.7281548510935003,1.0814147204936106,0.236314780435623,0.3781036486969968,0.4620333263893831,"direction, china, by_dyad (16 tests)",16,False,False
by_dyad,china,he,cn_rival,0.0969484517102961,1.101803576067179,0.8368962586746755,1.450563445171676,0.489585035156141,0.6681703458026252,0.682198407934088,"direction, china, by_dyad (16 tests)",16,False,False
by_dyad,china,he,cn_neutral,0.160191654472619,1.17373580115265,0.916307453226056,1.50348633098762,0.204761589929125,0.3781036486969968,0.4620333263893831,"direction, china, by_dyad (16 tests)",16,False,False
by_dyad,china,he,cn_us,0.229501094554207,1.2579722441413554,1.020214055805099,1.5511393496546342,0.0317742640590146,0.0847313708240389,0.1270970562360584,"direction, china, by_dyad (16 tests)",16,False,False
by_dyad,usa,pg,us_ally,0.144692396674318,1.1556840233380996,1.016379204282638,1.314081945174793,0.0272504692109979,0.0847313708240389,0.063547936086382,"direction, usa, by_dyad (16 tests)",16,False,False
by_dyad,usa,pg,us_rival,0.132903336742972,1.1421395900620128,1.0128470351968415,1.2879366753870225,0.0301390050389857,0.0847313708240389,0.063547936086382,"direction, usa, by_dyad (16 tests)",16,False,False
by_dyad,usa,pg,us_neutral,0.274309456306458,1.3156218667347137,1.1604444152116569,1.491550024750505,1.83713705169069e-05,0.0002939419282705,0.0001469709641352552,"direction, usa, by_dyad (16 tests)",16,True,True
by_dyad,usa,pg,us_cn,0.133115693638384,1.1423821570339583,0.966357238696632,1.350470551107704,0.118957119037106,0.2537751872791595,0.1903313904593696,"direction, usa, by_dyad (16 tests)",16,False,False
by_dyad,usa,control,us_ally,0.022048704624382,1.0222935736824603,0.8889855728702316,1.1755918011337745,0.757097988839178,0.7815205046081838,0.757097988839178,"direction, usa, by_dyad (16 tests)",16,False,False
by_dyad,usa,control,us_rival,-0.0889608870057211,0.9148813566239238,0.7994292355589893,1.0470068637316794,0.196158969979119,0.3781036486969968,0.2853221381514458,"direction, usa, by_dyad (16 tests)",16,False,False
by_dyad,usa,control,us_neutral,0.116073656975276,1.123078591658841,0.9786578136327292,1.288811579974519,0.0983692034436981,0.2421395777075645,0.17487858389990774,"direction, usa, by_dyad (16 tests)",16,False,False
by_dyad,usa,control,us_cn,-0.0365593542602111,0.9641008687042304,0.8352638951991559,1.1128105624805311,0.617407770338939,0.7019212390897953,0.6585682883615349,"direction, usa, by_dyad (16 tests)",16,False,False
by_dyad,usa,de,us_ally,0.196666231439583,1.217337663852167,1.0618419628945184,1.3956040913974146,0.0047934555346423,0.0219129395869362,0.01533905771085536,"direction, usa, by_dyad (16 tests)",16,True,True
