fit,term,estimate,se,z,p
A_control,(Intercept),-2.46371399770547,0.300743208235929,-8.19208524161489,2.56738693905228e-16
A_control,ctx1,-0.847257200417134,0.563982738173861,-1.50227505749644,0.133026087500626
A_control,ctx2,0.910967392767899,0.532662709907574,1.71021431728526,0.0872262491286139
A_control,ctx3,0.788934922956754,0.54399814301818,1.45025297068043,0.146987988465911
A_control,ctx4,-0.280979629910835,0.553233517917505,-0.507886129113264,0.611533202869708
A_control,ctx5,0.735171062959545,0.541652527809374,1.35727431372438,0.174694065772936
A_control,ctx6,-0.437711599659377,0.560645838203778,-0.780727457215659,0.43496280803187
A_control,ctx7,-0.369627376177331,0.560079030410074,-0.65995574929256,0.509282226657957
A_he,(Intercept),-4.81049465073838,0.316709537875615,-15.1889794131418,4.18382963812214e-52
A_he,ctx1,0.392193910935372,0.513478092778502,0.763798721797761,0.44498719866642
A_he,ctx2,0.35570723768402,0.514039844351076,0.691983786068306,0.488947511312757
A_he,ctx3,1.16996507996147,0.473269766869946,2.47208920125882,0.0134325994838866
A_he,ctx4,-0.292758869512704,0.570651020251395,-0.513026103736277,0.607933061002362
A_he,ctx5,-0.139776023336935,0.553565115902016,-0.252501502211126,0.800653453121572
A_he,ctx6,0.386956840426984,0.507265923756515,0.762828375226563,0.445565756285145
A_he,ctx7,-1.19293954237098,0.710134635031152,-1.67987798865584,0.0929810572414429
A_de,(Intercept),-2.94287558903012,0.33507133352308,-8.78283307046143,1.5940766659275599e-18
A_de,ctx1,-0.244499022946674,0.439403115208152,-0.556434432265805,0.577913905926286
A_de,ctx2,0.439394201059341,0.434088098104657,1.01222356240093,0.311431172635489
A_de,ctx3,0.420375021447548,0.428654550450686,0.980684845187264,0.326748179514556
A_de,ctx4,-0.458183506668799,0.456796730400287,-1.00303587170446,0.315843553835037
A_de,ctx5,-0.733312375621707,0.455674525888624,-1.60928981972748,0.10755298407488
A_de,ctx6,-0.444674249196889,0.452847805070097,-0.981950766280202,0.326124103861516
A_de,ctx7,0.75800611827661,0.426650661906184,1.77664348366413,0.0756269164286433
A_pg,(Intercept),-2.07587258132626,0.305471120854275,-6.79564266344036,1.0783074975387299e-11
A_pg,ctx1,-0.418192983171304,0.482744683073401,-0.866281903943246,0.386335587477345
A_pg,ctx2,-0.009141617272292,0.488709189891939,-0.0187056381614461,0.985075930440318
A_pg,ctx3,0.913664923615433,0.482326082903141,1.89428885561412,0.0581866794412485
A_pg,ctx4,-0.345399142632302,0.495997446166577,-0.696372824702614,0.486195377108807
A_pg,ctx5,0.633686219585182,0.475504585169349,1.33266058698361,0.182643212794704
A_pg,ctx6,0.245463529892591,0.482396260718519,0.50884210737243,0.610862901945545
A_pg,ctx7,-0.66810477263128,0.494806968615132,-1.35023315152811,0.176941207408352
