kind,term,ctx,estimate,se,z,p,p_bh,df,fit,sd_prompt,sd_model,sd_model_ctx,singular,messages,optimizer,formula_used,variant,fit_seconds,loglik,nobs,n_prompts,n_models,error,lme4_version,r_version
coef,(Intercept),,-2.46371399770547,0.300743208235929,-8.19208524161489,2.56738693905228e-16,,,A_control,2.63869596035702,1.05649810714891,0.270666504024404,False,,bobyqa,refuse ~ ctx + (1 | model) + (1 | model_ctx) + (1 | prompt_id),1,2.4,-1479.77338393569,4607,192,24,,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
coef,ctx1,,-0.847257200417134,0.563982738173861,-1.50227505749644,0.133026087500626,,,A_control,2.63869596035702,1.05649810714891,0.270666504024404,False,,bobyqa,refuse ~ ctx + (1 | model) + (1 | model_ctx) + (1 | prompt_id),1,2.4,-1479.77338393569,4607,192,24,,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
coef,ctx2,,0.910967392767899,0.532662709907574,1.71021431728526,0.0872262491286139,,,A_control,2.63869596035702,1.05649810714891,0.270666504024404,False,,bobyqa,refuse ~ ctx + (1 | model) + (1 | model_ctx) + (1 | prompt_id),1,2.4,-1479.77338393569,4607,192,24,,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
coef,ctx3,,0.788934922956754,0.54399814301818,1.45025297068043,0.146987988465911,,,A_control,2.63869596035702,1.05649810714891,0.270666504024404,False,,bobyqa,refuse ~ ctx + (1 | model) + (1 | model_ctx) + (1 | prompt_id),1,2.4,-1479.77338393569,4607,192,24,,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
coef,ctx4,,-0.280979629910835,0.553233517917505,-0.507886129113264,0.611533202869708,,,A_control,2.63869596035702,1.05649810714891,0.270666504024404,False,,bobyqa,refuse ~ ctx + (1 | model) + (1 | model_ctx) + (1 | prompt_id),1,2.4,-1479.77338393569,4607,192,24,,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
coef,ctx5,,0.735171062959545,0.541652527809374,1.35727431372438,0.174694065772936,,,A_control,2.63869596035702,1.05649810714891,0.270666504024404,False,,bobyqa,refuse ~ ctx + (1 | model) + (1 | model_ctx) + (1 | prompt_id),1,2.4,-1479.77338393569,4607,192,24,,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
coef,ctx6,,-0.437711599659377,0.560645838203778,-0.780727457215659,0.43496280803187,,,A_control,2.63869596035702,1.05649810714891,0.270666504024404,False,,bobyqa,refuse ~ ctx + (1 | model) + (1 | model_ctx) + (1 | prompt_id),1,2.4,-1479.77338393569,4607,192,24,,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
coef,ctx7,,-0.369627376177331,0.560079030410074,-0.65995574929256,0.509282226657957,,,A_control,2.63869596035702,1.05649810714891,0.270666504024404,False,,bobyqa,refuse ~ ctx + (1 | model) + (1 | model_ctx) + (1 | prompt_id),1,2.4,-1479.77338393569,4607,192,24,,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
omnibus,ctx,,9.84324341817744,,,0.197632139446297,,7.0,A_control,2.63869596035702,1.05649810714891,0.270666504024404,False,,bobyqa,refuse ~ ctx + (1 | model) + (1 | model_ctx) + (1 | prompt_id),1,2.4,-1479.77338393569,4607,192,24,,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
ctx_dev,ctx,1.0,-0.847257200417134,0.563982738173861,-1.50227505749644,0.133026087500626,0.349388131545873,,A_control,2.63869596035702,1.05649810714891,0.270666504024404,False,,bobyqa,refuse ~ ctx + (1 | model) + (1 | model_ctx) + (1 | prompt_id),1,2.4,-1479.77338393569,4607,192,24,,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
ctx_dev,ctx,2.0,0.910967392767899,0.532662709907574,1.71021431728526,0.0872262491286139,0.349388131545873,,A_control,2.63869596035702,1.05649810714891,0.270666504024404,False,,bobyqa,refuse ~ ctx + (1 | model) + (1 | model_ctx) + (1 | prompt_id),1,2.4,-1479.77338393569,4607,192,24,,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
