quantity,kind,estimate,se,z,p,df,sd_model,sd_model_r1,sd_model_r2,sd_prompt,singular,messages,optimizer,variant,formula_used,nobs,n_models,n_prompts,seconds,lme4_version,r_version
r1 (promedio),contraste,-1.11746620950022,0.532713761641689,-2.09768601820324,0.0359328907987316,,1.67557217297773,1.47409852375612,1.30833828006468,2.60173590217824,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,40.51,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
r1 en modelos US,contraste,-0.401920448777783,0.753349284242393,-0.533511423166712,0.593679605701386,,1.67557217297773,1.47409852375612,1.30833828006468,2.60173590217824,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,40.51,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
r1 en modelos CN,contraste,-1.83301197022266,0.749371377164899,-2.44606616435966,0.0144424493821543,,1.67557217297773,1.47409852375612,1.30833828006468,2.60173590217824,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,40.51,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
r1 x origen (US - CN),contraste,1.43109152144488,1.05974025241817,1.35041725383115,0.176882179451897,,1.67557217297773,1.47409852375612,1.30833828006468,2.60173590217824,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,40.51,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
r1 en he,contraste,-0.433427038155255,0.591643545854871,-0.732581367940036,0.463813798493978,,1.67557217297773,1.47409852375612,1.30833828006468,2.60173590217824,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,40.51,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
r1 en de,contraste,-1.83801662224807,0.548789573351509,-3.34921928458504,0.0008103962918995,,1.67557217297773,1.47409852375612,1.30833828006468,2.60173590217824,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,40.51,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
r1 en pg,contraste,-1.15123006547321,0.539732252902293,-2.13296511239178,0.0329275882355659,,1.67557217297773,1.47409852375612,1.30833828006468,2.60173590217824,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,40.51,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
r1 en ctl,contraste,-1.04719111212437,0.542507711022617,-1.93027876073951,0.053572307236834,,1.67557217297773,1.47409852375612,1.30833828006468,2.60173590217824,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,40.51,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
r1 en pg - en ctl,contraste,-0.10403895334884,0.192607524574288,-0.540160378359011,0.589086434530611,,1.67557217297773,1.47409852375612,1.30833828006468,2.60173590217824,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,40.51,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
r1 en de - en ctl,contraste,-0.790825510123703,0.212394342436262,-3.72338312335709,0.0001965708805944,,1.67557217297773,1.47409852375612,1.30833828006468,2.60173590217824,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,40.51,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
r1 en he - en ctl,contraste,0.61376407396911,0.305441255797023,2.00943409680381,0.0444911172526547,,1.67557217297773,1.47409852375612,1.30833828006468,2.60173590217824,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,40.51,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
r2 (promedio),contraste,-1.49139384902518,0.478447550054989,-3.11715223299561,0.0018260725064319,,1.67557217297773,1.47409852375612,1.30833828006468,2.60173590217824,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,40.51,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
r2 en modelos US,contraste,-0.811631095566821,0.675181991737624,-1.20209233288056,0.229327756588891,,1.67557217297773,1.47409852375612,1.30833828006468,2.60173590217824,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,40.51,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
r2 en modelos CN,contraste,-2.17115660248355,0.670473210539538,-3.23824512054164,0.001202674296724,,1.67557217297773,1.47409852375612,1.30833828006468,2.60173590217824,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,40.51,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
r2 x origen (US - CN),contraste,1.35952550691673,0.946129940030163,1.43693318369503,0.150736979877576,,1.67557217297773,1.47409852375612,1.30833828006468,2.60173590217824,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,40.51,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
r2 en he,contraste,-1.16468797397771,0.574187758619822,-2.02840962123135,0.04251845896057,,1.67557217297773,1.47409852375612,1.30833828006468,2.60173590217824,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,40.51,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
r2 en de,contraste,-1.95328063613866,0.495755307175281,-3.94000953266255,8.14783713976412e-05,,1.67557217297773,1.47409852375612,1.30833828006468,2.60173590217824,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,40.51,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
r2 en pg,contraste,-1.47819549258806,0.485278946000756,-3.04607381954245,0.0023185090461833,,1.67557217297773,1.47409852375612,1.30833828006468,2.60173590217824,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,40.51,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
r2 en ctl,contraste,-1.36941129339631,0.488777262217111,-2.8017082611098,0.0050832819306191,,1.67557217297773,1.47409852375612,1.30833828006468,2.60173590217824,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,40.51,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
r2 en pg - en ctl,contraste,-0.108784199191748,0.201927267564165,-0.538729615390752,0.590073435735075,,1.67557217297773,1.47409852375612,1.30833828006468,2.60173590217824,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,40.51,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
r2 en de - en ctl,contraste,-0.583869342742345,0.222071195176365,-2.62919890298535,0.0085586285570855,,1.67557217297773,1.47409852375612,1.30833828006468,2.60173590217824,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,40.51,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
r2 en he - en ctl,contraste,0.204723319418596,0.364241420574459,0.56205392318018,0.574079280363978,,1.67557217297773,1.47409852375612,1.30833828006468,2.60173590217824,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,40.51,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
"omnibus nivel (r1, r2)",omnibus,13.8553801700972,,,0.000980262578397,2.0,1.67557217297773,1.47409852375612,1.30833828006468,2.60173590217824,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,40.51,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
omnibus nivel x origen,omnibus,3.83067428081156,,,0.1472921660737,2.0,1.67557217297773,1.47409852375612,1.30833828006468,2.60173590217824,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,40.51,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
omnibus nivel x modo,omnibus,27.6038961033007,,,0.0001115515382452,6.0,1.67557217297773,1.47409852375612,1.30833828006468,2.60173590217824,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,40.51,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
