factor,bloc,mode,level,rate,lo,hi
scale,all,he,individual,2.408854166666667,1.0030864197530864,4.22303245146555
scale,all,he,group,3.5807291666666665,1.147221248246845,7.2370107962213215
scale,all,he,society,3.2552083333333335,2.0220124034462272,4.605346225412013
scale,all,de,individual,11.848958333333332,8.212515984654733,15.983606557377048
scale,all,de,group,9.70568783068783,6.249319834213211,13.966091886377901
scale,all,de,society,22.0703125,16.292940061596784,27.84731359649123
scale,all,pg,individual,13.802083333333334,9.30978732638889,18.94981771984092
scale,all,pg,group,15.755208333333334,11.131322553897183,20.75497473966388
scale,all,pg,society,41.34114583333333,33.33333333333333,49.088683197463766
scale,all,control,individual,20.38690476190476,14.146630525365017,27.46562244300705
scale,all,control,group,21.158854166666664,14.763287298598032,27.884615384615387
scale,all,control,society,19.270833333333336,12.75233957219251,26.30992965367965
scale,US,he,individual,2.213541666666667,0.9803921568627451,3.654970760233918
scale,US,he,group,3.2552083333333335,0.9950248756218906,6.753694581280777
scale,US,he,society,2.604166666666667,1.328502415458937,4.09841486685749
scale,US,de,individual,9.895833333333332,6.56544957774466,13.829787234042554
scale,US,de,group,8.083250661375661,5.2995454791996455,11.553171111086954
scale,US,de,society,17.96875,12.878787878787879,23.30733884359903
scale,US,pg,individual,11.848958333333332,8.055555555555555,16.38888888888889
scale,US,pg,group,15.755208333333334,11.338661202185794,20.546026216343883
scale,US,pg,society,37.36979166666667,30.43478260869566,44.140625
scale,US,control,individual,19.289434523809522,13.51123562817111,25.980014513511918
scale,US,control,group,21.614583333333336,15.138621794871796,28.57142857142857
scale,US,control,society,19.401041666666664,12.978093286494927,26.316107297228577
scale,CN,he,individual,2.604166666666667,0.7936507936507936,4.97316843203338
scale,CN,he,group,3.90625,1.1298480684073908,7.804639804639797
scale,CN,he,society,3.90625,2.1929824561403506,5.797101449275362
scale,CN,de,individual,13.802083333333334,9.35672514619883,18.683562063761542
scale,CN,de,group,11.328125,6.818181818181819,16.666666666666664
scale,CN,de,society,26.171875,19.27841262437811,33.18719751966122
scale,CN,pg,individual,15.755208333333334,10.256147540983605,21.969696969696965
scale,CN,pg,group,15.755208333333334,10.752232549662839,21.32363326686607
scale,CN,pg,society,45.3125,35.50193867107542,54.80297633669041
scale,CN,control,individual,21.484375,14.523719336219335,29.32153103808033
scale,CN,control,group,20.703125,14.03490497076023,27.592881944444436
scale,CN,control,society,19.140625,12.294908307863295,26.640027322404357
standing,all,he,low,2.213541666666667,1.092896174863388,3.5000603864734297
standing,all,he,med,1.1067708333333335,0.4628218157181578,1.858974358974359
standing,all,he,high,5.924479166666666,3.0472636815920398,9.615660919540227
standing,all,de,low,17.3828125,12.5,22.488340822440083
standing,all,de,med,10.416666666666668,6.723408479960898,14.679563492063489
standing,all,de,high,15.823412698412698,10.836120640365925,21.256518994290722
standing,all,pg,low,20.182291666666664,13.954511449388498,26.923491379310338
standing,all,pg,med,21.549479166666664,15.131087981146898,28.370170985060682
standing,all,pg,high,29.166666666666668,22.329154926571043,36.4071826397646
standing,all,control,low,22.8515625,16.219983284409658,29.762144777265743
standing,all,control,med,14.453125,8.6861746381859,21.068245220112942
standing,all,control,high,23.51603835978836,17.33025246949138,30.138917349726775
standing,US,he,low,2.083333333333333,0.8771929824561403,3.415300546448087
standing,US,he,med,1.171875,0.2976190476190476,2.2013734739178674
standing,US,he,high,4.817708333333334,2.2945083830633712,8.333333333333332
standing,US,de,low,14.583333333333334,10.635522778720999,18.877617453231295
standing,US,de,med,8.984375,5.601092896174864,12.978443426550946
standing,US,de,high,12.375992063492063,7.923326502732242,17.5124701864486
standing,US,pg,low,17.838541666666664,12.307539682539684,23.718434343434332
standing,US,pg,med,19.661458333333336,14.192422788742693,25.512820512820518
standing,US,pg,high,27.473958333333332,21.296296296296294,34.00537634408602
standing,US,control,low,22.005208333333336,15.300495473452408,28.95841871584699
standing,US,control,med,15.104166666666666,9.391121031746033,21.640456989247305
standing,US,control,high,23.20395171957672,17.120320816038703,29.774270948003135
standing,CN,he,low,2.34375,1.0822009780343116,3.7882110579478954
standing,CN,he,med,1.0416666666666665,0.15432098765432098,2.213541666666667
standing,CN,he,high,7.03125,3.484791949344189,11.267778238055781
standing,CN,de,low,20.182291666666664,13.888888888888888,26.864382567333827
standing,CN,de,med,11.848958333333332,7.4074074074074066,16.787484015345267
standing,CN,de,high,19.270833333333336,13.405797101449277,25.513020833333332
standing,CN,pg,low,22.526041666666664,15.253628482368988,30.555555555555557
standing,CN,pg,med,23.4375,15.725518433179724,31.510416666666668
standing,CN,pg,high,30.859375,22.88354183481302,39.3520299145299
standing,CN,control,low,23.697916666666664,16.498824786324793,31.249999999999993
standing,CN,control,med,13.802083333333334,7.835820895522389,20.635073260073252
standing,CN,control,high,23.828125,17.069427212572375,31.039517317612365
