mode_a,mode_b,spearman,lo,hi
he,he,1.0,1.0,1.0
he,de,0.8189604981076531,0.582141332172427,0.8339946804278847
he,pg,0.6894691539137967,0.4765392006796317,0.7810417149961767
he,control,0.6598926178057787,0.4505543434691209,0.7540242537807497
de,he,0.8189604981076531,0.582141332172427,0.8339946804278847
de,de,1.0,1.0,1.0
de,pg,0.8786758573860537,0.7336830013821382,0.9154874748950151
de,control,0.6276690836550815,0.44803242844605673,0.7121448717844315
pg,he,0.6894691539137967,0.4765392006796317,0.7810417149961767
pg,de,0.8786758573860537,0.7336830013821382,0.9154874748950151
pg,pg,1.0,1.0,1.0
pg,control,0.6108567836463166,0.46307955432636716,0.7273334539342655
control,he,0.6598926178057787,0.4505543434691209,0.7540242537807497
control,de,0.6276690836550815,0.44803242844605673,0.7121448717844315
control,pg,0.6108567836463166,0.46307955432636716,0.7273334539342655
control,control,1.0,1.0,1.0
