bloc,mode,n_models,rate,lo,hi
all,he,24,3.0815972222222223,1.9748263888888888,4.470486111111111
all,de,24,14.541293993600931,11.914062500000002,17.361111111111107
all,pg,24,23.632812499999996,19.83452690972222,27.647569444444443
all,control,24,20.272278577661428,16.626198121182366,24.113773791993893
US,he,12,2.690972222222222,1.6927083333333333,3.9507378472222068
US,de,12,11.981893542757415,9.678819444444446,14.41408032037445
US,pg,12,21.657986111111114,18.184678819444446,25.130208333333332
US,control,12,20.101848821989527,16.44965277777778,23.834726312536358
CN,he,12,3.4722222222222223,2.1267361111111107,5.034722222222223
CN,de,12,17.100694444444446,13.88888888888889,20.572916666666664
CN,pg,12,25.60763888888889,21.09375,30.296223958333318
CN,control,12,20.442708333333336,16.579861111111114,24.652777777777775
