factor,model,origin,mode,contrast,est,lo,hi,p
scale,gemini-3.1-flash-lite,US,he,group - individual,0.0,0.0,0.0,1.0
scale,gemini-3.1-flash-lite,US,he,society - individual,0.0,0.0,0.0,1.0
scale,gemini-3.1-flash-lite,US,de,group - individual,-1.5625,-5.263157894736842,0.0,0.722
scale,gemini-3.1-flash-lite,US,de,society - individual,-1.5625,-5.263157894736842,0.0,0.722
scale,gemini-3.1-flash-lite,US,pg,group - individual,-1.5625,-5.17297357814599,0.0,0.7252
scale,gemini-3.1-flash-lite,US,pg,society - individual,4.6875,-1.6129032258064515,11.70713849035692,0.1724
scale,gemini-3.1-flash-lite,US,control,group - individual,-4.6875,-10.526315789473683,0.0,0.0976
scale,gemini-3.1-flash-lite,US,control,society - individual,-3.125,-9.375,2.857142857142857,0.3444
scale,gemma-4-31b,US,he,group - individual,0.0,-4.411764705882353,4.411764705882353,1.0
scale,gemma-4-31b,US,he,society - individual,-1.5625,-5.172413793103448,0.0,0.734
scale,gemma-4-31b,US,de,group - individual,-1.5625,-7.017737785879584,3.723735229116764,0.6304
scale,gemma-4-31b,US,de,society - individual,-1.5625,-6.955272114690407,3.4482758620689653,0.6272
scale,gemma-4-31b,US,pg,group - individual,1.5625,-3.333403716216216,7.04141753932687,0.6376
scale,gemma-4-31b,US,pg,society - individual,12.5,3.7809067868206148,21.72089761570827,0.004
scale,gemma-4-31b,US,control,group - individual,0.0,-9.729361780008887,9.467198732138156,1.0
scale,gemma-4-31b,US,control,society - individual,0.0,-9.22472385043054,9.549173581795776,1.0
scale,gpt-5.6-luna,US,he,group - individual,0.0,-4.615384615384616,4.545454545454546,1.0
scale,gpt-5.6-luna,US,he,society - individual,0.0,-4.4793080054274,4.477611940298507,1.0
scale,gpt-5.6-luna,US,de,group - individual,1.5625,0.0,5.263157894736842,0.7352
scale,gpt-5.6-luna,US,de,society - individual,7.8125,1.6129032258064515,15.0,0.0156
scale,gpt-5.6-luna,US,pg,group - individual,3.125,-5.827945139498586,12.450411414565826,0.52
scale,gpt-5.6-luna,US,pg,society - individual,32.8125,18.955316373124596,46.49122807017544,0.0
scale,gpt-5.6-luna,US,control,group - individual,4.6875,-9.118872549019601,17.98912958123405,0.5176
scale,gpt-5.6-luna,US,control,society - individual,6.25,-7.812839673913043,19.93514412416849,0.3728
scale,gpt-5.6-sol,US,he,group - individual,1.5625,0.0,5.172413793103448,0.7296
scale,gpt-5.6-sol,US,he,society - individual,3.125,0.0,7.938095238095215,0.2684
scale,gpt-5.6-sol,US,de,group - individual,-7.8125,-14.866377571601447,-1.6666666666666667,0.014
scale,gpt-5.6-sol,US,de,society - individual,4.6875,-5.602371183334673,15.418431040790182,0.3676
scale,gpt-5.6-sol,US,pg,group - individual,7.8125,-3.1757896191858404,19.20327121508628,0.1664
scale,gpt-5.6-sol,US,pg,society - individual,32.8125,18.866398407220238,46.58858543654804,0.0
scale,gpt-5.6-sol,US,control,group - individual,0.0,-14.87121478374241,14.823884448884433,0.9908
scale,gpt-5.6-sol,US,control,society - individual,4.6875,-10.37123888196543,19.901477832512317,0.5604
scale,gpt-5.6-terra,US,he,group - individual,1.5625,0.0,5.172413793103448,0.7296
scale,gpt-5.6-terra,US,he,society - individual,0.0,0.0,0.0,1.0
scale,gpt-5.6-terra,US,de,group - individual,0.0,-4.403346955220443,4.615384615384616,1.0
scale,gpt-5.6-terra,US,de,society - individual,6.25,-0.6844222800131237,13.793103448275861,0.0812
scale,gpt-5.6-terra,US,pg,group - individual,6.25,-1.7173158212560369,14.859055321085204,0.1368
scale,gpt-5.6-terra,US,pg,society - individual,32.8125,19.91297515270118,45.33595107490529,0.0
scale,gpt-5.6-terra,US,control,group - individual,4.6875,-8.445081967213111,17.175415194558603,0.4968
scale,gpt-5.6-terra,US,control,society - individual,4.6875,-8.037581282672445,17.779104155564927,0.48
scale,grok-4.3,US,he,group - individual,0.0,-9.48212250921193,9.407409600028945,1.0
scale,grok-4.3,US,he,society - individual,-6.25,-13.846153846153847,0.2767200630251955,0.072
scale,grok-4.3,US,de,group - individual,3.125,-14.359795134443019,19.62518585146668,0.726
scale,grok-4.3,US,de,society - individual,28.125,10.937529613835586,44.51183841440908,0.002
scale,grok-4.3,US,pg,group - individual,3.125,-13.749362682615937,20.040243136007753,0.732
scale,grok-4.3,US,pg,society - individual,29.6875,13.157738196887415,45.81527606874924,0.002
scale,grok-4.3,US,control,group - individual,-1.5625,-18.177107240354648,15.608051639038004,0.8356
scale,grok-4.3,US,control,society - individual,-9.375,-25.424610193326714,7.044018817204287,0.2756
scale,haiku-4.5,US,he,group - individual,4.6875,-5.769230769230769,15.533802433056158,0.3828
scale,haiku-4.5,US,he,society - individual,3.125,-6.989450729996574,13.246364016100848,0.552
scale,haiku-4.5,US,de,group - individual,-4.6875,-17.30771545498315,7.840200987945238,0.4736
scale,haiku-4.5,US,de,society - individual,7.8125,-6.207226530275532,21.66676959353245,0.2792
scale,haiku-4.5,US,pg,group - individual,7.8125,-7.088138154948497,22.519658119658107,0.3104
scale,haiku-4.5,US,pg,society - individual,40.625,25.0,55.60468426501034,0.0
scale,haiku-4.5,US,control,group - individual,7.8125,-8.50208365488501,23.640092401762235,0.3532
scale,haiku-4.5,US,control,society - individual,3.125,-12.560950983202456,19.18885510312004,0.6972
scale,inkling,US,he,group - individual,1.5625,-3.3871651175505737,7.017543859649122,0.6188
scale,inkling,US,he,society - individual,1.5625,-3.6340125391849525,7.043252886016349,0.6104
scale,inkling,US,de,group - individual,-3.125,-13.769151138716351,7.7725966648583995,0.5852
scale,inkling,US,de,society - individual,7.8125,-5.111077841511535,20.309145267165682,0.2356
scale,inkling,US,pg,group - individual,1.5625,-11.96039301450487,14.719501809665733,0.8172
scale,inkling,US,pg,society - individual,20.3125,4.563433523879774,35.16088727582487,0.012
scale,inkling,US,control,group - individual,9.375,-5.258696272734688,23.33337957824639,0.2104
scale,inkling,US,control,society - individual,4.6875,-9.167200854700853,19.114414231601728,0.5044
scale,nemotron-3-ultra,US,he,group - individual,1.5625,0.0,5.172413793103448,0.7296
scale,nemotron-3-ultra,US,he,society - individual,3.125,0.0,7.8125,0.2608
scale,nemotron-3-ultra,US,de,group - individual,-4.6875,-16.067046739788,6.534137329174093,0.4064
scale,nemotron-3-ultra,US,de,society - individual,9.375,-4.32139780850814,22.364020751813914,0.1748
scale,nemotron-3-ultra,US,pg,group - individual,9.375,-0.9262152777777765,20.00024108003857,0.0772
scale,nemotron-3-ultra,US,pg,society - individual,39.0625,25.113415603534627,52.69223977026994,0.0
scale,nemotron-3-ultra,US,control,group - individual,4.6875,-9.661607615018507,18.877462207125973,0.5184
scale,nemotron-3-ultra,US,control,society - individual,-1.5625,-14.481082844096541,12.06838894978281,0.82
scale,nemotron-3.5-lightning,US,he,group - individual,1.5625,0.0,5.172413793103448,0.7296
scale,nemotron-3.5-lightning,US,he,society - individual,0.0,0.0,0.0,1.0
scale,nemotron-3.5-lightning,US,de,group - individual,3.249007936507936,-5.151587268083669,12.101644668372654,0.4364
scale,nemotron-3.5-lightning,US,de,society - individual,1.5625,-6.223691780411061,9.523809523809524,0.6976
scale,nemotron-3.5-lightning,US,pg,group - individual,-1.5625,-8.550474414955437,5.087321635710584,0.6524
scale,nemotron-3.5-lightning,US,pg,society - individual,12.5,2.0099434309001283,22.950819672131146,0.0216
scale,nemotron-3.5-lightning,US,control,group - individual,3.125,-9.564524134220214,15.956559515669182,0.6384
scale,nemotron-3.5-lightning,US,control,society - individual,0.0,-12.28903940886699,12.308441558441547,1.0
scale,nova-2-lite,US,he,group - individual,0.0,-7.592052460413266,7.412608225108225,0.9972
