mode,contrast,estimate,lo,hi,p_boot,n_draws,q
he,us_ally,-1.1718750000000002,-2.4748833184072745,0.08911508804460941,0.07758448310337933,5000,0.3905218956208758
he,us_rival,0.565145069808028,-0.9521427266081872,2.1267474730948224,0.47270545890821836,5000,0.8172079869740339
he,us_neutral,-0.5212878126817919,-1.8676885634816756,0.736482468578733,0.41151769646070785,5000,0.7971458339910965
he,cn_ally,-0.9541793920884238,-2.4730606768202135,0.6081047302210583,0.244751049790042,5000,0.6458136944039764
he,cn_rival,-2.039703315881327,-3.6458333333333335,-0.5194512975146206,0.01279744051189762,5000,0.11805638872225555
he,cn_neutral,-1.4329733856893545,-3.1254658413321694,0.17361111111111188,0.08678264347130574,5000,0.3905218956208758
he,us_cn,0.8680555555555552,-0.47743055555555575,2.256944444444444,0.22755448910217957,5000,0.6458136944039764
he,allies,-0.17406559045956924,-1.7361111111111112,1.3465484565881172,0.8166366726654669,5000,0.9153078475214048
he,neutrals,0.0009089586969167167,-1.3891218095549742,1.3911846673976607,0.9854029194161168,5000,0.9854029194161167
de,us_ally,-0.04296504240531469,-1.9907443524657225,1.9531360031842253,0.9666066786642672,5000,0.9854029194161167
de,us_rival,-0.3983918128654975,-2.511951890575448,1.7338387143688196,0.70625874825035,5000,0.9153078475214048
de,us_neutral,-1.1750563554392086,-3.262529696637427,0.7808068826352527,0.2511497700459908,5000,0.6458136944039764
de,cn_ally,-3.0834441489361715,-4.906166228401176,-1.1739032934922393,0.001999600079984003,5000,0.07198560287942411
de,cn_rival,-2.734375,-4.949962364781571,-0.525393738092882,0.013997200559888023,5000,0.11805638872225555
de,cn_neutral,-0.25584795321637427,-2.5118794950171752,1.9994818935427565,0.8290341931613677,5000,0.9153078475214048
de,us_cn,-0.5674174665503202,-2.8211805555555554,1.6479621362433865,0.6066786642671466,5000,0.8989562087582483
de,allies,0.561038011695908,-1.5250593932748544,2.6912166244718465,0.617876424715057,5000,0.8989562087582483
de,neutrals,-0.9566885964912288,-2.9948030286503786,1.0012779706789983,0.33513297340531895,5000,0.7971458339910965
pg,us_ally,-0.6971856725146195,-2.520315226876088,1.1307195650389197,0.4767046590681864,5000,0.8172079869740339
pg,us_rival,-0.3437775573192246,-2.7336862473683485,2.2160473428745298,0.8054389122175565,5000,0.9153078475214048
pg,us_neutral,-0.2645285087719277,-2.343767042975568,1.9965794477513226,0.8390321935612878,5000,0.9153078475214048
pg,cn_ally,-0.7378472222222228,-3.0834382223829646,1.6081754735196403,0.5342931413717257,5000,0.8742978676991875
pg,cn_rival,-2.075109649122808,-4.54977787862891,0.22292942455123385,0.08198360327934413,5000,0.3905218956208758
pg,cn_neutral,-0.04751461988304201,-2.144190866958941,2.1262816317626534,0.9478104379124175,5000,0.9854029194161167
pg,us_cn,-1.3048245614035086,-3.602907938271179,0.9557140801396207,0.2451509698060388,5000,0.6458136944039764
pg,allies,0.2636147660818723,-1.9055891682330812,2.4388916446208118,0.8106378724255149,5000,0.9153078475214048
pg,neutrals,-0.9105445906432758,-2.875457114361701,1.1294085692798752,0.4003199360127974,5000,0.7971458339910965
control,us_ally,-0.7796593222803964,-2.601887748886104,1.0001081780449153,0.4023195360927814,5000,0.7971458339910965
control,us_rival,0.30518288248981945,-1.562954539148373,2.1269633507853407,0.7478504299140172,5000,0.9153078475214048
control,us_neutral,0.216332169866202,-1.4750184064136127,1.8672383878286352,0.8354329134173165,5000,0.9153078475214048
control,cn_ally,-2.2583078824898193,-3.9087666793920866,-0.5208333333333338,0.009598080383923215,5000,0.11805638872225555
control,cn_rival,-2.1724112856311812,-4.003049616228069,-0.34902309664048814,0.016396720655868825,5000,0.11805638872225555
control,cn_neutral,-1.126881544502618,-3.0336560495506877,0.7812670429755678,0.2495500899820036,5000,0.6458136944039764
control,us_cn,-0.5244691681210004,-2.6073537030977296,1.515926869967239,0.6242751449710058,5000,0.8989562087582483
control,allies,0.7821589586969176,-1.1284722222222223,2.690972222222221,0.42071585682863427,5000,0.7971458339910965
control,neutrals,1.258680555555556,-0.4816167289542565,3.038194444444444,0.17076584683063387,5000,0.6458136944039764
