factor,level,mean,lo,hi,n_models,dev_logodds,dev_se,dev_p,dev_q_bh,glmm_singular
context,Academia,13.715277777777777,10.382768534641283,17.04778702091427,24,0.0292715462403967,0.289646116219555,0.919503078187561,0.930372699218945,False
context,Diplomacy,12.847222222222221,9.771714336636768,15.922730107807675,24,-0.0254427268295025,0.291186898704959,0.930372699218945,0.930372699218945,False
context,Fiction,9.780907668231611,4.986956480247826,14.574858856215396,24,-0.241472560892234,0.29002779880584,0.405079276723599,0.743104522208418,False
context,Government,20.081018518518515,16.532624162131512,23.62941287490552,24,0.804372195568319,0.279352470478787,0.0039841141037476,0.0318729128299811,False
context,Interpersonal,11.921296296296296,9.28758869043871,14.555003902153882,24,-0.409104035195816,0.301577930979938,0.174925826859156,0.699703307436625,False
context,Markets,12.789351851851853,9.291896567677691,16.286807136026013,24,-0.209058339025947,0.295471284705594,0.47922973170374,0.743104522208418,False
context,Media,12.962962962962964,10.435004316950824,15.490921608975103,24,-0.17392958349625,0.296396263400798,0.557328391656313,0.743104522208418,False
context,Work,15.914351851851853,12.477279515223456,19.351424188480248,24,0.225363503631035,0.287827666345717,0.433638453954806,0.743104522208418,False
domain,Attentional,9.49074074074074,6.506961556310861,12.47451992517062,24,-0.54507855000663,0.297105852680569,0.066560910009484,0.177495760025291,False
domain,Epistemic,10.590277777777777,7.615806095386664,13.56474946016889,24,-0.443879212374349,0.294408455751222,0.13163168765095,0.2378167926473,False
domain,Health,19.90740740740741,16.402744078489803,23.412070736325013,24,0.742592039898727,0.275884550976082,0.0071093808985635,0.0284375235942543,False
domain,Legal,19.7973721961398,15.935912330072725,23.658832062206876,24,0.791975079486197,0.273673371498487,0.0038052602578579,0.0284375235942543,False
domain,Physical,13.773148148148147,10.297406685954567,17.248889610341728,24,0.0126530002366845,0.285474216265446,0.964647143428355,0.964647143428355,False
domain,Rank,11.168981481481481,8.246923777741053,14.09103918522191,24,-0.426602394461774,0.295355756409907,0.148635495404563,0.2378167926473,False
domain,Status,9.895833333333334,6.392681574213472,13.398985092453195,24,-0.37005258987387,0.290685751954716,0.203006289272555,0.270675052363407,False
domain,Wealth,15.393518518518519,11.737445563594555,19.049591473442483,24,0.238392627095014,0.281991210435413,0.397892972152305,0.45473482531692,False
