axis,group,origin,unit,slope,slope_lo,slope_hi,slope_p,curvature,curvature_lo,curvature_hi,curvature_p,r2_linear,slope_excess,slope_excess_p,last_step_share,p_vs_linear
"US asks, who loses",pooled (6 models),—,pp per step,1.823,0.781,2.865,0.001,0.087,-1.607,1.823,0.873,0.999,-0.533,0.496,0.524,0.904
"CN asks, who loses",pooled (6 models),—,pp per step,-1.562,-2.692,-0.477,0.007,0.087,-1.823,2.04,0.877,0.999,1.56,0.066,0.472,0.907
"US loses, who asks",pooled (6 models),—,pp per step,0.911,-0.26,2.127,0.141,1.259,-0.738,3.125,0.203,0.611,-0.847,0.317,1.19,0.309
"CN loses, who asks",pooled (6 models),—,pp per step,-0.825,-2.04,0.347,0.196,0.738,-1.128,2.648,0.407,0.789,1.261,0.147,0.053,0.532
"US asks, who loses",haiku-4.5,US,pp per step,4.427,1.562,7.552,0.005,-1.823,-5.99,2.344,0.437,0.947,-0.289,0.879,0.294,0.424
"CN asks, who loses",haiku-4.5,US,pp per step,-1.562,-4.427,1.042,0.305,-2.604,-7.812,2.604,0.348,0.519,3.642,0.07,1.333,0.514
"US loses, who asks",haiku-4.5,US,pp per step,2.604,-0.26,5.469,0.075,-2.083,-7.031,2.865,0.41,0.824,1.501,0.442,0.1,0.429
"CN loses, who asks",haiku-4.5,US,pp per step,-1.562,-4.167,1.042,0.293,-3.125,-7.552,1.563,0.207,0.429,0.944,0.636,1.5,0.401
"US asks, who loses",gpt-5.6-luna,US,pp per step,2.604,0.521,4.688,0.017,1.042,-2.865,4.688,0.561,0.949,2.33,0.103,0.7,0.613
"CN asks, who loses",gpt-5.6-luna,US,pp per step,0.0,-2.344,2.083,1.0,1.563,-1.569,4.688,0.285,0.0,1.548,0.334,,0.96
"US loses, who asks",gpt-5.6-luna,US,pp per step,-0.26,-2.344,1.823,0.915,1.823,-1.562,5.469,0.253,0.058,-0.251,0.906,-3.0,0.922
"CN loses, who asks",gpt-5.6-luna,US,pp per step,1.042,-1.302,3.385,0.443,1.563,-2.09,5.208,0.381,0.571,1.313,0.297,1.25,0.611
"US asks, who loses",minimax-m3,CN,pp per step,1.302,-1.823,4.687,0.473,-1.823,-7.812,4.427,0.587,0.605,0.138,0.963,-0.2,0.789
"CN asks, who loses",minimax-m3,CN,pp per step,-2.604,-6.25,0.781,0.157,-1.562,-7.031,4.167,0.627,0.893,-3.333,0.181,0.8,0.64
"US loses, who asks",minimax-m3,CN,pp per step,1.823,-1.562,5.208,0.3,2.344,-3.906,8.333,0.447,0.645,-0.822,0.716,1.143,0.596
"CN loses, who asks",minimax-m3,CN,pp per step,-2.083,-5.469,1.042,0.221,2.083,-4.167,8.333,0.485,0.75,-2.125,0.375,-0.0,0.618
"US asks, who loses",kimi-k2.6,CN,pp per step,4.948,1.562,8.079,0.002,2.865,-1.823,7.813,0.232,0.9,0.682,0.775,0.789,0.25
"CN asks, who loses",kimi-k2.6,CN,pp per step,-0.521,-3.646,2.611,0.795,-1.562,-6.51,3.646,0.581,0.25,5.995,0.005,2.0,0.992
"US loses, who asks",kimi-k2.6,CN,pp per step,-0.521,-3.646,2.604,0.844,0.521,-4.948,5.729,0.809,0.75,-1.822,0.479,-0.0,0.949
"CN loses, who asks",kimi-k2.6,CN,pp per step,-2.604,-5.729,0.521,0.115,-1.042,-6.771,4.688,0.789,0.949,0.624,0.81,0.7,0.769
"US asks, who loses",deepseek-v4-pro,CN,pp per step,-2.083,-4.688,0.521,0.158,1.563,-3.646,6.771,0.511,0.842,-4.173,0.032,0.125,0.622
"CN asks, who loses",deepseek-v4-pro,CN,pp per step,-4.948,-7.552,-2.604,0.0,4.948,-0.26,9.896,0.052,0.75,0.064,0.979,-0.0,0.059
"US loses, who asks",deepseek-v4-pro,CN,pp per step,2.865,0.0,5.99,0.059,5.469,1.042,9.896,0.01,0.451,-2.733,0.238,1.455,0.045
"CN loses, who asks",deepseek-v4-pro,CN,pp per step,-1.042,-4.427,2.083,0.579,2.604,-1.562,6.771,0.187,0.324,4.329,0.056,-0.75,0.641
"US asks, who loses",solar-pro4,KR,pp per step,-0.26,-1.823,1.562,0.865,-1.302,-4.427,1.823,0.486,0.107,-1.283,0.272,3.0,0.851
"CN asks, who loses",solar-pro4,KR,pp per step,0.26,-1.823,2.344,0.927,-0.26,-3.385,2.865,0.928,0.75,0.269,0.856,0.0,0.905
"US loses, who asks",solar-pro4,KR,pp per step,-1.042,-2.865,0.781,0.301,-0.521,-3.906,2.604,0.815,0.923,-0.525,0.596,0.75,0.774
"CN loses, who asks",solar-pro4,KR,pp per step,1.302,-0.521,3.125,0.208,2.344,-1.042,5.729,0.148,0.481,1.808,0.174,1.4,0.231
