factor,level,pairing,mode,bloc,n_models_bias_defined,bias,bias_lo,bias_hi,bias_p,delta_pp,delta_lo,delta_hi,delta_p
scale,individual,us_ally,he,all,21,0.0634920634920635,-0.3203256404901141,0.36181514550264504,0.972,-0.06510416666666666,-1.369047619047619,1.256764069264067,0.9016
scale,individual,us_ally,he,US,9,0.12962962962962965,-0.3611111111111111,0.6563616071428555,0.6092,0.6510416666666667,-1.0930894937622428,2.4155563347358564,0.4936
scale,individual,us_ally,he,CN,12,0.013888888888888895,-0.5244583333333332,0.2909090909090909,0.6752,-0.78125,-2.380952380952381,0.8333333333333329,0.3392
scale,individual,us_ally,de,all,24,0.263911701044054,0.025841298359084938,0.4597149469332171,0.0312,2.278645833333333,0.28837936856029,4.464285714285714,0.0212
scale,individual,us_ally,de,US,12,0.2825396825396825,-0.03827120410453731,0.5594419648978473,0.086,2.34375,0.29494308688387705,4.477851128970528,0.0256
scale,individual,us_ally,de,CN,12,0.24528371954842543,-0.008591119528619505,0.47091572535651477,0.0576,2.213541666666667,-0.5952380952380948,5.208333333333334,0.13
scale,individual,us_ally,pg,all,22,0.3184656252838071,0.12259484951711844,0.482965363831483,0.0024,2.994791666666667,1.2293260473588348,4.908726761252446,0.0
scale,individual,us_ally,pg,US,10,0.4216666666666667,0.1663536155202822,0.6844464285714285,0.0024,3.90625,1.8816257761623518,6.025709219858156,0.0
scale,individual,us_ally,pg,CN,12,0.23246475746475748,-0.027130681818181807,0.42908338189588185,0.0768,2.083333333333333,-0.6944444444444444,4.851005389718072,0.1444
scale,individual,us_ally,control,all,24,-0.02136243386243386,-0.2117162077556099,0.2222097950750546,0.926,0.1922123015873016,-1.4369877049180317,1.8145161290322578,0.8408
scale,individual,us_ally,control,US,12,-0.01904761904761904,-0.22810921717171717,0.3029431216931212,0.9524,0.5146329365079365,-1.2223566308243723,2.398989898989899,0.6204
scale,individual,us_ally,control,CN,12,-0.023677248677248675,-0.3552331349206349,0.31774891774891767,0.898,-0.13020833333333331,-2.8607936878109452,2.623659844054578,0.94
scale,individual,us_rival,he,all,21,-0.5304232804232804,-0.7218903223969013,-0.37786924715496156,0.0,-3.125,-4.874343139688843,-1.5094885958660038,0.0
scale,individual,us_rival,he,US,9,-0.7129629629629629,-1.0,-0.5728993055555558,0.0,-2.994791666666667,-4.497420634920635,-1.6666666666666667,0.0
scale,individual,us_rival,he,CN,12,-0.39351851851851843,-0.6815543831168831,-0.13667696886446934,0.0032,-3.2552083333333335,-6.018518518518517,-0.6942066210045694,0.01
scale,individual,us_rival,de,all,24,0.38031691211838276,0.13675346148560436,0.579027042085937,0.002,3.7171378968253967,1.1956765232974915,6.390306038553918,0.0048
scale,individual,us_rival,de,US,12,0.5130018674136321,0.18939199689199687,0.7570764435550239,0.0048,4.048859126984127,1.4149733913884865,6.713057832422587,0.0028
scale,individual,us_rival,de,CN,12,0.2476319568231333,-0.0058536190057928575,0.47257548114939746,0.0548,3.3854166666666665,1.1275702593850493e-16,6.875082671957671,0.05
scale,individual,us_rival,pg,all,23,0.09426394861177471,-0.050543812415267966,0.2893488994004133,0.1796,1.953125,-0.46296296296296313,4.365159370199691,0.1152
scale,individual,us_rival,pg,US,11,0.00512265512265512,-0.18791596660914842,0.3285097441773912,0.748,2.083333333333333,-0.49037898741586244,4.7435897435897445,0.1124
scale,individual,us_rival,pg,CN,12,0.175976800976801,-0.024547298766048768,0.36291349032302966,0.084,1.8229166666666667,-1.5629489942528714,5.0321484725965755,0.296
scale,individual,us_rival,control,all,23,0.028141665098186833,-0.1744219149834123,0.22884469696969698,0.7688,0.0020667989417989347,-1.934215995123282,2.079582305830983,0.978
scale,individual,us_rival,control,US,11,-0.029797979797979803,-0.29880976977567886,0.2222222222222222,0.776,-0.9114583333333334,-2.934272300469483,1.1027912463410579,0.3788
scale,individual,us_rival,control,CN,12,0.08125300625300626,-0.1863194444444444,0.3300704966329966,0.5028,0.9155919312169312,-1.9083410505989895,4.015887605042017,0.5356
scale,individual,us_neutral,he,all,20,0.06833333333333333,-0.21620238095238095,0.31947972370766436,0.6948,0.390625,-0.7420600945857793,1.597222222222222,0.554
scale,individual,us_neutral,he,US,9,0.291005291005291,-0.2,0.6599710557299827,0.2224,0.78125,-0.9262519561815322,2.6515151515151514,0.4416
scale,individual,us_neutral,he,CN,11,-0.11385281385281386,-0.4935932539682538,0.2962962962962963,0.47,0.0,-1.5625,1.478494623655914,1.0
scale,individual,us_neutral,de,all,24,0.462880291005291,0.2734394439956641,0.5827557976718054,0.0,5.143229166666666,3.0505119491826576,7.310016111707841,0.0
scale,individual,us_neutral,de,US,12,0.5768518518518518,0.3354780636030637,0.7416226407035231,0.0,5.208333333333334,2.956989247311828,7.424447174447173,0.0
scale,individual,us_neutral,de,CN,12,0.34890873015873014,0.12229493245754153,0.5129258415195911,0.0012,5.078125,2.1794871794871797,8.18452380952381,0.0004
scale,individual,us_neutral,pg,all,24,0.2890571234321235,0.09909650861417167,0.5639005065100843,0.002,4.8828125,2.233885577372607,7.488224637681154,0.0004
scale,individual,us_neutral,pg,US,12,0.21513024013024015,-0.03368484392199794,0.6788725490196074,0.0824,4.947916666666666,1.7757492962411001,8.098752331339632,0.0008
scale,individual,us_neutral,pg,CN,12,0.3629840067340068,0.09935852339456464,0.5759711700336699,0.0088,4.817708333333334,1.3283586381412469,8.194444444444445,0.008
scale,individual,us_neutral,control,all,23,0.20460264373307852,0.014076949620427888,0.3546513475718277,0.0392,1.496362433862434,0.057860555178652844,2.9761904761904763,0.0448
scale,individual,us_neutral,control,US,11,0.14004329004329005,-0.16127579365079367,0.3412175324675322,0.4004,0.12814153439153442,-1.694980644486294,1.9657724761051365,0.916
scale,individual,us_neutral,control,CN,12,0.2637820512820513,0.04165614478114484,0.4905609668109667,0.022,2.864583333333333,0.7861635220125787,5.000000000000001,0.006
scale,individual,cn_ally,he,all,20,-0.30273809523809525,-0.5060187232787853,-0.023121005978148947,0.034,-0.78125,-2.3305084745762707,0.7042479234380641,0.3228
scale,individual,cn_ally,he,US,8,-0.19166666666666662,-0.5476190476190477,0.14711134453781433,0.2624,0.13020833333333331,-1.3681592039800994,1.6129032258064515,0.9052
scale,individual,cn_ally,he,CN,12,-0.37678571428571433,-0.5945849867724868,-0.002235329485329897,0.0488,-1.6927083333333333,-3.954975919236824,0.36771514161219954,0.1288
scale,individual,cn_ally,de,all,24,0.158275541179953,-0.0041630680049797135,0.33386613930731524,0.058,1.6276041666666667,-0.310051513821268,3.653846153846153,0.1012
scale,individual,cn_ally,de,US,12,0.27199074074074076,-0.0017775222462722315,0.590685188349662,0.0528,3.90625,1.4782969639468695,6.388947740112993,0.0016
scale,individual,cn_ally,de,CN,12,0.044560341619165146,-0.13951169911744588,0.22198013791763785,0.6212,-0.6510416666666667,-3.2485875706214697,2.016129032258064,0.65
scale,individual,cn_ally,pg,all,23,0.2792820705864184,0.1383088020604006,0.4725676942898955,0.0004,4.752604166666666,2.873563218390805,6.702898550724639,0.0
