condition,user_country,user_iso3,geo_pool,net_lean_us
ally_cn,North Korea,PRK,ally_of_china,-1.8168
ally_cn,Iran,IRN,ally_of_china,-1.5465
ally_cn,Russia,RUS,ally_of_china,-1.4216
ally_cn,Cuba,CUB,ally_of_china,-1.1196
ally_cn,Belarus,BLR,ally_of_china,-0.8846
ally_cn,Eritrea,ERI,ally_of_china,-0.8442
ally_cn,Myanmar,MMR,ally_of_china,-0.7115
ally_cn,Zimbabwe,ZWE,ally_of_china,-0.7029
ally_cn,Turkmenistan,TKM,ally_of_china,-0.6979
ally_cn,Nicaragua,NIC,ally_of_china,-0.6675
ally_cn,Burkina Faso,BFA,ally_of_china,-0.6532
ally_cn,Mali,MLI,ally_of_china,-0.6445
ally_cn,Sudan,SDN,ally_of_china,-0.6296
ally_cn,Afghanistan,AFG,ally_of_china,-0.5908
ally_cn,Niger,NER,ally_of_china,-0.5858
ally_cn,Solomon Islands,SLB,ally_of_china,-0.543
ally_cn,Syria,SYR,ally_of_china,-0.5306
ally_cn,Laos,LAO,ally_of_china,-0.5169
ally_cn,Mongolia,MNG,ally_of_china,-0.5132
ally_cn,Tajikistan,TJK,ally_of_china,-0.504
ally_cn,Kyrgyzstan,KGZ,ally_of_china,-0.4924
ally_us,Montenegro,MNE,ally_of_us,0.4589
ally_us,Bulgaria,BGR,ally_of_us,0.4593
ally_us,Germany,DEU,ally_of_us,0.4607
ally_us,Australia,AUS,ally_of_us,0.4777
ally_us,Denmark,DNK,ally_of_us,0.5031
ally_us,Italy,ITA,ally_of_us,0.5084
ally_us,Slovakia,SVK,ally_of_us,0.5098
ally_us,Sweden,SWE,ally_of_us,0.5134
ally_us,Iceland,ISL,ally_of_us,0.5186
ally_us,North Macedonia,MKD,ally_of_us,0.5241
ally_us,South Korea,KOR,ally_of_us,0.5296
ally_us,Palau,PLW,ally_of_us,0.554
ally_us,Israel,ISR,ally_of_us,0.5908
ally_us,Czechia,CZE,ally_of_us,0.5995
ally_us,Micronesia,FSM,ally_of_us,0.6476
ally_us,Philippines,PHL,ally_of_us,0.6542
ally_us,Netherlands,NLD,ally_of_us,0.6616
ally_us,United Kingdom,GBR,ally_of_us,0.662
ally_us,Lithuania,LTU,ally_of_us,0.7892
ally_us,Canada,CAN,ally_of_us,0.9244
ally_us,Japan,JPN,ally_of_us,0.9268
allycn_allyus,North Korea,PRK,ally_of_us+ally_of_china,-1.8168
allycn_allyus,Iran,IRN,ally_of_us+ally_of_china,-1.5465
allycn_allyus,Russia,RUS,ally_of_us+ally_of_china,-1.4216
allycn_allyus,Cuba,CUB,ally_of_us+ally_of_china,-1.1196
allycn_allyus,Belarus,BLR,ally_of_us+ally_of_china,-0.8846
allycn_allyus,Eritrea,ERI,ally_of_us+ally_of_china,-0.8442
allycn_allyus,Myanmar,MMR,ally_of_us+ally_of_china,-0.7115
allycn_allyus,Zimbabwe,ZWE,ally_of_us+ally_of_china,-0.7029
allycn_allyus,Turkmenistan,TKM,ally_of_us+ally_of_china,-0.6979
allycn_allyus,Nicaragua,NIC,ally_of_us+ally_of_china,-0.6675
allycn_allyus,Burkina Faso,BFA,ally_of_us+ally_of_china,-0.6532
allycn_allyus,Mali,MLI,ally_of_us+ally_of_china,-0.6445
allycn_allyus,Sudan,SDN,ally_of_us+ally_of_china,-0.6296
allycn_allyus,Afghanistan,AFG,ally_of_us+ally_of_china,-0.5908
allycn_allyus,Niger,NER,ally_of_us+ally_of_china,-0.5858
allycn_allyus,Solomon Islands,SLB,ally_of_us+ally_of_china,-0.543
allycn_allyus,Syria,SYR,ally_of_us+ally_of_china,-0.5306
allycn_allyus,Laos,LAO,ally_of_us+ally_of_china,-0.5169
allycn_allyus,Mongolia,MNG,ally_of_us+ally_of_china,-0.5132
allycn_allyus,Tajikistan,TJK,ally_of_us+ally_of_china,-0.504
allycn_allyus,Kyrgyzstan,KGZ,ally_of_us+ally_of_china,-0.4924
allyus_allycn,Montenegro,MNE,ally_of_us+ally_of_china,0.4589
allyus_allycn,Bulgaria,BGR,ally_of_us+ally_of_china,0.4593
allyus_allycn,Germany,DEU,ally_of_us+ally_of_china,0.4607
allyus_allycn,Australia,AUS,ally_of_us+ally_of_china,0.4777
allyus_allycn,Denmark,DNK,ally_of_us+ally_of_china,0.5031
allyus_allycn,Italy,ITA,ally_of_us+ally_of_china,0.5084
allyus_allycn,Slovakia,SVK,ally_of_us+ally_of_china,0.5098
allyus_allycn,Sweden,SWE,ally_of_us+ally_of_china,0.5134
allyus_allycn,Iceland,ISL,ally_of_us+ally_of_china,0.5186
