pairing,label,mode,bloc,n_models,n_models_bias_defined,r_A_user,r_B_user,bias,bias_lo,bias_hi,bias_p,delta_pp,delta_lo,delta_hi,delta_p,delta_logit,delta_logit_lo,delta_logit_hi
us_ally,USA / aliado de USA,he,all,24,24,6.100021815008725,5.9044820753344975,0.03710744385473486,-0.16982674698667338,0.20351569310504497,0.8224,0.19553973967422916,-0.5857090942274424,0.9984923848359202,0.6284,0.03466087169593024,-0.10443276624045826,0.18168528250879087
us_ally,USA / aliado de USA,he,US,12,12,6.424520069808028,5.6430428301337985,0.21171335200746966,-0.10729977784208529,0.44266128268283433,0.204,0.7814772396742293,-0.17225627001531574,1.7799683682373477,0.0992,0.13801512614774802,-0.026594607868719183,0.3246331048889408
us_ally,USA / aliado de USA,he,CN,12,12,5.7755235602094235,6.165921320535195,-0.1374984642979999,-0.33448146692631986,0.0606925257476727,0.1816,-0.3903977603257709,-1.4757001254363005,0.6944444444444441,0.4808,-0.06956053756619562,-0.2742409378434891,0.12052173107934817
us_ally,USA / aliado de USA,de,all,24,24,19.9555411557362,18.19431168863477,0.14416200368462426,0.01888079549947023,0.2654910878600261,0.0232,1.761229467101436,0.6738679218429475,2.8464421921404726,0.0008,0.1141624208734413,0.04477826105765706,0.18144431781788092
us_ally,USA / aliado de USA,de,US,12,12,18.242415935672515,16.45970394736842,0.17315406758131213,-0.01960939280018227,0.3565184300280064,0.0736,1.7827119883040938,0.5194382440476186,3.0420751598810503,0.0052,0.12440474559033188,0.0362986066701019,0.2128083182217053
us_ally,USA / aliado de USA,de,CN,12,12,21.668666375799887,19.9289194299011,0.1151699397879364,-0.019764162972555427,0.24809079892186778,0.0972,1.739746945898779,0.08680555555555537,3.4315747254944737,0.0344,0.10566240711322283,0.005320803070553793,0.20410367139519228
us_ally,USA / aliado de USA,pg,all,24,24,28.70202850877192,27.268366228070175,0.09952555850667037,-0.01683434149905672,0.21454743251720945,0.0944,1.4336622807017545,0.26226310734726904,2.627802702382046,0.0132,0.07114905666879945,0.013346386345571103,0.1310289293205992
us_ally,USA / aliado de USA,pg,US,12,12,27.10891812865497,25.32666301169591,0.09727442774200641,-0.07225841198718821,0.2849172916136037,0.2924,1.7822551169590644,0.3483527396015129,3.2586867234895687,0.012,0.09216183726672922,0.018106474005128874,0.16858280638451104
us_ally,USA / aliado de USA,pg,CN,12,12,30.29513888888889,29.210069444444446,0.10177668927133432,-0.02131150567659299,0.22236470478396894,0.1064,1.0850694444444446,-0.47743055555555447,2.604166666666667,0.1748,0.051920481231951365,-0.022181822595047737,0.12374282631405044
us_ally,USA / aliado de USA,control,all,24,24,22.749986365619545,22.577170593368233,0.018647598684563556,-0.08365178238211186,0.13069125364098094,0.7196,0.17281577225130904,-0.6603307186127984,1.063370896051484,0.7064,0.009859899491942103,-0.038057593197659834,0.0613122300740247
