group,n,agree,kappa,R_gpt-5.4-nano,R_deepseek-v4-flash-0731,A1_B0,A0_B1
D2 all,48381,93.45,0.778,15.967,19.9,633,2536
D2 × he,16125,96.825,0.768,6.704,8.056,147,365
D2 × de,16128,94.079,0.809,17.665,20.573,243,712
D2 × pg,16128,89.447,0.736,23.531,31.07,243,1459
D2 × deepseek-v4-pro,8063,96.689,0.889,17.289,19.31,52,215
D2 × gpt-5.6-luna,8062,93.24,0.54,4.9,10.866,32,513
D2 × haiku-4.5,8064,89.137,0.718,22.569,28.968,180,696
D2 × kimi-k2.6,8064,90.402,0.77,28.385,30.866,287,487
D2 × minimax-m3,8064,95.139,0.854,18.986,23.003,34,358
D2 × solar-pro4,8064,96.094,0.593,3.671,6.386,48,267
D2 × us_ally,3454,94.065,0.778,13.984,17.719,38,167
D2 × ally_us,3456,94.01,0.773,13.657,17.506,37,170
D2 × us_rival,3456,93.345,0.783,16.927,20.804,48,182
D2 × rival_us,3456,93.49,0.777,15.596,19.792,40,185
D2 × us_neutral,3456,93.142,0.761,15.249,19.387,47,190
D2 × neutral_us,3456,93.953,0.766,13.368,17.043,41,168
D2 × cn_ally,3456,92.795,0.783,18.634,23.293,44,205
D2 × ally_cn,3456,93.576,0.803,18.663,22.251,49,173
D2 × cn_rival,3456,93.113,0.76,15.249,19.358,48,190
D2 × rival_cn,3456,93.287,0.78,16.551,20.833,42,190
D2 × cn_neutral,3455,93.488,0.789,17.048,21.071,43,182
D2 × neutral_cn,3456,92.737,0.763,17.014,20.689,62,189
D2 × us_cn,3456,93.432,0.782,16.464,20.312,47,180
D2 × cn_us,3456,93.866,0.781,15.133,18.547,47,165
D2 × us_ally × pg,1152,90.104,0.737,20.833,28.819,11,103
D2 × ally_us × pg,1152,90.538,0.751,21.181,29.08,9,100
D2 × us_rival × pg,1152,88.542,0.72,24.479,32.118,22,110
D2 × rival_us × pg,1152,88.455,0.712,23.003,31.597,17,116
D2 × us_neutral × pg,1152,88.889,0.717,22.569,30.382,19,109
D2 × neutral_us × pg,1152,89.236,0.714,20.833,28.819,16,108
D2 × cn_ally × pg,1152,89.149,0.75,26.91,35.677,12,113
D2 × ally_cn × pg,1152,90.278,0.766,26.042,32.465,19,93
D2 × cn_rival × pg,1152,89.67,0.739,23.785,30.122,23,96
D2 × rival_cn × pg,1152,89.931,0.753,24.392,32.031,14,102
D2 × cn_neutral × pg,1152,90.365,0.766,25.26,32.118,16,95
D2 × neutral_cn × pg,1152,87.76,0.699,24.479,31.684,29,112
D2 × us_cn × pg,1152,89.236,0.734,23.524,31.858,14,110
D2 × cn_us × pg,1152,90.104,0.739,22.135,28.212,22,92
D3 all,3024,93.419,0.762,14.517,18.585,38,161
D3 × he,1008,97.123,0.693,3.968,5.853,5,24
D3 × de,1008,94.742,0.819,16.468,18.75,15,38
D3 × pg,1008,88.393,0.709,23.115,31.151,18,99
D3 × deepseek-v4-pro,504,97.024,0.887,14.881,16.27,4,11
D3 × gpt-5.6-luna,504,93.452,0.553,4.762,10.913,1,32
D3 × haiku-4.5,504,88.294,0.693,21.429,29.167,10,49
D3 × kimi-k2.6,504,90.873,0.757,23.81,26.19,17,29
D3 × minimax-m3,504,94.841,0.848,19.444,23.81,2,24
D3 × solar-pro4,504,96.032,0.481,2.778,5.159,4,16
