figure,block,panel,family,test,estimate,p,singular,n_family,q_bh,sig_p05,sig_q05
Figura 1,30,Figura 1 · A modos,contrastes de modo (2),de − he,2.53906231912027,4.60084281144957e-13,False,2,9.20168562289914e-13,True,True
Figura 1,30,Figura 1 · A modos,contrastes de modo (2),pg − de,0.963982292418965,0.0003466495130767,False,2,0.0003466495130767,True,True
Figura 1,30,Figura 1 · origen,efecto CN − US por modo (4),he,0.60685485888722,0.171747917476275,False,4,0.2289972233017,False,False
Figura 1,30,Figura 1 · origen,efecto CN − US por modo (4),de,1.07769518128273,0.043289155963227,False,4,0.173156623852908,True,False
Figura 1,30,Figura 1 · origen,efecto CN − US por modo (4),pg,0.660785063574458,0.161722301746906,False,4,0.2289972233017,False,False
Figura 1,30,Figura 1 · origen,efecto CN − US por modo (4),control,0.200274989821861,0.641388889768266,False,4,0.641388889768266,False,False
Figura 1,30,Figura 1 · origen,"efecto CN − US, pooled (1)",power shifting (pooled),0.842867101472145,0.0670310939642494,False,1,0.0670310939642494,False,False
Figura 1,30,Figura 1 · origen,interacción CN × (modo vs control) por modo (3),he vs control,0.605864152141235,0.0722629527612437,False,3,0.09416399445613939,False,False
Figura 1,30,Figura 1 · origen,interacción CN × (modo vs control) por modo (3),de vs control,0.938259116977479,0.012063628847635,False,3,0.036190886542905004,True,True
Figura 1,30,Figura 1 · origen,interacción CN × (modo vs control) por modo (3),pg vs control,0.471472585369365,0.0941639944561394,False,3,0.09416399445613939,False,False
Figura 1,30,Figura 1 · origen,"interacción CN × (power shifting vs control), pooled (1)",power shifting vs control (pooled),0.657883351074018,0.0167198603644664,False,1,0.0167198603644664,True,True
Figura 1,31,Figura 1 · C escala,pendiente de scale por modo (4),he,0.482169215250778,0.15240576759528,False,4,0.20320769012703999,False,False
Figura 1,31,Figura 1 · C escala,pendiente de scale por modo (4),de,0.516210472674037,0.0157090808382774,False,4,0.0314181616765548,True,True
Figura 1,31,Figura 1 · C escala,pendiente de scale por modo (4),pg,1.38062521430998,4.41295580988921e-10,False,4,1.765182323955684e-09,True,True
Figura 1,31,Figura 1 · C escala,pendiente de scale por modo (4),control,-0.135735316753538,0.602925419021503,True,4,0.602925419021503,False,False
Figura 1,31,Figura 1 · C escala,"pendiente de scale, pooled (1)",power shifting (pooled),0.859744400113469,2.12483034868772e-09,False,1,2.12483034868772e-09,True,True
Figura 1,31,Figura 1 · C escala,interacción scale × (modo vs control) por modo (3),he vs control,0.636176430766442,0.133392438491685,False,3,0.133392438491685,False,False
Figura 1,31,Figura 1 · C escala,interacción scale × (modo vs control) por modo (3),de vs control,0.65931701462987,0.0493366669780265,True,3,0.07400500046703976,True,False
Figura 1,31,Figura 1 · C escala,interacción scale × (modo vs control) por modo (3),pg vs control,1.56353598207522,2.84842716268267e-06,False,3,8.54528148804801e-06,True,True
