group,lang,language,n_models,odds_ratio,boot_lo,boot_hi,boot_p,boot_q,perm_p,perm_q
he,de,German,24,0.7491218133190881,0.5565796197741978,0.950459939623551,0.016,0.09333333333333334,0.10217956408718257,0.23841898287009267
he,pt,Portuguese,24,0.9903141613982401,0.598908554985321,1.535097106128379,0.922,0.922,0.9586082783443312,0.9586082783443312
he,es,Spanish,24,0.9391143347115367,0.5486823175956976,1.509851152258165,0.77,0.922,0.7150569886022795,0.9424781710324601
he,sw,Swahili,22,1.462069155248678,1.025199583421437,2.1149645094253406,0.036,0.09333333333333334,0.03279344131173765,0.11477704459108178
he,zh,Chinese,24,1.0444381200762742,0.7091460374275941,1.5333236484807853,0.816,0.922,0.8078384323135372,0.9424781710324601
he,fr,French,24,1.084847894931196,0.7595491876579447,1.603620980955131,0.614,0.922,0.6366726654669066,0.9424781710324601
he,hi,Hindi,24,1.4927705550306087,1.016365171825908,2.3506660712541607,0.04,0.09333333333333334,0.022795440911817635,0.11477704459108178
de,de,German,24,0.9453603469529308,0.7351229938510336,1.1761213847714913,0.618,0.8652,0.5816836632673466,0.8143571285742851
de,pt,Portuguese,24,1.1157373657117613,0.924984620758496,1.3217521724069918,0.222,0.518,0.2835432913417317,0.6616010131307072
de,es,Spanish,24,1.0904499596638366,0.8936045068792339,1.3156250196047297,0.446,0.7805,0.39792041591681665,0.6963607278544292
de,sw,Swahili,22,1.2742379476329386,1.0125621659068984,1.6064025497373877,0.038,0.133,0.020995800839832032,0.0734853029394121
de,zh,Chinese,24,0.9733027189703521,0.7759000622014688,1.1937761192213294,0.794,0.882,0.7956408718256349,0.9282476837965742
de,fr,French,24,0.9930422134133772,0.8507842919208896,1.1668910761468425,0.882,0.882,0.9438112377524495,0.9438112377524496
de,hi,Hindi,24,1.6491558562391244,1.3661005373496191,1.9913374296117086,0.0,0.0,0.0001999600079984003,0.0013997200559888023
pg,de,German,24,1.0156959781783856,0.8570010799569568,1.2095885332004175,0.858,0.858,0.8244351129774046,0.8244351129774046
pg,pt,Portuguese,24,1.0573243549439184,0.9163352072133925,1.24430021847869,0.428,0.5992,0.44311137772445514,0.6203559288142372
pg,es,Spanish,24,1.112030302064167,0.9631263471662375,1.2879833509253298,0.144,0.336,0.14657068586282743,0.34199826701326397
pg,sw,Swahili,22,1.0240581236390267,0.8503522639944033,1.2300249100655627,0.788,0.858,0.7564487102579485,0.8244351129774046
pg,zh,Chinese,24,1.079264049435853,0.9207972549747264,1.280860053132299,0.362,0.5992,0.28734253149370126,0.5028494301139772
pg,fr,French,24,1.2897566657503479,1.1352824408800404,1.4848395801277634,0.0,0.0,0.0007998400319936012,0.0027994401119776045
pg,hi,Hindi,24,1.3054048293628655,1.1159809780907808,1.5387639714060448,0.002,0.007,0.0005998800239952009,0.0027994401119776045
control,de,German,24,0.9737066746106224,0.8398559330366497,1.1279739616138353,0.724,0.724,0.7254549090181963,0.7254549090181962
control,pt,Portuguese,24,1.1195735051215232,0.9716968800771448,1.2855092837153261,0.134,0.46900000000000003,0.14277144571085784,0.49970005998800243
control,es,Spanish,24,1.0352617766992058,0.893279218209037,1.2057207472120504,0.63,0.724,0.6426714657068586,0.7254549090181962
control,sw,Swahili,22,1.0412638707144395,0.8862028505605939,1.2414767464279541,0.652,0.724,0.6054789042191562,0.7254549090181962
control,zh,Chinese,24,0.7947776704210175,0.6588251799603021,0.9608535581007258,0.026,0.182,0.002599480103979204,0.018196360727854428
control,fr,French,24,1.0659854242886242,0.9120804737842683,1.2478237011331164,0.484,0.724,0.3987202559488102,0.7254549090181962
control,hi,Hindi,24,1.0495357137540922,0.8880022015179145,1.2607795933393577,0.638,0.724,0.5288942211557689,0.7254549090181962
power_shifting,de,German,24,0.9717598920249918,0.848642047745368,1.0917827275983332,0.616,0.616,0.5850829834033193,0.5850829834033193
power_shifting,pt,Portuguese,24,1.0658254884458727,0.9545631344307052,1.1821095399268764,0.262,0.3668,0.23715256948610278,0.3320135972805439
power_shifting,es,Spanish,24,1.0843874639697797,0.9698199776496801,1.2021058377369893,0.168,0.29400000000000004,0.122375524895021,0.21415716856628675
power_shifting,sw,Swahili,22,1.1325680293048312,0.9986226192915494,1.2705967374962945,0.052,0.12133333333333333,0.019396120775844832,0.04525761514363794
power_shifting,zh,Chinese,24,1.039783215526023,0.9207007648587111,1.1689957727541929,0.568,0.616,0.46550689862027594,0.5430913817236552
power_shifting,fr,French,24,1.1623352751673919,1.0571080283133845,1.279453378168488,0.004,0.014,0.005198960207958408,0.018196360727854428
power_shifting,hi,Hindi,24,1.4016001397496254,1.2473297282875846,1.571442818367024,0.0,0.0,0.0001999600079984003,0.0013997200559888023
