dyad,mode,estimator,est,lo,hi,p,n_models_defined,n_discordant_total,OR,OR_lo,OR_hi
us_cn,he,logOR_uso,0.05605902886978864,-0.19695417838429338,0.3146143531572073,0.6516,24,294,1.0576601143751603,0.8212282624563869,1.3697309766616932
us_cn,he,logOR_igual,-0.15938158592200136,-0.28708254947111866,-0.048620124744680054,0.0056,24,294,0.8526709296606007,0.750449777047863,0.9525429084593089
us_cn,de,logOR_uso,0.11104522777484349,-0.007382218725061842,0.22610698659844927,0.0628,24,621,1.1174454452825784,0.9926449629235046,1.2537097882490662
us_cn,de,logOR_igual,0.05204172195034307,-0.018133256395156866,0.12188012277299325,0.1496,24,621,1.053419692320616,0.9820301618395255,1.129618678108667
us_cn,pg,logOR_uso,0.1364123551491112,0.04191776753947791,0.23769817147543382,0.0052,24,672,1.1461544188403425,1.042808722497733,1.2683263179853175
us_cn,pg,logOR_igual,0.06635105761383953,0.00896539861806974,0.12557117506865353,0.0228,24,672,1.0686017921209685,1.0090057081779635,1.1337958640872174
us_cn,control,logOR_uso,0.05990307458817412,-0.040361558230138504,0.16488955307676717,0.262,24,466,1.0617336325883633,0.960442120614889,1.179262865563309
us_cn,control,logOR_igual,-0.020520082681954266,-0.07011198651181183,0.029040654415885825,0.4168,24,466,0.9796890214939226,0.9322894102207694,1.0294664459814362
allies,he,logOR_uso,-0.0743587350549495,-0.3398710451045185,0.16263974971290482,0.5264,24,348,0.9283386064987922,0.7118621149485871,1.1766127382519835
allies,he,logOR_igual,-0.09092196588564372,-0.2273426362797521,0.03182386691037728,0.168,24,348,0.9130889602076296,0.796647775091795,1.032335660821705
allies,de,logOR_uso,0.17521046722216194,0.04965982663117972,0.3097931050136029,0.0052,24,607,1.1914969612803208,1.0509135427641827,1.3631430574907946
allies,de,logOR_igual,0.13564453566727708,0.06567361473625034,0.20866599960526855,0.0,24,607,1.1452747169177226,1.0678781205986525,1.2320334301500877
allies,pg,logOR_uso,0.09728555353104296,-0.011015338178867635,0.20562590735579697,0.0724,24,684,1.1021750586689893,0.9890451085082445,1.2282936224285579
allies,pg,logOR_igual,0.06113899524808586,0.006620912248224918,0.11443510736323315,0.0304,24,684,1.0630466623533716,1.0066428789408122,1.1212398784909472
allies,control,logOR_uso,-0.08319382526324914,-0.19599874581302074,0.025247431480907155,0.1428,24,432,0.9201727772035992,0.8220132656358746,1.0255688471517799
allies,control,logOR_igual,-0.045717632587892076,-0.09963353391822884,0.0058126673040569754,0.0876,24,432,0.9553116729950117,0.9051690710252612,1.0058295936344679
neutrals,he,logOR_uso,-0.08426017566446742,-0.33915678572261365,0.1616568579626749,0.5264,24,280,0.919192073573223,0.7123707507701414,1.1754568234609548
neutrals,he,logOR_igual,-0.06803393505142097,-0.17791867932878525,0.042600589206858136,0.2192,24,280,0.9342287699379375,0.837010486975861,1.043521018046129
neutrals,de,logOR_uso,-0.02809886595733757,-0.12794032342307962,0.07583909749933324,0.6116,23,534,0.9722922354465967,0.8799058873492424,1.0787889803471897
neutrals,de,logOR_igual,0.0074408097100548964,-0.045541420467810345,0.061914274455486196,0.7476,23,534,1.0074685613234156,0.9554800253226737,1.0638711398860379
neutrals,pg,logOR_uso,-0.0024949880498909005,-0.09961894139512942,0.09647995178165647,0.9528,24,571,0.9975081218458718,0.9051822798222137,1.1012875020701713
neutrals,pg,logOR_igual,0.0030179773496912254,-0.047471272985696956,0.0516024572387438,0.922,24,571,1.0030225360281755,0.9536378679078107,1.0529570638388979
neutrals,control,logOR_uso,-0.012030370440649252,-0.10604569374250734,0.08873638103729793,0.7916,24,379,0.988041705144294,0.8993835509365983,1.0927925375160192
neutrals,control,logOR_igual,0.025370802181673646,-0.02924547859813531,0.08026084844909386,0.3756,24,379,1.0256953801042061,0.9711780317809601,1.0835696782841522
