bloc,mode,domain,estimate,lo,hi,n_draws
all,he,Rank,1.3888888888888888,0.2976190476190476,2.840909090909091,5000
all,he,Wealth,5.208333333333332,1.1666666666666667,10.145471014492747,5000
all,he,Health,2.604166666666666,1.0416666666666665,4.340277777777779,5000
all,he,Legal,9.027777777777779,3.0797101449275366,18.155936716791963,5000
all,he,Physical,2.9513888888888893,0.793340773809524,5.556752873563203,5000
all,he,Epistemic,1.0416666666666665,0.26041666666666663,2.0001543209876522,5000
all,he,Status,2.083333333333333,0.5952380952380952,3.9473684210526305,5000
all,he,Attentional,0.3472222222222222,0.0,0.8928571428571428,5000
all,de,Rank,7.986111111111112,3.921382947118241,13.000000000000004,5000
all,de,Wealth,13.368055555555555,7.246376811594203,20.139448924731177,5000
all,de,Health,20.833333333333336,10.95679012345679,31.77313112745094,5000
all,de,Legal,22.592089371980677,12.826190476190478,33.69606389986824,5000
all,de,Physical,10.243055555555557,5.338411458333333,15.972222222222223,5000
all,de,Epistemic,12.847222222222223,5.870265151515151,21.605179398148145,5000
all,de,Status,10.76388888888889,6.000000000000001,16.50057471264367,5000
all,de,Attentional,17.708333333333336,9.634915865384617,27.166847826086958,5000
all,pg,Rank,24.13194444444445,13.27125420875421,35.91998922413793,5000
all,pg,Wealth,27.604166666666668,16.419015522875817,39.74392361111111,5000
all,pg,Health,36.28472222222223,23.765327827827836,50.38089225589224,5000
all,pg,Legal,27.77777777777778,16.806752873563223,40.530934343434325,5000
all,pg,Physical,28.125000000000007,16.493055555555554,40.417534722222214,5000
all,pg,Epistemic,17.881944444444446,9.499242424242425,27.97701719576719,5000
all,pg,Status,16.840277777777782,9.134615384615385,25.793841575091577,5000
all,pg,Attentional,10.416666666666668,5.555555555555556,16.80143529185867,5000
US,he,Rank,1.736111111111111,0.0,4.012345679012346,5000
US,he,Wealth,3.125,0.6660256410256413,6.0606060606060606,5000
US,he,Health,1.736111111111111,0.2976190476190476,3.5256410256410264,5000
US,he,Legal,9.027777777777777,3.070175438596491,17.984283625730967,5000
US,he,Physical,2.083333333333333,0.4898459383753503,3.968253968253968,5000
US,he,Epistemic,0.3472222222222222,0.0,1.1363636363636362,5000
US,he,Status,2.7777777777777777,0.3787878787878788,5.797101449275362,5000
US,he,Attentional,0.6944444444444444,0.0,1.7857142857142856,5000
US,de,Rank,6.597222222222222,3.070175438596491,10.869565217391305,5000
US,de,Wealth,10.76388888888889,6.140350877192982,15.74074074074074,5000
US,de,Health,19.444444444444443,9.803615196078432,30.059847308488607,5000
US,de,Legal,20.878623188405797,10.85509370015949,32.09950142450141,5000
US,de,Physical,8.333333333333332,4.320987654320987,13.195465686274495,5000
US,de,Epistemic,8.333333333333332,4.166666666666666,13.72549019607843,5000
US,de,Status,8.333333333333332,4.545454545454545,12.719943240454064,5000
US,de,Attentional,13.194444444444445,6.8181818181818175,20.635351966873703,5000
US,pg,Rank,23.263888888888886,13.461538461538462,33.87141577060931,5000
US,pg,Wealth,24.305555555555557,14.332142857142857,35.215359237536646,5000
US,pg,Health,30.555555555555557,18.666666666666668,44.31818181818182,5000
US,pg,Legal,23.611111111111114,13.665909090909093,35.27876984126983,5000
US,pg,Physical,23.958333333333336,14.28475422427035,34.000694444444434,5000
US,pg,Epistemic,17.708333333333336,10.415088383838382,26.191578483245138,5000
US,pg,Status,18.402777777777775,10.783803104575163,26.666666666666668,5000
US,pg,Attentional,11.458333333333332,6.7456501831501825,16.666666666666664,5000
CN,he,Rank,1.0416666666666665,0.0,2.2727272727272725,5000
CN,he,Wealth,7.291666666666667,1.586681547619048,14.23611111111111,5000
CN,he,Health,3.4722222222222223,1.4705882352941175,5.747126436781609,5000
CN,he,Legal,9.027777777777779,2.272727272727273,18.66874999999997,5000
CN,he,Physical,3.819444444444444,0.7246376811594203,7.500672043010742,5000
CN,he,Epistemic,1.736111111111111,0.32051282051282054,3.7037037037037033,5000
CN,he,Status,1.3888888888888888,0.30864197530864196,2.7777777777777777,5000
CN,he,Attentional,0.0,0.0,0.0,5000
CN,de,Rank,9.375,4.320987654320987,15.789473684210526,5000
CN,de,Wealth,15.972222222222221,7.894736842105263,25.0,5000
CN,de,Health,22.22222222222222,11.28992726122707,34.29487179487179,5000
CN,de,Legal,24.305555555555557,14.351851851851851,35.08914950419525,5000
CN,de,Physical,12.152777777777777,5.729166666666666,19.871794871794876,5000
CN,de,Epistemic,17.361111111111107,7.000000000000001,30.07246376811594,5000
CN,de,Status,13.194444444444445,7.082532051282052,20.833333333333336,5000
CN,de,Attentional,22.222222222222218,11.457368827160494,34.722222222222214,5000
CN,pg,Rank,24.999999999999996,12.280701754385964,39.131340579710134,5000
CN,pg,Wealth,30.90277777777778,18.115942028985508,45.0,5000
CN,pg,Health,42.01388888888889,28.52521929824562,56.94444444444445,5000
CN,pg,Legal,31.944444444444443,18.650210084033613,46.66666666666666,5000
CN,pg,Physical,32.29166666666667,17.85579004329004,47.50122549019606,5000
CN,pg,Epistemic,18.055555555555554,8.333333333333332,30.092592592592588,5000
CN,pg,Status,15.277777777777777,6.597222222222222,25.59638278388277,5000
CN,pg,Attentional,9.375,3.9473684210526314,17.391304347826082,5000
