bloc,mode,scale,estimate,lo,hi,n_draws
all,he,individual,2.408854166666667,0.9615384615384616,4.23860370950888,5000
all,he,group,3.5807291666666665,1.1424501031079686,7.112358639228769,5000
all,he,society,3.2552083333333335,1.9871031746031749,4.605263157894737,5000
all,de,individual,11.848958333333332,8.159398320895521,16.00568689917281,5000
all,de,group,9.70568783068783,6.219011350059736,13.728515624999993,5000
all,de,society,22.0703125,16.45815373563218,28.12532150205761,5000
all,pg,individual,13.802083333333334,9.222035256410255,19.068154835011864,5000
all,pg,group,15.755208333333334,11.212724673202613,20.770833333333304,5000
all,pg,society,41.34114583333333,33.910102739726035,49.166666666666664,5000
all,control,individual,20.38690476190476,14.39586093871511,27.152855209963484,5000
all,control,group,21.158854166666664,14.70933291245791,28.143274853801163,5000
all,control,society,19.270833333333336,12.946315836940837,26.199889520202007,5000
US,he,individual,2.213541666666667,0.9389671361502347,3.7037037037037033,5000
US,he,group,3.2552083333333335,1.0202357970215115,6.690298038229374,5000
US,he,society,2.604166666666667,1.3392857142857142,4.036458333333334,5000
US,de,individual,9.895833333333332,6.481135986733001,13.70988420181968,5000
US,de,group,8.083250661375661,5.268748820977175,11.389401086335042,5000
US,de,society,17.96875,12.948464912280702,23.56780133928571,5000
US,pg,individual,11.848958333333332,7.948717948717948,16.448920059582896,5000
US,pg,group,15.755208333333334,11.424501031079688,20.513285024154584,5000
US,pg,society,37.36979166666667,30.988653273809526,44.16695205479452,5000
US,control,individual,19.289434523809522,13.610969387755102,25.78125,5000
US,control,group,21.614583333333336,15.085513712442028,28.653018104622284,5000
US,control,society,19.401041666666664,13.150548453282829,26.100686736958934,5000
CN,he,individual,2.604166666666667,0.7575757575757577,5.092592592592593,5000
CN,he,group,3.90625,1.0751728110599077,7.720755347593579,5000
CN,he,society,3.90625,2.1665123456790125,5.868688909412758,5000
CN,de,individual,13.802083333333334,9.39387926887927,18.71589953762085,5000
CN,de,group,11.328125,6.840796019900498,16.542288557213926,5000
CN,de,society,26.171875,19.444444444444446,33.22245934959349,5000
CN,pg,individual,15.755208333333334,10.256410256410259,21.957671957671955,5000
CN,pg,group,15.755208333333334,10.713447350771293,21.370967741935484,5000
CN,pg,society,45.3125,36.25712719298246,54.726743437982506,5000
CN,control,individual,21.484375,14.70588235294118,28.922065447800737,5000
CN,control,group,20.703125,14.14065656565657,27.889004629629632,5000
CN,control,society,19.140625,12.5,26.61300353073343,5000
