model,origin,comparison,difference_pp,p,q
nova-2-lite,US,pg - he,16.666666666666668,1.9879310853839415e-06,4.337304186292236e-06
nova-2-lite,US,pg - de,6.25,0.15004964854946348,0.1756678812286402
haiku-4.5,US,pg - he,26.04166666666667,1.6548510871330489e-09,5.673775155884739e-09
haiku-4.5,US,pg - de,18.229166666666668,8.932119833740254e-05,0.00016490067385366622
sonnet-5,US,pg - he,27.083333333333332,3.7997037986049885e-15,6.079526077767982e-14
sonnet-5,US,pg - de,17.1875,3.685743649476577e-05,7.691986746733726e-05
seed-2-1-turbo,CN,pg - he,23.958333333333336,1.5880068116258784e-14,1.905608173951054e-13
seed-2-1-turbo,CN,pg - de,13.020833333333334,0.0013037037007110862,0.0022349206297904334
deepseek-v4-pro,CN,pg - he,16.145833333333336,7.792800994315581e-07,1.8702722386357395e-06
deepseek-v4-pro,CN,pg - de,7.812500000000002,0.050009516868091186,0.0648772110721183
gemini-3.1-flash-lite,US,pg - he,2.6041666666666665,0.06087457083530355,0.07689419473933079
gemini-3.1-flash-lite,US,pg - de,2.083333333333333,0.21506873442868457,0.24007672680411302
gemma-4-31b,US,pg - he,5.208333333333333,0.011418661932608612,0.016608962811067073
gemma-4-31b,US,pg - de,4.166666666666666,0.0707483182932889,0.08707485328404788
ling-3.0-flash,CN,pg - he,20.3125,2.3930309522346723e-07,6.381415872625792e-07
ling-3.0-flash,CN,pg - de,5.729166666666668,0.2401260200129978,0.25613442134719766
minimax-m3,CN,pg - he,25.520833333333332,1.0528887195422004e-10,5.053865853802562e-10
minimax-m3,CN,pg - de,6.25,0.21428048625596405,0.24007672680411302
kimi-k2.6,CN,pg - he,21.875,1.094645407753036e-09,4.041767659395825e-09
kimi-k2.6,CN,pg - de,3.125,0.5530297812827824,0.5685453782342991
kimi-k3,CN,pg - he,16.145833333333336,8.633443606545162e-08,2.437678194789222e-07
kimi-k3,CN,pg - de,10.416666666666668,0.0036241278227922076,0.005998556396345723
nemotron-3-ultra,US,pg - he,20.833333333333332,4.5573386164049594e-11,2.7344031698429756e-10
nemotron-3-ultra,US,pg - de,6.770833333333332,0.118208726731114,0.1418504720773368
nemotron-3.5-lightning,US,pg - he,7.812500000000001,0.0002059651058848377,0.00036616018823971145
nemotron-3.5-lightning,US,pg - de,2.0506108202443283,0.5567006828544179,0.5685453782342991
gpt-5.6-luna,US,pg - he,16.666666666666668,1.5815779380423824e-08,4.7447338141271473e-08
gpt-5.6-luna,US,pg - de,15.104166666666668,1.472318144506854e-06,3.3652986160156666e-06
gpt-5.6-sol,US,pg - he,19.791666666666668,2.030120664870105e-10,8.12048265948042e-10
gpt-5.6-sol,US,pg - de,14.583333333333336,5.4111531238455926e-05,0.00010389413997783539
gpt-5.6-terra,US,pg - he,15.624999999999998,4.456793328684764e-09,1.4261738651791246e-08
gpt-5.6-terra,US,pg - de,12.499999999999998,5.154502369804802e-05,0.00010309004739609603
qwen3.7-plus,CN,pg - he,21.875,3.34661374746816e-11,2.2948208554067384e-10
qwen3.7-plus,CN,pg - de,9.374999999999998,0.027395545924374272,0.037571034410570435
qwen3.8-27b,CN,pg - he,25.0,7.139670280793079e-12,5.7117362246344624e-11
qwen3.8-27b,CN,pg - de,11.979166666666664,0.007104492132394397,0.010656738198591595
qwen3.8-flash,CN,pg - he,23.958333333333332,1.0123731918831342e-13,9.718782642078088e-13
qwen3.8-flash,CN,pg - de,11.458333333333334,0.006328791337128236,0.009799418844585657
hy3,CN,pg - he,23.958333333333332,1.3569566561909302e-10,5.92126540883315e-10
hy3,CN,pg - de,2.6041666666666643,0.6470981029607145,0.6470981029607145
inkling,US,pg - he,21.875,9.465004763166108e-11,5.048002540355258e-10
inkling,US,pg - de,10.416666666666668,0.013600672849638736,0.01920094990537233
grok-4.3,US,pg - he,47.395833333333336,2.5578964444456985e-26,1.2277902933339352e-24
grok-4.3,US,pg - de,6.770833333333336,0.22061683045544134,0.24067290595139054
mimo-v2.5-pro,CN,pg - he,15.104166666666666,7.408189814004184e-07,1.8702722386357395e-06
mimo-v2.5-pro,CN,pg - de,9.895833333333332,0.005473836517405937,0.0087581384278495
glm-5.2,CN,pg - he,31.770833333333336,1.0523899606836821e-16,2.525735905640837e-15
glm-5.2,CN,pg - de,10.416666666666668,0.033578666921531344,0.044771555895375126
