bloc,mode,language,reference,estimate,direction_mean,n_models,n_models_direction,min_pairs,mean_discordant
all,he,en,es,-0.17361111111111108,-0.12622498274672192,24,23,192.0,6.833333333333333
all,he,es,en,0.17361111111111108,0.12622498274672192,24,23,192.0,6.833333333333333
US,he,en,es,-0.8246527777777777,-0.2955266955266955,12,11,192.0,6.916666666666667
US,he,es,en,0.8246527777777777,0.2955266955266955,12,11,192.0,6.916666666666667
CN,he,en,es,0.4774305555555555,0.028968253968253966,12,12,192.0,6.75
CN,he,es,en,-0.4774305555555555,-0.028968253968253966,12,12,192.0,6.75
all,he,en,pt,0.3472222222222222,-0.06133697220653741,24,23,192.0,6.666666666666667
all,he,pt,en,-0.3472222222222222,0.06133697220653741,24,23,192.0,6.666666666666667
US,he,en,pt,-0.3472222222222222,-0.29556605011150466,12,11,192.0,6.5
US,he,pt,en,0.3472222222222222,0.29556605011150466,12,11,192.0,6.5
CN,he,en,pt,1.0416666666666665,0.15337301587301588,12,12,192.0,6.833333333333333
CN,he,pt,en,-1.0416666666666665,-0.15337301587301588,12,12,192.0,6.833333333333333
all,he,en,fr,-0.6727430555555556,-0.23663378394836201,24,23,192.0,7.875
all,he,fr,en,0.6727430555555556,0.23663378394836201,24,23,192.0,7.875
US,he,en,fr,-0.6076388888888888,-0.3020202020202021,12,11,192.0,5.833333333333333
US,he,fr,en,0.6076388888888888,0.3020202020202021,12,11,192.0,5.833333333333333
CN,he,en,fr,-0.7378472222222223,-0.1766962340491752,12,12,192.0,9.916666666666666
CN,he,fr,en,0.7378472222222223,0.1766962340491752,12,12,192.0,9.916666666666666
all,he,en,de,0.3255208333333334,0.07998819362455728,24,22,192.0,6.875
all,he,de,en,-0.3255208333333334,-0.07998819362455728,24,22,192.0,6.875
US,he,en,de,-0.21701388888888887,0.041212121212121214,12,10,192.0,5.416666666666667
US,he,de,en,0.21701388888888887,-0.041212121212121214,12,10,192.0,5.416666666666667
CN,he,en,de,0.8680555555555558,0.1123015873015873,12,12,192.0,8.333333333333334
CN,he,de,en,-0.8680555555555558,-0.1123015873015873,12,12,192.0,8.333333333333334
all,he,en,zh,-0.7378472222222223,-0.08587177717612503,24,23,192.0,8.5
all,he,zh,en,0.7378472222222223,0.08587177717612503,24,23,192.0,8.5
US,he,en,zh,-0.17361111111111113,-0.06012506012506013,12,11,192.0,6.166666666666667
