bloc,mode,lang,n_models,min_pairs,max_pairs,reference_rate,language_rate,estimate,lo,hi,n_draws,full_estimate,change_from_full
all,he,es,24,186,192,3.0750704454562094,3.2422853317458227,0.16721488628961373,-0.5912020806467864,0.956343600854736,5000,0.17361111111111108,-0.006396224821497348
US,he,es,12,186,192,2.6526834559517076,3.4787068477645726,0.8260233918128653,-0.17551146914064436,1.9138768807463176,5000,0.8246527777777777,0.0013706140350876472
CN,he,es,12,187,192,3.4974574349607117,3.005863815727073,-0.491593619233638,-1.407393996402114,0.38694365226816135,5000,-0.4774305555555555,-0.014163063678082455
all,he,pt,24,187,192,3.0756366418675922,2.6352972386160403,-0.4403394032515524,-1.1129437710669126,0.2791396532210502,5000,-0.34722222222222215,-0.09311718102933025
US,he,pt,12,187,192,2.6567703671647998,2.870811004316142,0.2140406371513426,-0.5322257697381834,1.0023922931830977,5000,0.3472222222222222,-0.1331815850708796
CN,he,pt,12,188,192,3.4945029165703865,2.399783472915938,-1.0947194436544474,-2.007984158491431,-0.2225828693441545,5000,-1.0416666666666665,-0.05305277698778088
all,he,fr,24,186,192,3.076602012155915,3.6793998218682096,0.6027978097122948,-0.10870055581561665,1.3822377253354035,5000,0.6727430555555555,-0.06994524584326067
US,he,fr,12,188,192,2.651016578088247,3.172995715747209,0.5219791376589622,-0.26110651847769506,1.3940138953181835,5000,0.6076388888888888,-0.08565975122992664
CN,he,fr,12,186,192,3.5021874462235827,4.18580392798921,0.6836164817656272,-0.3699610232569208,1.7936374223461935,5000,0.7378472222222223,-0.05423074045659515
all,he,de,24,187,192,3.068753329617306,2.6995058691413605,-0.3692474604759453,-0.9365317385541657,0.17859811290034958,5000,-0.3255208333333334,-0.043726627142611885
US,he,de,12,187,192,2.6519671233381326,2.7814694339403045,0.12950231060217193,-0.5660640825245737,0.8260140630262395,5000,0.21701388888888887,-0.08751157828671693
CN,he,de,12,188,192,3.4855395358964794,2.617542304342416,-0.8679972315540624,-1.6947534904013961,-0.07849180057034273,5000,-0.8680555555555558,5.832400149341499e-05
all,he,zh,24,162,192,3.080459332475862,3.800987091699779,0.7205277592239174,0.0061705745908093666,1.528268328067231,5000,0.7378472222222223,-0.01731946299830489
US,he,zh,12,162,192,2.6749222577102163,2.806545618636587,0.13162336092637142,-0.5973432525525377,0.8947103496776551,5000,0.17361111111111113,-0.041987750184739714
