bloc,mode,lang,sensitivity,share_pct,delta_pp,lo,hi,min_pairs
all,he,es,full,4.625701024948672,0.17361111111111105,-0.5864800347222221,0.9554036458333256,192
all,he,pt,full,2.5263112414895024,-0.3472222222222221,-1.0416666666666665,0.36892361111111116,192
all,he,fr,full,4.847632543002901,0.6727430555555555,-0.021701388888888933,1.432291666666667,192
all,he,de,full,5.908280629879502,-0.3255208333333334,-0.8897569444444446,0.2387152777777777,192
all,he,zh,full,4.382882177164062,0.737847222222222,0.02170138888888883,1.541341145833326,192
all,he,hi,full,0.21440947327823096,2.1267361111111107,1.2803819444444444,3.0815972222222228,192
all,he,sw,full,0.011681759887270254,6.57620255235602,5.708144156304536,7.444610329406631,191
US,he,es,full,4.625701024948672,0.8246527777777777,-0.17361111111111124,1.909722222222222,192
US,he,pt,full,2.5263112414895024,0.34722222222222227,-0.43402777777777785,1.1718750000000002,192
US,he,fr,full,4.847632543002901,0.6076388888888887,-0.17361111111111113,1.4756944444444444,192
US,he,de,full,5.908280629879502,0.2170138888888888,-0.4774305555555556,0.954861111111111,192
US,he,zh,full,4.382882177164062,0.17361111111111113,-0.564236111111111,0.9548611111111108,192
US,he,hi,full,0.21440947327823096,3.6458333333333326,2.5607638888888897,4.774305555555556,192
US,he,sw,full,0.011681759887270254,11.720113438045376,10.290553496008538,13.06514518940786,191
CN,he,es,full,4.625701024948672,-0.4774305555555555,-1.388888888888889,0.39062500000000006,192
CN,he,pt,full,2.5263112414895024,-1.0416666666666667,-1.9531249999999998,-0.17361111111111116,192
CN,he,fr,full,4.847632543002901,0.7378472222222223,-0.3038194444444445,1.822916666666667,192
CN,he,de,full,5.908280629879502,-0.8680555555555557,-1.6927083333333333,-0.08680555555555543,192
CN,he,zh,full,4.382882177164062,1.3020833333333335,0.26041666666666674,2.431640624999985,192
CN,he,hi,full,0.21440947327823096,0.6076388888888888,-0.39062499999999994,1.7361111111111107,192
CN,he,sw,full,0.011681759887270254,1.432291666666667,0.26041666666666713,2.6041666666666656,192
all,de,es,full,4.625701024948672,-0.49970004363001735,-2.083333333333333,1.0415558873254798,191
all,de,pt,full,2.5263112414895024,-0.6700161794648051,-2.1252732557082608,0.7435779377066687,191
all,de,fr,full,4.847632543002901,-0.0663539848749272,-1.3923268457602336,1.256871159649505,191
all,de,de,full,5.908280629879502,-1.4097949389179758,-2.9513888888888893,0.19531249999999964,191
all,de,zh,full,4.382882177164062,-0.17224767306573588,-1.8229397494335753,1.4765210287594515,191
all,de,hi,full,0.21440947327823096,3.2875899869109957,1.304756030701754,5.370595806555123,191
all,de,sw,full,0.011681759887270254,4.865315045084352,3.133277205133798,6.601701684300466,191
US,de,es,full,4.625701024948672,1.7349749127399654,0.04340277777777768,3.4283706460878425,191
US,de,pt,full,2.5263112414895024,0.8301065299592789,-0.7739660714422401,2.399027306554453,191
US,de,fr,full,4.847632543002901,-1.044166303083188,-2.5203265888598025,0.43107934300465356,191
US,de,de,full,5.908280629879502,1.0432573443862718,-0.6935307017543858,2.8227769142670156,191
US,de,zh,full,4.382882177164062,-1.1691481239092496,-2.780073197487064,0.49236552244637455,191
US,de,hi,full,0.21440947327823096,5.620318862710879,3.586930104538907,7.73849826388889,191
US,de,sw,full,0.011681759887270254,12.291393979057593,10.325708306064572,14.352192404769983,191
CN,de,es,full,4.625701024948672,-2.734375,-5.034722222222222,-0.4774305555555562,192
CN,de,pt,full,2.5263112414895024,-2.170138888888889,-4.166666666666666,-0.26041666666666613,192
CN,de,fr,full,4.847632543002901,0.9114583333333335,-0.9559461805555561,2.821180555555556,192
CN,de,de,full,5.908280629879502,-3.862847222222222,-5.990668402777779,-1.7361111111111114,192
CN,de,zh,full,4.382882177164062,0.8246527777777782,-1.5624999999999998,3.1250000000000004,192
CN,de,hi,full,0.21440947327823096,0.9548611111111113,-1.6059027777777775,3.4288194444444446,192
CN,de,sw,full,0.011681759887270254,-2.560763888888889,-4.947916666666667,-0.2593315972222374,192
all,pg,es,full,4.625701024948672,0.7607984293193715,-0.8888489126461989,2.3671642079333917,191
all,pg,pt,full,2.5263112414895024,-0.5619637143688186,-2.0182291666666665,0.911458333333333,191
all,pg,fr,full,4.847632543002901,2.235243055555556,0.7807074652777776,3.7109374999999996,192
all,pg,de,full,5.908280629879502,-0.9096404159394996,-2.4077208087914483,0.6100277459642233,191
all,pg,zh,full,4.382882177164062,0.9370227966841185,-1.1224730948225703,2.936101339805113,191
all,pg,hi,full,0.21440947327823096,3.3056926169590644,1.5888786092836273,4.995529059409541,190
all,pg,sw,full,0.011681759887270254,3.0025584795321625,0.884644902244191,5.13089935124269,190
US,pg,es,full,4.625701024948672,4.4295829697498545,2.518049863742763,6.336805555555556,191
US,pg,pt,full,2.5263112414895024,1.4802392379290294,-0.043402777777777395,3.0438867982838858,191
US,pg,fr,full,4.847632543002901,1.822916666666667,0.30381944444444375,3.3420138888888897,192
US,pg,de,full,5.908280629879502,1.6095386125654452,-0.17468930356541407,3.4774657777050604,191
US,pg,zh,full,4.382882177164062,0.13793448225712593,-1.862774505526469,2.135399623691098,191
US,pg,hi,full,0.21440947327823096,6.871801900584795,4.799087354356637,8.961848569506651,190
US,pg,sw,full,0.011681759887270254,10.779422514619881,8.574521862090796,13.087074239417989,190
