model,origin,requests_30d,share_with_luna,share_without_luna
gpt-5.6-luna,US,1870908101,0.40030201264257786,0.0
gemini-3.1-flash-lite,US,422699058,0.0904412587497379,0.150811342803181
gemma-4-31b,US,354134732,0.07577114337709522,0.1263488372055105
hy3,CN,325249994,0.0695909260003714,0.11604328756717164
glm-5.2,CN,262162444,0.056092628983970126,0.09353479612486797
nemotron-3-ultra,US,158297132,0.03386946718616395,0.05647754019554118
haiku-4.5,US,151932821,0.03250775064807126,0.054206869680048675
gpt-5.6-sol,US,132951855,0.02844655764364782,0.04743480592455878
minimax-m3,CN,122366623,0.02618172717355483,0.04365818749688487
deepseek-v4-pro,CN,121386723,0.02597206645212292,0.043308576983173155
kimi-k3,CN,109954161,0.023525940116032477,0.03922964660878699
sonnet-5,US,108541097,0.023223599042790862,0.038725491051130566
gpt-5.6-terra,US,98452605,0.021065051730942676,0.03512610042892779
ling-3.0-flash,CN,87814443,0.018788896286887655,0.03133059753907329
qwen3.7-plus,CN,70936243,0.015177613922899453,0.025308762481894977
nemotron-3.5-lightning,US,68390177,0.01463285421846711,0.024400372399025372
grok-4.3,US,51465037,0.011011528508970168,0.018361790002818967
qwen3.8-27b,CN,42864591,0.009171365519893556,0.015293307153334481
kimi-k2.6,CN,40094661,0.008578707573046034,0.01430504646321765
mimo-v2.5-pro,CN,33697443,0.007209950208991343,0.012022635328095886
qwen3.8-flash,CN,19968240,0.004272431476809362,0.007124305178404706
inkling,US,16665732,0.003565822425054439,0.00594603033564826
nova-2-lite,US,2224780,0.0004760169199176258,0.0007937610763297727
seed-2-1-turbo,CN,582737,0.00012468319198394336,0.00020790997237353032
