analysis,contrast,estimate_with_luna,ci_with_luna,q_with_luna,estimate_without_luna,ci_without_luna,q_without_luna,conclusion_changes,in_paper,n_models_with_luna,perm_q_with_luna,n_models_without_luna,perm_q_without_luna,set,group
73 nationality side (usage-weighted typical request),geopolitical set (US/CN + allies) · SE · US-side vs China-side user,0.9281,[0.798; 1.075],0.4261333333333333,0.9937,[0.869; 1.131],0.9152,no: sigue sin pasar la corrección (OR 0.93 → 0.99; q 0.426 → 0.915),Fig. 2D (geopolitical); est_fig2 (D),24,0.44471105778844233,23,0.9172165566886623,geo,he
73 nationality side (usage-weighted typical request),geopolitical set (US/CN + allies) · DE · US-side vs China-side user,1.1852,[1.071; 1.318],0.0032,1.111,[1.035; 1.193],0.0032,no: sigue significativo (OR 1.19 → 1.11; q 0.0032 → 0.0032),"Fig. 2D (geopolitical); est_fig2 (D); results.tex (DE 1.19 q=0.003, PG 1.11 q=0.007, control q=0.76)",24,0.0007998400319936012,23,0.003199360127974405,geo,de
73 nationality side (usage-weighted typical request),geopolitical set (US/CN + allies) · PG · US-side vs China-side user,1.1139,[1.035; 1.206],0.0072,1.0963,[1.040; 1.160],0.0032,no: sigue significativo (OR 1.11 → 1.10; q 0.0072 → 0.0032),"Fig. 2D (geopolitical); est_fig2 (D); results.tex (DE 1.19 q=0.003, PG 1.11 q=0.007, control q=0.76)",24,0.011197760447910418,23,0.0007998400319936012,geo,pg
73 nationality side (usage-weighted typical request),geopolitical set (US/CN + allies) · CT · US-side vs China-side user,1.0148,[0.922; 1.119],0.7608,0.9822,[0.933; 1.032],0.6576000000000001,"no: sigue sin pasar la corrección, el OR cruza 1 (OR 1.01 → 0.98; q 0.761 → 0.658)","Fig. 2D (geopolitical); est_fig2 (D); results.tex (DE 1.19 q=0.003, PG 1.11 q=0.007, control q=0.76)",24,0.7458508298340332,23,0.6070785842831433,geo,control
73 nationality side (usage-weighted typical request),geopolitical set (US/CN + allies) · PS pooled · US-side vs China-side user,1.1065,[1.050; 1.172],0.0,1.0821,[1.040; 1.126],0.0,no: sigue significativo (OR 1.11 → 1.08; q <0.001 → <0.001),Fig. 2D (geopolitical); est_fig2 (D),24,0.0003999200159968006,23,0.0001999600079984003,geo,power_shifting
73 nationality side (usage-weighted typical request),neutral set · SE · US-side vs China-side user,0.889,[0.716; 1.104],0.7994666666666667,0.9224,[0.783; 1.093],0.4668,no: sigue sin pasar la corrección (OR 0.89 → 0.92; q 0.799 → 0.467),Fig. 2D (neutral); est_fig2 (D); Fig. A2 (by pairing) C,24,0.8009064853695927,23,0.439378790908485,neutral,he
73 nationality side (usage-weighted typical request),neutral set · DE · US-side vs China-side user,0.9642,[0.863; 1.082],0.7994666666666667,1.0417,[0.961; 1.132],0.4668,"no: sigue sin pasar la corrección, el OR cruza 1 (OR 0.96 → 1.04; q 0.799 → 0.467)",Fig. 2D (neutral); est_fig2 (D); Fig. A2 (by pairing) C,24,0.8009064853695927,23,0.439378790908485,neutral,de
73 nationality side (usage-weighted typical request),neutral set · PG · US-side vs China-side user,0.9704,[0.866; 1.091],0.7994666666666667,1.0236,[0.961; 1.089],0.4668,"no: sigue sin pasar la corrección, el OR cruza 1 (OR 0.97 → 1.02; q 0.799 → 0.467)",Fig. 2D (neutral); est_fig2 (D); Fig. A2 (by pairing) C,24,0.8009064853695927,23,0.4539092181563687,neutral,pg
73 nationality side (usage-weighted typical request),neutral set · CT · US-side vs China-side user,0.9942,[0.899; 1.100],0.9072,1.0356,[0.966; 1.113],0.4668,"no: sigue sin pasar la corrección, el OR cruza 1 (OR 0.99 → 1.04; q 0.907 → 0.467)",Fig. 2D (neutral); est_fig2 (D); Fig. A2 (by pairing) C,24,0.9114177164567087,23,0.439378790908485,neutral,control
73 nationality side (usage-weighted typical request),neutral set · PS pooled · US-side vs China-side user,0.9609,[0.893; 1.035],0.2928,1.0153,[0.969; 1.062],0.5268,"no: sigue sin pasar la corrección, el OR cruza 1 (OR 0.96 → 1.02; q 0.293 → 0.527)",Fig. 2D (neutral); est_fig2 (D),24,0.2891421715656869,23,0.5118976204759048,neutral,power_shifting
73 nationality side (usage-weighted typical request),US–China pairing · SE · US-side vs China-side user,0.8694,[0.683; 1.086],0.2788,0.9547,[0.785; 1.147],0.6064,no: sigue sin pasar la corrección (OR 0.87 → 0.95; q 0.279 → 0.606),Fig. A2 (by pairing) C,24,0.23941878291008464,23,0.5842831433713257,us_cn,he
