fit,term,estimate,se,z,p
A_control,(Intercept),-2.91227759876281,0.317028929620133,-9.18615724518368,4.0712581660903e-20
A_control,ctx1,-1.03163755808139,0.592053703176932,-1.74247294214304,0.0814257220808532
A_control,ctx2,1.15095695113957,0.549059238909141,2.09623455827147,0.0360613887420271
A_control,ctx3,0.936429790336215,0.564003229380229,1.66032700090253,0.0968486867192664
A_control,ctx4,-0.33255554575329,0.577592499759023,-0.575761537575428,0.56477637437709
A_control,ctx5,0.914674063151699,0.561093176629728,1.63016429578737,0.103066777770403
A_control,ctx6,-0.568061374881223,0.589157431420183,-0.964192836389916,0.334949255225645
A_control,ctx7,-0.498955922400291,0.589653542191623,-0.846184897907631,0.39744960540994
A_he,(Intercept),-6.24666182002926,0.56429032755055,-11.0699431038355,1.75512006150503e-28
A_he,ctx1,0.453219712174562,0.640710967168199,0.707369992709338,0.479336579578914
A_he,ctx2,0.4404936743884,0.638560696668864,0.689822716440729,0.490305681293791
A_he,ctx3,1.66883220136544,0.615159941507501,2.71284277268742,0.0066708749514294
A_he,ctx4,-0.446527799155195,0.676254729188307,-0.660295270232198,0.509064364747613
A_he,ctx5,-0.199307231272468,0.661774339017823,-0.301170987633445,0.763284111865966
A_he,ctx6,0.516869429740817,0.635443475214959,0.813399538906225,0.41598902361744
A_he,ctx7,-1.52850290349018,0.794359214508027,-1.92419610117676,0.0543300076554479
A_de,(Intercept),-3.3057596291507,0.334319092774901,-9.88803720933907,4.6913559589084104e-23
A_de,ctx1,-0.24393394090966,0.438750279476415,-0.555974439949666,0.578228328148434
A_de,ctx2,0.506370394921784,0.432014418955281,1.1721145700329,0.241151061009896
A_de,ctx3,0.510111829975622,0.427725166370155,1.19261589002264,0.233019839804337
A_de,ctx4,-0.58028850896378,0.451059781962974,-1.28650022052157,0.19826854190996
A_de,ctx5,-0.859782648374589,0.450009695027145,-1.91058694484955,0.0560576833917512
A_de,ctx6,-0.534583455407511,0.447454420854725,-1.19472158613687,0.232195825751023
A_de,ctx7,0.888816400008221,0.426003477770777,2.08640644123209,0.0369418220228978
A_pg,(Intercept),-2.33969859703143,0.305649909836886,-7.65483162838176,1.9356568091632e-14
A_pg,ctx1,-0.413982096604861,0.482420186752626,-0.858135932062772,0.390817408248689
A_pg,ctx2,-0.0265108750248437,0.487149840219013,-0.054420370974411,0.956600249211922
A_pg,ctx3,1.03096018713376,0.482405555315196,2.13712337218037,0.0325879584363798
A_pg,ctx4,-0.426640092194287,0.493471352842626,-0.864569117815331,0.387275328751769
A_pg,ctx5,0.754174547364814,0.47576786113151,1.58517337756101,0.11292694748187
A_pg,ctx6,0.289337099766949,0.48151291478122,0.600891670576297,0.547912141366537
A_pg,ctx7,-0.766666472074345,0.492237788900929,-1.55751242460714,0.119348873028987
