model,origin,tokens_30d,share
gpt-5.6-luna,US,47825315042504,0.32216222099661074
hy3,CN,23449248638569,0.15795948265869716
nemotron-3-ultra,US,18381189247545,0.12381987964502225
glm-5.2,CN,10628570433714,0.07159647257735942
gpt-5.6-sol,US,7441188445899,0.05012554113767163
kimi-k3,CN,6799116560354,0.04580039859542548
minimax-m3,CN,6539044484119,0.044048493822302616
sonnet-5,US,5608205154789,0.03777814797175393
deepseek-v4-pro,CN,4537696737012,0.030566959312356673
nemotron-3.5-lightning,US,4084955716049,0.02751719262038432
gpt-5.6-terra,US,2525632980771,0.017013239322821918
gemini-3.1-flash-lite,US,1973494158591,0.013293906390171605
gemma-4-31b,US,1560948083686,0.010514902014837953
mimo-v2.5-pro,CN,1503163602416,0.01012565258054702
inkling,US,1101659484277,0.007421029342331267
haiku-4.5,US,1029448829125,0.0069346019132027065
qwen3.8-27b,CN,908676301061,0.0061210506414150654
qwen3.8-flash,CN,766362820282,0.00516239460318982
kimi-k2.6,CN,756946460939,0.005098963860769263
ling-3.0-flash,CN,405396763489,0.0027308449843849877
qwen3.7-plus,CN,340997913253,0.0022970396533961712
grok-4.3,US,271373660725,0.0018280348217559659
seed-2-1-turbo,CN,6656082194,4.483688650768503e-05
nova-2-lite,US,5747080966,3.871364708436154e-05
