mode,lang,language,n_models,or_usage_weighted,lo,hi,or_unweighted
he,de,German,24,0.542802170395469,0.35630393261120685,0.7250896626580563,0.867568993850505
he,pt,Portuguese,24,0.963580440145056,0.49799219925060734,1.7967433135096038,0.9548038469477108
he,es,Spanish,24,1.015710542141578,0.5118951869809281,1.8966081082149775,1.1191959493208543
he,sw,Swahili,22,1.3595053543188926,0.8247556333973525,2.4377032822122113,1.5960021154273094
he,zh,Chinese,24,0.8619937173427733,0.4314566456841571,1.5330788277116747,1.1498782584398362
he,fr,French,24,0.9637067761272923,0.5404884685223504,1.633503422885831,1.2074324800258591
he,hi,Hindi,24,1.2939425572432368,0.7329004135503183,2.5353718876258844,1.4039482489950164
de,de,German,24,0.9086779186635163,0.6638700298902996,1.2934545137022626,0.8980889962168902
de,pt,Portuguese,24,1.2261017781792367,0.9587447741283975,1.6560720949384589,0.9923757498998609
de,es,Spanish,24,1.0078340701138926,0.7615971627584844,1.3728342577167962,0.9994449386213659
de,sw,Swahili,22,1.1988325235087274,0.8862743445915726,1.7340217101032012,1.0441180880289829
de,zh,Chinese,24,0.9062401880566469,0.646538342715773,1.2635946579564674,0.9575311903673293
de,fr,French,24,0.8682744173297753,0.6506136333851746,1.1360584102777014,0.9469044866782494
de,hi,Hindi,24,1.7454276890483014,1.3516682676433724,2.5356211542751748,1.2801393868108297
pg,de,German,24,0.889979653584927,0.7580493616676424,1.0390956317974112,0.8987957511891547
pg,pt,Portuguese,24,1.0191503245801783,0.8811974741264237,1.1844034433011528,0.914548943580272
pg,es,Spanish,24,0.9671952729015889,0.8317782535179206,1.1010800685840674,0.976760022674209
pg,sw,Swahili,22,0.8747307046460902,0.7182117005080555,1.0528268687554994,0.8767213498468507
pg,zh,Chinese,24,0.9297812519106903,0.7783045841860029,1.0937241421666537,0.9532558164074012
pg,fr,French,24,1.1784067790865722,1.0342766978302012,1.353265794308179,1.0423842095168714
pg,hi,Hindi,24,1.2321465239852782,1.0383862500546581,1.4641065327476126,1.1369407368348639
control,de,German,24,0.8342984637946552,0.6897423789397167,0.975852692869018,0.8705851187850935
control,pt,Portuguese,24,0.9356518863743133,0.8003586594928335,1.0864214720172876,0.8322727416785562
control,es,Spanish,24,0.9502568752887691,0.817088710118098,1.093324518914644,0.8689245418849045
control,sw,Swahili,22,0.859685543401107,0.6978561280968908,1.033826724380979,0.75406926546382
control,zh,Chinese,24,0.699767659334396,0.5614453249516855,0.8479595809567911,0.799827586412302
control,fr,French,24,0.9103381461390447,0.7682808620355027,1.0637040430929994,0.8300138376817546
control,hi,Hindi,24,0.9568389221747976,0.8047797592983026,1.14856367535758,0.9328427469841156
