mode,lang,language,n_models,or_usage_weighted,lo,hi
he,de,German,24,0.632222009644847,0.44226085341127824,0.8463414940543786
he,pt,Portuguese,24,0.8976030224866343,0.48241027013591226,1.42929841700269
he,es,Spanish,24,0.9793017338622646,0.5796292333757503,1.527338125239403
he,sw,Swahili,22,1.2815211013493377,0.8646685578970739,1.9284223708791668
he,zh,Chinese,24,0.9837564198953779,0.6337759717418342,1.4513488467651303
he,fr,French,24,1.056105575823563,0.746597029633856,1.4983226590764274
he,hi,Hindi,24,1.60826572235254,1.116844425119788,2.591149864695031
de,de,German,24,0.7391940849706744,0.5782847208810744,0.9235186284472315
de,pt,Portuguese,24,0.9619954417374686,0.8046692469269943,1.1325071016976547
de,es,Spanish,24,0.8439969114043001,0.6863519289970156,1.0177197099460247
de,sw,Swahili,22,0.9684416652442875,0.7831900565130963,1.182596834254654
de,zh,Chinese,24,0.813189805888373,0.652180272427439,1.00360412292645
de,fr,French,24,0.8550353969888911,0.7356550318847387,0.9914066432215766
de,hi,Hindi,24,1.388419363559409,1.1592563539086247,1.6706255892562394
pg,de,German,24,0.9176495138033904,0.7824337910271819,1.0647085857768157
pg,pt,Portuguese,24,1.0295643621931232,0.897254217466489,1.188347709938933
pg,es,Spanish,24,1.0090618447721238,0.8789205712971411,1.1427340174725273
pg,sw,Swahili,22,0.927998852108216,0.7838561739000065,1.0977169077045632
pg,zh,Chinese,24,0.9800390353817174,0.8322077379455322,1.1423753133933257
pg,fr,French,24,1.2170820975691519,1.0684747987734236,1.383142605243563
pg,hi,Hindi,24,1.265474453981196,1.0911649277164748,1.4789265167802235
control,de,German,24,0.8960278037147353,0.7698270194141084,1.0302503274867285
control,pt,Portuguese,24,1.0137098360759742,0.880879879756316,1.1697023424047877
control,es,Spanish,24,0.9929903019913331,0.8621349339533809,1.1431522641610248
control,sw,Swahili,22,0.972243920378792,0.8130880503878763,1.1643474826250275
control,zh,Chinese,24,0.7247939058949406,0.5942951020517622,0.8853942141153293
control,fr,French,24,1.0044975584960243,0.8669255026227385,1.178375348181576
control,hi,Hindi,24,1.0393934445590465,0.8811299243352617,1.2439494374608864
