panel,family,test,p,q,sig_p05,sig_q05
A,8 idiomas de he,en,0.273778165344731,0.438045064551569,False,False
A,8 idiomas de he,de,0.0276966121722962,0.0780516886403219,True,False
A,8 idiomas de he,fr,0.594005064609892,0.750400976125025,False,False
A,8 idiomas de he,es,0.656600854109397,0.750400976125025,False,False
A,8 idiomas de he,pt,0.0606848131058459,0.121369626211692,False,False
A,8 idiomas de he,zh,0.799972412676057,0.799972412676057,False,False
A,8 idiomas de he,hi,0.0292693832401207,0.0780516886403219,True,False
A,8 idiomas de he,sw,0.0038851661476855,0.031081329181484,True,True
A,8 idiomas de de,en,0.893339099664595,0.893339099664595,False,False
A,8 idiomas de de,de,0.209795127923072,0.839180511692287,False,False
A,8 idiomas de de,fr,0.661952379207229,0.893339099664595,False,False
A,8 idiomas de de,es,0.713351150588204,0.893339099664595,False,False
A,8 idiomas de de,pt,0.72916778757651,0.893339099664595,False,False
A,8 idiomas de de,zh,0.639003441857923,0.893339099664595,False,False
A,8 idiomas de de,hi,0.0036113336429793,0.028890669143835,True,True
A,8 idiomas de de,sw,0.892691385921765,0.893339099664595,False,False
A,8 idiomas de pg,en,0.931489541518954,0.986442652510513,False,False
A,8 idiomas de pg,de,0.28759101121535,0.577472071859159,False,False
A,8 idiomas de pg,fr,0.28873603592958,0.577472071859159,False,False
A,8 idiomas de pg,es,0.977623128971406,0.986442652510513,False,False
A,8 idiomas de pg,pt,0.40138831533399,0.642221304534384,False,False
A,8 idiomas de pg,zh,0.986442652510513,0.986442652510513,False,False
A,8 idiomas de pg,hi,0.0360009055816891,0.288007244653513,True,False
A,8 idiomas de pg,sw,0.199850660526492,0.577472071859159,False,False
A,8 idiomas de control,en,0.0479429901035442,0.327091871622096,True,False
A,8 idiomas de control,de,0.876986299137572,0.990721493957303,False,False
A,8 idiomas de control,fr,0.990721493957303,0.990721493957303,False,False
A,8 idiomas de control,es,0.981323755035582,0.990721493957303,False,False
A,8 idiomas de control,pt,0.491703284708328,0.786725255533324,False,False
A,8 idiomas de control,zh,0.326673164156655,0.65334632831331,False,False
A,8 idiomas de control,hi,0.176485199337277,0.47062719823274,False,False
A,8 idiomas de control,sw,0.081772967905524,0.327091871622096,False,False
C,test único,C B1,2.2305026108970992e-09,2.2305026108970992e-09,True,True
C,test único,C B2,3.144526934822855e-09,3.144526934822855e-09,True,True
D,"4 modos, peso eq",he,0.3214196450887278,0.3214196450887278,False,False
D,"4 modos, peso eq",de,0.0004998750312421,0.0006665000416562,True,True
D,"4 modos, peso eq",pg,0.0004998750312421,0.0006665000416562,True,True
D,"4 modos, peso eq",control,0.0004998750312421,0.0006665000416562,True,True
D,"4 modos, peso wt",he,0.1149712571857035,0.1149712571857035,False,False
D,"4 modos, peso wt",de,0.0084978755311172,0.0169957510622344,True,True
D,"4 modos, peso wt",pg,0.0229942514371407,0.0306590019161876,True,True
D,"4 modos, peso wt",control,0.0004998750312421,0.0019995001249687,True,True
F,3 tipos de par,CN–CN,0.0438,0.10710000000000001,True,False
F,3 tipos de par,US–US,0.0714,0.10710000000000001,False,False
F,3 tipos de par,mixto,0.1134,0.1134,False,False
F,test único,dentro − mixto,0.0094,0.0094,True,True
