panel,family,test,p_24,q_24,sig_p05_24,sig_q05_24,p_22,q_22,sig_p05_22,sig_q05_22,stars_24,stars_22
A,8 idiomas de control,de,0.876986299137572,0.990721493957303,False,False,0.486139805999977,0.682882955040566,False,False,,
A,8 idiomas de control,en,0.0479429901035442,0.327091871622096,True,False,0.0452137846323531,0.180855138529412,True,False,,
A,8 idiomas de control,es,0.981323755035582,0.990721493957303,False,False,0.818257014377894,0.831521680884751,False,False,,
A,8 idiomas de control,fr,0.990721493957303,0.990721493957303,False,False,0.366700557586544,0.682882955040566,False,False,,
A,8 idiomas de control,hi,0.176485199337277,0.47062719823274,False,False,0.335421369197917,0.682882955040566,False,False,,
A,8 idiomas de control,pt,0.491703284708328,0.786725255533324,False,False,0.512162216280425,0.682882955040566,False,False,,
A,8 idiomas de control,sw,0.081772967905524,0.327091871622096,False,False,0.0422922520555426,0.180855138529412,True,False,,
A,8 idiomas de control,zh,0.326673164156655,0.65334632831331,False,False,0.831521680884751,0.831521680884751,False,False,,
A,8 idiomas de de,de,0.209795127923072,0.839180511692287,False,False,0.0292389171177146,0.116955668470858,True,False,,
A,8 idiomas de de,en,0.893339099664595,0.893339099664595,False,False,0.893452543540708,0.893452543540708,False,False,,
A,8 idiomas de de,es,0.713351150588204,0.893339099664595,False,False,0.496541350813723,0.893452543540708,False,False,,
A,8 idiomas de de,fr,0.661952379207229,0.893339099664595,False,False,0.593532272646732,0.893452543540708,False,False,,
A,8 idiomas de de,hi,0.0036113336429793,0.028890669143835,True,True,0.0127088947995201,0.101671158396161,True,False,*,
A,8 idiomas de de,pt,0.72916778757651,0.893339099664595,False,False,0.628359476292023,0.893452543540708,False,False,,
A,8 idiomas de de,sw,0.892691385921765,0.893339099664595,False,False,0.879535431969288,0.893452543540708,False,False,,
A,8 idiomas de de,zh,0.639003441857923,0.893339099664595,False,False,0.717358561308651,0.893452543540708,False,False,,
A,8 idiomas de he,de,0.0276966121722962,0.0780516886403219,True,False,0.0025671207429462,0.0102684829717848,True,True,,*
A,8 idiomas de he,en,0.273778165344731,0.438045064551569,False,False,0.219889573195424,0.236215357406929,False,False,,
A,8 idiomas de he,es,0.656600854109397,0.750400976125025,False,False,0.236215357406929,0.236215357406929,False,False,,
A,8 idiomas de he,fr,0.594005064609892,0.750400976125025,False,False,0.113769383614337,0.223085860879824,False,False,,
A,8 idiomas de he,hi,0.0292693832401207,0.0780516886403219,True,False,0.167314395659868,0.223085860879824,False,False,,
A,8 idiomas de he,pt,0.0606848131058459,0.121369626211692,False,False,0.0374593123280949,0.0998914995415863,True,False,,
A,8 idiomas de he,sw,0.0038851661476855,0.031081329181484,True,True,0.0001139312581438,0.0009114500651509,True,True,*,***
A,8 idiomas de he,zh,0.799972412676057,0.799972412676057,False,False,0.152025465788592,0.223085860879824,False,False,,
A,8 idiomas de pg,de,0.28759101121535,0.577472071859159,False,False,0.0474932238007552,0.189972895203021,True,False,,
A,8 idiomas de pg,en,0.931489541518954,0.986442652510513,False,False,0.777101103765658,0.777101103765658,False,False,,
A,8 idiomas de pg,es,0.977623128971406,0.986442652510513,False,False,0.65562424262327,0.749284848712308,False,False,,
A,8 idiomas de pg,fr,0.28873603592958,0.577472071859159,False,False,0.0210153581030076,0.168122864824061,True,False,,
A,8 idiomas de pg,hi,0.0360009055816891,0.288007244653513,True,False,0.130491146554033,0.260982293108066,False,False,,
A,8 idiomas de pg,pt,0.40138831533399,0.642221304534384,False,False,0.4823699352389,0.71459976470657,False,False,,
A,8 idiomas de pg,sw,0.199850660526492,0.577472071859159,False,False,0.120060614693833,0.260982293108066,False,False,,
A,8 idiomas de pg,zh,0.986442652510513,0.986442652510513,False,False,0.535949823529928,0.71459976470657,False,False,,
C,test único,C B1,2.230502610897099e-09,2.230502610897099e-09,True,True,1.9358188982978672e-08,1.9358188982978672e-08,True,True,***,***
C,test único,C B2,3.144526934822855e-09,3.144526934822855e-09,True,True,3.7849078200431165e-08,3.7849078200431165e-08,True,True,***,***
D,"4 modos, peso eq",control,0.0004998750312421,0.0006665000416562,True,True,0.0004998750312421,0.0006665000416562,True,True,***,***
D,"4 modos, peso eq",de,0.0004998750312421,0.0006665000416562,True,True,0.0004998750312421,0.0006665000416562,True,True,***,***
D,"4 modos, peso eq",he,0.3214196450887278,0.3214196450887278,False,False,0.6873281679580105,0.6873281679580105,False,False,,
D,"4 modos, peso eq",pg,0.0004998750312421,0.0006665000416562,True,True,0.0004998750312421,0.0006665000416562,True,True,***,***
D,"4 modos, peso wt",control,0.0004998750312421,0.0019995001249687,True,True,0.0004998750312421,0.0019995001249687,True,True,**,**
D,"4 modos, peso wt",de,0.0084978755311172,0.0169957510622344,True,True,0.0099975006248437,0.0199950012496875,True,True,*,*
D,"4 modos, peso wt",he,0.1149712571857035,0.1149712571857035,False,False,0.0584853786553361,0.0584853786553361,False,False,,
D,"4 modos, peso wt",pg,0.0229942514371407,0.0306590019161876,True,True,0.0354911272181954,0.0473215029575939,True,True,*,*
F,3 tipos de par,CN–CN,0.0438,0.1071,True,False,0.04,0.060000000000000005,True,False,,
F,3 tipos de par,US–US,0.0714,0.1071,False,False,0.0258,0.060000000000000005,True,False,,
F,3 tipos de par,mixto,0.1134,0.1134,False,False,0.6782,0.6782,False,False,,
F,test único,dentro − mixto,0.0094,0.0094,True,True,0.0213,0.0213,True,True,**,*
