mode,lang,rate,dev,lo,hi,n_models,B,seed
he,de,2.6515151515151514,-0.9293534576788831,-1.4263765921237905,-0.48233946935904637,22,2000,36
he,en,3.101325757575758,-0.4795428516182764,-0.9946458717574965,0.017755681818181646,22,2000,36
he,es,3.077651515151516,-0.5032170940425185,-0.9676885324944472,-0.02367424242424171,22,2000,36
he,fr,4.00094696969697,0.42007836050293523,-0.08885239109848528,0.9352789904113128,22,2000,36
he,hi,3.977272727272727,0.39640411807869286,-0.27233319265131695,1.1126645180811168,22,2000,36
he,pt,2.8172348484848477,-0.7636337607091866,-1.2462175725179432,-0.26651650255830506,22,2000,36
he,sw,4.925357964461368,1.344489355267333,0.7395101300837329,1.9689056333541566,22,2000,36
he,zh,4.09564393939394,0.5147753301999056,-0.02125943354520323,1.0683001893939392,22,2000,36
de,de,12.689393939393941,-2.1194179606933177,-3.1338623683789835,-1.0881065815176758,22,2000,36
de,en,14.867424242424246,0.05861234233698609,-0.9716426699939792,1.2095313118113615,22,2000,36
de,es,13.944128787878787,-0.8646831122084725,-1.8787020515433899,0.12739701704545195,22,2000,36
de,fr,15.459280303030301,0.6504684029430413,-0.3376308642684947,1.6179338273937023,22,2000,36
de,hi,17.050784348722832,2.241972448635571,0.8023949359390399,3.7770314558204343,22,2000,36
de,pt,14.161659130572742,-0.6471527695145168,-1.611354627493606,0.3286052979614446,22,2000,36
de,sw,14.99905798825956,0.1902460881722995,-1.0239342252697115,1.3287505546713883,22,2000,36
de,zh,15.298766460415674,0.489954560328415,-0.6562577875797424,1.6699690041278903,22,2000,36
pg,de,22.52288096937966,-2.2001059306554103,-3.216523877518646,-1.2132446933027952,22,2000,36
pg,en,24.408143939393938,-0.3148429606411346,-1.4944566947286988,0.8811290434893858,22,2000,36
pg,es,24.368976082817706,-0.35401081721736505,-1.3968569224636143,0.6905906823306656,22,2000,36
pg,fr,27.48579545454546,2.7628085545103875,1.5473159337714555,4.0371384826082695,22,2000,36
pg,hi,26.465311004784688,1.7423241047496152,0.5758816510660698,2.9310027859765313,22,2000,36
pg,pt,23.991303744248775,-0.7316831557862974,-1.7292304269661676,0.23541061355625073,22,2000,36
pg,sw,22.796551036682615,-1.9264358633524576,-3.415968524412971,-0.4898763746586836,22,2000,36
pg,zh,25.744932968427737,1.021946068392665,-0.5489794364512611,2.503477507654472,22,2000,36
control,de,17.792866492146594,-0.6691367401801179,-1.673670175155136,0.33747229030299253,22,2000,36
control,en,20.008205418054896,1.5462021857281822,0.3952091247328461,2.7160356202613123,22,2000,36
control,es,18.163969538315087,-0.29803369401162627,-1.3214650629919535,0.7380754348099874,22,2000,36
control,fr,19.355738338886244,0.8937351065595317,-0.1283019316072409,1.9803832359931601,22,2000,36
control,hi,19.46944776714514,1.0074445348184273,-0.20432477888570735,2.252795246738089,22,2000,36
control,pt,17.68465909090909,-0.7773441414176241,-1.7934833197194533,0.22918795297235,22,2000,36
control,sw,16.826252849520277,-1.6357503828064361,-3.027564906963491,-0.262347329938696,22,2000,36
control,zh,18.394886363636367,-0.06711686869034506,-1.4712671934375328,1.4154598019045763,22,2000,36
