mode,model,origin,share_requests,n_langs,range_or,null_or,excess_or
he,gemini-3.1-flash-lite,US,0.09182868654150064,8,3.015665796344648,3.015665796344648,1.0
he,gemma-4-31b,US,0.07693352204793968,8,1.8190981432360747,3.2000457753363407,0.5684600380583239
he,gpt-5.6-luna,US,0.4064429061365053,8,2.2352,2.8342054217246537,0.7886513739853935
he,gpt-5.6-sol,US,0.028882946358271835,8,3.080862533692722,2.685594884980037,1.14718066783763
he,gpt-5.6-terra,US,0.021388203339074263,8,2.3579595426561135,3.114313863371601,0.7571361288882272
he,grok-4.3,US,0.011180452525445903,8,3.977989562060359,1.965728443140943,2.023671975618423
he,haiku-4.5,US,0.03300644070745694,8,1.956037151702786,1.6304125789479536,1.1997191244469827
he,inkling,US,0.003620524462613399,8,2.5639402380349456,2.078359074799046,1.2336367998791788
he,nemotron-3-ultra,US,0.034389046863800975,8,2.6557640750670246,2.8497174553729736,0.9319394349287992
he,sonnet-5,US,0.02357986417202659,8,2.818395303326809,2.420146339887503,1.164555736517081
he,deepseek-v4-pro,CN,0.026370494860830655,8,2.505525460455037,2.0005674513643688,1.2524073900863937
he,glm-5.2,CN,0.05695312643216183,8,3.1504178272980496,2.369160986499716,1.3297609766707286
he,hy3,CN,0.07065849611297446,8,19.93188010899183,2.777452990303796,7.176315919144214
he,kimi-k2.6,CN,0.008710310532456205,8,6.654084507042254,2.290762960704449,2.904745982533264
he,kimi-k3,CN,0.023886843354173414,8,2.6557640750670246,3.094846449332612,0.8581246658100684
he,ling-3.0-flash,CN,0.019077130188597326,8,16.586119873817033,2.3707285305016317,6.996212202460612
he,mimo-v2.5-pro,CN,0.007320555539295918,8,3.744888888888889,3.605832288552507,1.038564356078858
he,minimax-m3,CN,0.026583371914230696,8,4.971007715688566,1.8932921559658968,2.625589347119287
he,qwen3.7-plus,CN,0.015410448401989808,8,2.189064304967269,2.2283053810311597,0.9823897225228027
he,qwen3.8-27b,CN,0.009312060238063285,8,3.4027388733271087,2.4474299100707606,1.3903314899133221
he,qwen3.8-flash,CN,0.004337973357265982,8,3.944959128065395,2.2763430368322073,1.7330248843141227
he,seed-2-1-turbo,CN,0.00012659591332497326,8,8.841181902123735,2.8867732516496076,3.0626520101887325
de,gemini-3.1-flash-lite,US,0.09182868654150064,8,7.110817941952511,5.61143171259082,1.2672020807091704
de,gemma-4-31b,US,0.07693352204793968,8,1.5881904761904757,2.7650823104505484,0.5743736706093543
de,gpt-5.6-luna,US,0.4064429061365053,8,5.176899553046342,1.7854351395772192,2.8995170075302776
de,gpt-5.6-sol,US,0.028882946358271835,8,2.6095534787123573,1.6292395521197018,1.6017002995767138
de,gpt-5.6-terra,US,0.021388203339074263,8,3.2831858407079664,1.7992706818861985,1.824731472457585
de,grok-4.3,US,0.011180452525445903,8,3.1568011175135324,1.3952479528519568,2.2625377167268885
de,haiku-4.5,US,0.03300644070745694,8,2.814586933978569,1.4542537059862706,1.9354167174493975
de,inkling,US,0.003620524462613399,8,2.7479245283018865,1.457790028868309,1.8849933624769795
de,nemotron-3-ultra,US,0.034389046863800975,8,2.310557029177719,1.6559851932760736,1.395276382034969
de,sonnet-5,US,0.02357986417202659,8,3.0035555555555558,1.482231886893157,2.026373593845144
de,deepseek-v4-pro,CN,0.026370494860830655,8,3.4543898263634136,1.4433960072630463,2.393237759409903
de,glm-5.2,CN,0.05695312643216183,8,2.9992600813910473,1.5656362897956908,1.9156812478985386
de,hy3,CN,0.07065849611297446,8,7.692260061919503,1.7002156079198065,4.524285053076822
de,kimi-k2.6,CN,0.008710310532456205,8,2.2136074954411122,1.4886218061006764,1.487018050097947
de,kimi-k3,CN,0.023886843354173414,8,3.0742848111269168,1.8314862292502243,1.6785738063591507
de,ling-3.0-flash,CN,0.019077130188597326,8,7.375680899666139,1.6762601973070248,4.400081151789829
de,mimo-v2.5-pro,CN,0.007320555539295918,8,8.996547259387139,1.920280079962531,4.685018270648666
de,minimax-m3,CN,0.026583371914230696,8,2.5028147524596203,1.465316614454513,1.7080368350230795
de,qwen3.7-plus,CN,0.015410448401989808,8,4.504960484277788,1.5566949217518147,2.893926370112498
de,qwen3.8-27b,CN,0.009312060238063285,8,2.0368275959567397,1.520812333789585,1.339302391690459
de,qwen3.8-flash,CN,0.004337973357265982,8,2.5811571940604203,1.5275221446838112,1.6897674466085766
de,seed-2-1-turbo,CN,0.00012659591332497326,8,3.3659911023232816,1.5322470347651418,2.1967679009665764
pg,gemini-3.1-flash-lite,US,0.09182868654150064,8,2.2352,2.8499497124287565,0.7842945404447643
pg,gemma-4-31b,US,0.07693352204793968,8,1.5031774482646245,1.8882028158294466,0.7960889771283977
pg,gpt-5.6-luna,US,0.4064429061365053,8,1.7458178674937712,1.374290112775538,1.2703415758175614
pg,gpt-5.6-sol,US,0.028882946358271835,8,1.9505984337290054,1.3385817972640603,1.457212728961242
pg,gpt-5.6-terra,US,0.021388203339074263,8,1.8602428010087386,1.410650446672466,1.3187128004650623
pg,grok-4.3,US,0.011180452525445903,8,2.2564135509015375,1.3612479072941326,1.657606626104426
pg,haiku-4.5,US,0.03300644070745694,8,2.8479246243952128,1.3646975120650804,2.0868541191122207
pg,inkling,US,0.003620524462613399,8,3.0003238866396758,1.3477885005436725,2.2261088334181527
pg,nemotron-3-ultra,US,0.034389046863800975,8,2.1443972778114686,1.4161988787477098,1.5141921872637525
pg,sonnet-5,US,0.02357986417202659,8,2.163260821797407,1.3292765998687466,1.6273970534131188
pg,deepseek-v4-pro,CN,0.026370494860830655,8,2.9961215255332903,1.3556785645390572,2.2100530346232907
pg,glm-5.2,CN,0.05695312643216183,8,2.407261127145678,1.387962412859865,1.734384955126826
pg,hy3,CN,0.07065849611297446,8,4.047896103896102,1.5096015302320689,2.6814334927666805
pg,kimi-k2.6,CN,0.008710310532456205,8,2.610850286906625,1.4097843806795727,1.85195007313678
pg,kimi-k3,CN,0.023886843354173414,8,2.005453805453805,1.521334728958784,1.3182199599337068
pg,ling-3.0-flash,CN,0.019077130188597326,8,4.264417453891137,1.535658558532089,2.7769307377594563
pg,mimo-v2.5-pro,CN,0.007320555539295918,8,7.411672278338948,1.7202317473539814,4.308531271870433
pg,minimax-m3,CN,0.026583371914230696,8,2.190082644628099,1.3943506675227295,1.570682824370935
pg,qwen3.7-plus,CN,0.015410448401989808,8,3.4694389210685572,1.3642696002738106,2.5430742723961868
pg,qwen3.8-27b,CN,0.009312060238063285,8,1.7743969429185573,1.415644103791535,1.2534202192247124
pg,qwen3.8-flash,CN,0.004337973357265982,8,1.6073161138062146,1.365152370555359,1.1773895342923082
pg,seed-2-1-turbo,CN,0.00012659591332497326,8,2.9712735397382692,1.3730816442251976,2.1639452775693457
control,gemini-3.1-flash-lite,US,0.09182868654150064,8,3.080862533692722,2.224845737846743,1.3847533252684978
control,gemma-4-31b,US,0.07693352204793968,8,2.6221585482330476,1.7139045158320734,1.5299326911219624
control,gpt-5.6-luna,US,0.4064429061365053,8,2.156770930885934,1.3551098081784008,1.591583883364524
control,gpt-5.6-sol,US,0.028882946358271835,8,1.5585854474743364,1.3310469727556298,1.1709469908846568
control,gpt-5.6-terra,US,0.021388203339074263,8,1.6575459142933193,1.3835582860286848,1.1980311426207264
control,grok-4.3,US,0.011180452525445903,8,2.3590801562414034,1.4303161687699908,1.6493417383864921
control,haiku-4.5,US,0.03300644070745694,8,2.899748568983042,1.3434423104029354,2.1584466608866353
control,inkling,US,0.003620524462613399,8,2.470196153113693,1.382589707094903,1.7866443966981846
control,nemotron-3-ultra,US,0.034389046863800975,8,2.372395648154732,1.4380821851977832,1.6496940665657789
control,sonnet-5,US,0.02357986417202659,8,1.6804891015417334,1.4283296206480256,1.1765415190222719
control,deepseek-v4-pro,CN,0.026370494860830655,8,1.5982712369597614,1.4568801165636494,1.0970506212478293
control,glm-5.2,CN,0.05695312643216183,8,3.8436209398370362,1.5758320221374522,2.4391057459433805
control,hy3,CN,0.07065849611297446,8,2.923987538940809,1.72624481927048,1.6938429047257049
control,kimi-k2.6,CN,0.008710310532456205,8,2.5561030235162367,1.4651697883156936,1.7445780304101417
control,kimi-k3,CN,0.023886843354173414,8,2.318862425886846,1.5888910468122048,1.4594219223144242
control,ling-3.0-flash,CN,0.019077130188597326,8,4.590697674418606,1.5354130840624651,2.9898779175909658
control,mimo-v2.5-pro,CN,0.007320555539295918,8,8.221280327389655,1.708831044076419,4.81105511038574
control,minimax-m3,CN,0.026583371914230696,8,1.813166556945359,1.3947902689883525,1.299956414422404
control,qwen3.7-plus,CN,0.015410448401989808,8,2.6773155226522896,1.4133985350740834,1.8942396332057594
control,qwen3.8-27b,CN,0.009312060238063285,8,2.2940957347737005,1.4174133259656836,1.6185086542845457
control,qwen3.8-flash,CN,0.004337973357265982,8,1.6575459142933193,1.3787493009922382,1.2022097948484476
control,seed-2-1-turbo,CN,0.00012659591332497326,8,2.1493796526054596,1.689990928961067,1.2718291061637856
