panel,family,test,p_24,q_24,sig_p05_24,sig_q05_24,p_22,q_22,sig_p05_22,sig_q05_22,stars_24,stars_22
A,8 idiomas de control,de,0.874831999032001,0.993166193428209,False,False,0.478531824180737,0.674053665925773,False,False,,
A,8 idiomas de control,en,0.0441849584899537,0.305844325047658,True,False,0.0418058617396669,0.167223446958668,True,False,,
A,8 idiomas de control,es,0.98127419736846,0.993166193428209,False,False,0.814709454707355,0.831651091849887,False,False,,
A,8 idiomas de control,fr,0.993166193428209,0.993166193428209,False,False,0.359809000022166,0.674053665925773,False,False,,
A,8 idiomas de control,hi,0.169301385477291,0.451470361272776,False,False,0.327683947643497,0.674053665925773,False,False,,
A,8 idiomas de control,pt,0.485590933437243,0.776945493499589,False,False,0.50554024944433,0.674053665925773,False,False,,
A,8 idiomas de control,sw,0.0764610812619145,0.305844325047658,False,False,0.0390018525472334,0.167223446958668,True,False,,
A,8 idiomas de control,zh,0.319796474769442,0.639592949538883,False,False,0.831651091849887,0.831651091849887,False,False,,
A,8 idiomas de de,de,0.199973534195781,0.799894136783125,False,False,0.026049644837771,0.104198579351084,True,False,,
A,8 idiomas de de,en,0.891459822339964,0.891459822339964,False,False,0.892114485593635,0.892114485593635,False,False,,
A,8 idiomas de de,es,0.708637623532953,0.891459822339964,False,False,0.488481386716859,0.892114485593635,False,False,,
A,8 idiomas de de,fr,0.653259555622668,0.891459822339964,False,False,0.586947312284928,0.892114485593635,False,False,,
A,8 idiomas de de,hi,0.0029441140216776,0.0235529121734216,True,True,0.0110037271295953,0.0880298170367627,True,False,*,
A,8 idiomas de de,pt,0.724966300013201,0.891459822339964,False,False,0.621318912286326,0.892114485593635,False,False,,
A,8 idiomas de de,sw,0.889448653506145,0.891459822339964,False,False,0.87627943857414,0.892114485593635,False,False,,
A,8 idiomas de de,zh,0.630079001774846,0.891459822339964,False,False,0.712246145720058,0.892114485593635,False,False,,
A,8 idiomas de he,de,0.0222534542520615,0.060868641017139,True,False,0.0020491839465117,0.008196735786047,True,True,,**
A,8 idiomas de he,en,0.255749966203196,0.409199945925113,False,False,0.208386221663798,0.223346930312605,False,False,,
A,8 idiomas de he,es,0.641616666793953,0.73327619062166,False,False,0.223346930312605,0.223346930312605,False,False,,
A,8 idiomas de he,fr,0.579324535256835,0.73327619062166,False,False,0.104952873836685,0.209175880548415,False,False,,
A,8 idiomas de he,hi,0.0228257403814271,0.060868641017139,True,False,0.156881910411312,0.209175880548415,False,False,,
A,8 idiomas de he,pt,0.0504262134302583,0.100852426860517,False,False,0.032817849824668,0.0875142661991147,True,False,,
A,8 idiomas de he,sw,0.002671101408654,0.0213688112692325,True,True,7.44884134746269e-05,0.000595907307797,True,True,*,***
A,8 idiomas de he,zh,0.790366116784464,0.790366116784464,False,False,0.140890638974306,0.209175880548415,False,False,,
A,8 idiomas de pg,de,0.279318958284803,0.563984269701031,False,False,0.0438070814909445,0.175228325963778,True,False,,
A,8 idiomas de pg,en,0.92642453140477,0.983583165585985,False,False,0.770559360835066,0.770559360835066,False,False,,
A,8 idiomas de pg,es,0.977745644527579,0.983583165585985,False,False,0.650295363945876,0.743194701652429,False,False,,
A,8 idiomas de pg,fr,0.281992134850515,0.563984269701031,False,False,0.0190768440435776,0.15261475234862,True,False,,
A,8 idiomas de pg,hi,0.0329943675230931,0.263954940184745,True,False,0.124312518634861,0.248625037269722,False,False,,
A,8 idiomas de pg,pt,0.393171573145544,0.629074517032871,False,False,0.474400607665144,0.706665190180674,False,False,,
A,8 idiomas de pg,sw,0.19342890199097,0.563984269701031,False,False,0.114539668945682,0.248625037269722,False,False,,
A,8 idiomas de pg,zh,0.983583165585985,0.983583165585985,False,False,0.529998892635505,0.706665190180674,False,False,,
C,test único,C B1,2.230502610897099e-09,2.230502610897099e-09,True,True,1.9358188982978672e-08,1.9358188982978672e-08,True,True,***,***
C,test único,C B2,3.144526934822855e-09,3.144526934822855e-09,True,True,3.7849078200431165e-08,3.7849078200431165e-08,True,True,***,***
D,"4 modos, peso eq",control,0.0004998750312421,0.0006665000416562,True,True,0.0004998750312421,0.0006665000416562,True,True,***,***
D,"4 modos, peso eq",de,0.0004998750312421,0.0006665000416562,True,True,0.0004998750312421,0.0006665000416562,True,True,***,***
D,"4 modos, peso eq",he,0.3214196450887278,0.3214196450887278,False,False,0.6873281679580105,0.6873281679580105,False,False,,
D,"4 modos, peso eq",pg,0.0004998750312421,0.0006665000416562,True,True,0.0004998750312421,0.0006665000416562,True,True,***,***
D,"4 modos, peso wt",control,0.0004998750312421,0.0019995001249687,True,True,0.0004998750312421,0.0019995001249687,True,True,**,**
D,"4 modos, peso wt",de,0.0084978755311172,0.0169957510622344,True,True,0.0099975006248437,0.0199950012496875,True,True,*,*
D,"4 modos, peso wt",he,0.1149712571857035,0.1149712571857035,False,False,0.0584853786553361,0.0584853786553361,False,False,,
D,"4 modos, peso wt",pg,0.0229942514371407,0.0306590019161876,True,True,0.0354911272181954,0.0473215029575939,True,True,*,*
F,3 tipos de par,CN–CN,0.0438,0.1071,True,False,0.04,0.060000000000000005,True,False,,
F,3 tipos de par,US–US,0.0714,0.1071,False,False,0.0258,0.060000000000000005,True,False,,
F,3 tipos de par,mixto,0.1134,0.1134,False,False,0.6782,0.6782,False,False,,
F,test único,dentro − mixto,0.0094,0.0094,True,True,0.0213,0.0213,True,True,**,*
