mode,quantity,estimate,se,OR,OR_lo,OR_hi,p,q_bh,singular,optimizer,variant,messages,nobs
he,direccion us_ally,0.0470016867299708,0.107298065647019,1.0481237769799523,0.849334207314775,1.293440723815776,0.661351598636022,,False,bobyqa,1,,36858
he,direccion us_rival,-0.337166546999322,0.0947399255661834,0.7137899504282622,0.5928245447348345,0.8594382568290495,0.0003724617785291,,False,bobyqa,1,,36858
he,direccion us_neutral,0.0592435729105274,0.103626492261879,1.0610336483222274,0.8660052120340399,1.2999834033651576,0.567523225178621,,False,bobyqa,1,,36858
he,direccion us_cn,-0.242023856616797,0.0972729210714316,0.7850374489908385,0.6487688546261524,0.9499281476346019,0.0128430950884236,,False,bobyqa,1,,36858
he,China - aliado,-0.289025543346768,0.142472176419947,0.7489930733685224,0.5665040728007965,0.9902675918647624,0.0424944079511531,0.0849888159023062,False,bobyqa,1,,36858
he,China - rival,0.0951426903825251,0.133255973092056,1.0998157770641475,0.8470131857346286,1.428070735911995,0.475236805515138,0.475236805515138,False,bobyqa,1,,36858
he,China - neutral,-0.301267429527324,0.13974012364605,0.7398798805600454,0.5626159280237729,0.9729945605706635,0.0310905260525446,0.0849888159023062,False,bobyqa,1,,36858
he,China - media de los otros tres,-0.165050094163856,0.111715129929882,0.847851230625616,0.6811234247316466,1.0553912597508877,0.139563263563523,0.18608435141803067,False,bobyqa,1,,36858
de,direccion us_ally,0.208341670424813,0.0809855062515791,1.2316339105488279,1.0508612627348388,1.4435036701857753,0.0100943707335772,,False,bobyqa,1,,36854
de,direccion us_rival,0.271034640404915,0.0774472100136987,1.3113204942707273,1.126638148785997,1.5262765960369167,0.0004659481217539,,False,bobyqa,1,,36854
de,direccion us_neutral,0.375774579570505,0.0807017390122699,1.456118857834096,1.2430887018770895,1.7056563420924047,3.21883228666079e-06,,False,bobyqa,1,,36854
de,direccion us_cn,0.102933652207879,0.0769342883810238,1.108417865558182,0.9532695677785779,1.2888171470233365,0.180915189625372,,False,bobyqa,1,,36854
de,China - aliado,-0.105408018216934,0.0956919714428192,0.899957248712209,0.7460487874092496,1.085616736034396,0.270664050960791,0.270664050960791,False,bobyqa,1,,36854
de,China - rival,-0.168100988197035,0.092886940097603,0.8452684682356117,0.7045757778795356,1.0140552738608832,0.070336488461723,0.09378198461563066,False,bobyqa,1,,36854
de,China - neutral,-0.272840927362626,0.0954551026571504,0.7612138662958449,0.6313259880233318,0.917824644056398,0.0042589490208238,0.0170357960832952,False,bobyqa,1,,36854
de,China - media de los otros tres,-0.182116644592199,0.0764409284609559,0.8335041109980791,0.7175297531697865,0.9682234081327452,0.0171978950304851,0.0343957900609702,False,bobyqa,1,,36854
pg,direccion us_ally,0.139800800472715,0.0696872265351846,1.1500446876804233,1.003219006373092,1.3183589777106888,0.0448436583798298,,False,bobyqa,1,,36848
pg,direccion us_rival,0.139649624499953,0.0678033685866967,1.1498708416970422,1.00677788869079,1.3133015409232438,0.0394342470551588,,False,bobyqa,1,,36848
pg,direccion us_neutral,0.278029714982261,0.0691172011734091,1.3205254360160086,1.153222273004879,1.5121000244138472,5.75632297887117e-05,,False,bobyqa,1,,36848
pg,direccion us_cn,0.131851979637375,0.0678392985568206,1.1409394245002635,0.9988875736714311,1.3031924760004883,0.051944561591334,,False,bobyqa,1,,36848
pg,China - aliado,-0.0079488208353397,0.0902722940958798,0.9920826875010186,0.8312019299936612,1.1841022299439914,0.929833895645843,0.930076203580054,False,bobyqa,1,,36848
pg,China - rival,-0.0077976448625772,0.0888631008189297,0.9922326779035492,0.8336269136400581,1.181014757309941,0.930076203580054,0.930076203580054,False,bobyqa,1,,36848
pg,China - neutral,-0.146177735344886,0.089830656728851,0.86400412546573,0.7245200650792781,1.0303415527078845,0.103682123694638,0.414728494778552,False,bobyqa,1,,36848
pg,China - media de los otros tres,-0.0539747336809343,0.0728933716785316,0.9474560449261109,0.8213173181678801,1.0929672822064387,0.459020027590012,0.918040055180024,False,bobyqa,1,,36848
control,direccion us_ally,0.0214506295402998,0.0715680860115938,1.0216823481650192,0.8879651173345714,1.1755358405128506,0.764388153768368,,True,bobyqa,1,,36852
control,direccion us_rival,-0.09063572135647,0.0698268244729582,0.9133503643381042,0.7965253707678293,1.0473098769376203,0.194284858702753,,True,bobyqa,1,,36852
control,direccion us_neutral,0.123868050707557,0.0719132467591588,1.131866512160076,0.9830631557430953,1.3031937916349006,0.0849853174334371,,True,bobyqa,1,,36852
control,direccion us_cn,-0.0408464013556867,0.069321966262437,0.9599765697239163,0.8380165282632475,1.099685964820741,0.555708744653082,,True,bobyqa,1,,36852
control,China - aliado,-0.0622970308959865,0.0995981672496446,0.9396037539926878,0.77297433040215,1.1421533417000207,0.531653638351828,0.612679035398753,True,bobyqa,1,,36852
control,China - rival,0.0497893200007833,0.0983486864492244,1.0510496379115166,0.8667765134015883,1.2744984713748313,0.612679035398753,0.612679035398753,True,bobyqa,1,,36852
control,China - neutral,-0.164714452063244,0.0998503203569912,0.8481358529566161,0.6973826103927335,1.0314774334068222,0.0990219800416448,0.3960879201665792,True,bobyqa,1,,36852
control,China - media de los otros tres,-0.0590740543194824,0.0805324379421461,0.9426369602336965,0.8049962719550079,1.10381186814774,0.463226946670613,0.612679035398753,True,bobyqa,1,,36852
