contrast,pg,pg_lo,pg_hi,pg_p,excess,excess_lo,excess_hi,excess_p,he,he_lo,he_hi,he_p,de,de_lo,de_hi,de_p,model,origin,view
high − low,17.8,7.0,29.2,0.0006666666666666666,6.5,-8.7,21.5,0.41733333333333333,7.8,0.6,14.9,0.03666666666666667,5.7,-4.4,15.4,0.262,haiku-4.5,US,D1 8 langs
med − low,3.1,-6.4,13.0,0.5366666666666666,9.0,-4.4,22.3,0.19866666666666666,-1.6,-6.7,3.5,0.5473333333333333,-4.9,-13.7,3.8,0.266,haiku-4.5,US,D1 8 langs
high − low,7.2,-0.0,14.7,0.050666666666666665,3.4,-6.2,12.5,0.46266666666666667,1.6,-0.1,3.6,0.07,2.3,-3.3,8.8,0.4573333333333333,gpt-5.6-luna,US,D1 8 langs
med − low,-0.4,-6.5,5.3,0.9186666666666666,1.6,-5.8,8.7,0.6586666666666666,-0.2,-0.6,0.0,0.7206666666666667,-1.8,-6.1,2.8,0.43133333333333335,gpt-5.6-luna,US,D1 8 langs
high − low,9.0,-2.0,20.1,0.122,10.3,-4.3,24.9,0.17533333333333334,2.9,-2.1,8.3,0.26066666666666666,-3.7,-13.4,5.8,0.44,minimax-m3,CN,D1 8 langs
med − low,5.1,-5.2,15.2,0.32866666666666666,13.2,-1.3,27.2,0.06733333333333333,-1.6,-5.5,2.5,0.44133333333333336,-7.2,-16.6,2.4,0.15266666666666667,minimax-m3,CN,D1 8 langs
high − low,10.4,0.1,20.5,0.048666666666666664,2.2,-11.0,15.6,0.756,4.3,0.6,8.7,0.024666666666666667,4.9,-3.8,13.8,0.2806666666666667,kimi-k2.6,CN,D1 8 langs
med − low,-0.6,-9.3,8.0,0.8846666666666667,2.7,-9.6,14.7,0.6786666666666666,-1.0,-2.7,0.5,0.21666666666666667,-2.5,-10.8,6.2,0.5766666666666667,kimi-k2.6,CN,D1 8 langs
high − low,12.3,-0.2,24.0,0.052,6.7,-9.4,22.7,0.42133333333333334,4.7,-0.2,10.1,0.064,2.1,-8.4,12.0,0.6666666666666666,deepseek-v4-pro,CN,D1 8 langs
med − low,-1.2,-11.9,9.9,0.8186666666666667,6.1,-8.6,21.0,0.42533333333333334,-1.8,-4.8,1.1,0.228,-6.1,-15.7,3.6,0.21866666666666668,deepseek-v4-pro,CN,D1 8 langs
high − low,0.2,-3.7,4.3,0.9306666666666666,-1.7,-7.8,4.2,0.5953333333333334,2.1,0.0,5.5,0.094,-0.2,-3.9,3.7,0.9173333333333333,solar-pro4,KR,D1 8 langs
med − low,-0.8,-4.2,2.4,0.6686666666666666,-0.2,-5.4,4.8,0.9306666666666666,0.2,0.0,0.6,0.74,-0.8,-4.5,3.2,0.6813333333333333,solar-pro4,KR,D1 8 langs
high − low,10.9,-3.6,26.0,0.15266666666666667,5.7,-15.1,26.7,0.6026666666666667,4.7,-3.7,13.4,0.2926666666666667,1.6,-12.4,15.4,0.834,haiku-4.5,US,D1 English
med − low,4.7,-9.2,18.5,0.5173333333333333,13.5,-5.4,32.7,0.16333333333333333,-1.6,-8.3,5.3,0.6893333333333334,-7.8,-20.3,4.3,0.22066666666666668,haiku-4.5,US,D1 English
high − low,1.6,-7.8,11.3,0.7753333333333333,-1.5,-13.1,9.7,0.7993333333333333,1.6,0.0,5.3,0.7306666666666667,1.6,-3.3,7.1,0.6186666666666667,gpt-5.6-luna,US,D1 English
med − low,-3.1,-11.9,5.3,0.45,-3.1,-13.0,6.3,0.49333333333333335,0.0,0.0,0.0,1.0,0.0,-4.4,4.4,1.0,gpt-5.6-luna,US,D1 English
high − low,12.5,-2.6,27.4,0.1,11.3,-9.7,32.1,0.286,1.6,-6.0,9.3,0.714,0.0,-14.1,14.6,0.9846666666666667,minimax-m3,CN,D1 English
med − low,7.8,-6.1,21.9,0.2786666666666667,18.1,-1.6,37.7,0.07066666666666667,-1.6,-8.2,5.0,0.666,-9.4,-22.1,4.5,0.17933333333333334,minimax-m3,CN,D1 English
high − low,12.5,-2.8,27.7,0.09266666666666666,-0.4,-22.2,21.0,0.9973333333333333,3.1,-2.3,9.5,0.342,10.9,-3.9,25.9,0.15066666666666667,kimi-k2.6,CN,D1 English
med − low,0.0,-13.9,13.6,0.992,9.2,-9.9,28.1,0.346,0.0,-4.4,4.5,1.0,-9.4,-21.8,3.3,0.15066666666666667,kimi-k2.6,CN,D1 English
high − low,9.4,-3.9,22.4,0.16933333333333334,6.8,-11.1,24.7,0.4673333333333333,4.7,-1.6,11.7,0.16066666666666668,-1.6,-13.5,10.1,0.8093333333333333,deepseek-v4-pro,CN,D1 English
med − low,3.1,-8.9,15.5,0.6486666666666666,12.3,-3.9,28.2,0.13533333333333333,-1.6,-5.1,0.0,0.742,-7.8,-18.5,2.9,0.14733333333333334,deepseek-v4-pro,CN,D1 English
high − low,0.0,-4.4,4.5,1.0,-1.6,-7.1,3.4,0.5966666666666667,1.6,0.0,5.1,0.732,0.0,0.0,0.0,1.0,solar-pro4,KR,D1 English
med − low,3.1,-2.4,9.1,0.334,3.1,-2.4,9.1,0.334,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,solar-pro4,KR,D1 English
high − low,26.8,13.8,39.6,0.0,18.0,-0.3,35.8,0.058,4.4,-4.5,13.6,0.3586666666666667,6.4,-6.0,18.3,0.30666666666666664,haiku-4.5,US,D2 14 conditions
med − low,8.0,-4.2,20.3,0.20866666666666667,16.5,-0.3,33.4,0.056,-1.3,-9.2,6.2,0.756,-8.1,-18.9,2.4,0.13866666666666666,haiku-4.5,US,D2 14 conditions
high − low,6.4,-1.2,13.9,0.09933333333333333,3.4,-6.6,13.1,0.494,0.7,0.0,1.5,0.051333333333333335,2.3,-3.8,9.1,0.47933333333333333,gpt-5.6-luna,US,D2 14 conditions
med − low,3.2,-3.2,9.3,0.30933333333333335,3.9,-4.2,11.6,0.31666666666666665,0.2,-0.3,1.0,0.7473333333333333,-0.9,-5.6,4.1,0.698,gpt-5.6-luna,US,D2 14 conditions
high − low,5.0,-6.1,16.0,0.362,5.8,-9.0,19.6,0.42866666666666664,-1.2,-7.5,5.1,0.694,0.1,-8.8,9.0,0.9353333333333333,minimax-m3,CN,D2 14 conditions
med − low,0.9,-9.3,11.1,0.8706666666666667,8.0,-5.4,21.2,0.24666666666666667,-2.9,-8.3,2.1,0.2826666666666667,-5.1,-13.6,3.3,0.22933333333333333,minimax-m3,CN,D2 14 conditions
high − low,14.4,1.0,27.3,0.034,5.6,-11.5,22.8,0.548,10.9,2.8,19.2,0.007333333333333333,2.1,-10.0,13.8,0.6853333333333333,kimi-k2.6,CN,D2 14 conditions
med − low,0.4,-11.6,12.7,0.976,4.5,-12.8,21.3,0.6413333333333333,4.2,-3.0,11.7,0.25266666666666665,-7.7,-19.1,3.6,0.19733333333333333,kimi-k2.6,CN,D2 14 conditions
high − low,11.8,-0.2,23.6,0.05333333333333334,6.4,-9.6,22.5,0.45866666666666667,6.0,-0.3,12.5,0.058666666666666666,0.8,-9.8,11.7,0.854,deepseek-v4-pro,CN,D2 14 conditions
med − low,3.9,-6.4,14.3,0.482,7.6,-7.0,22.6,0.314,-0.3,-4.7,4.0,0.912,-3.6,-13.8,6.9,0.4866666666666667,deepseek-v4-pro,CN,D2 14 conditions
high − low,-0.7,-5.9,4.7,0.796,-1.5,-9.3,6.0,0.6866666666666666,0.1,-4.1,3.8,0.9213333333333333,0.8,-3.0,5.4,0.7633333333333333,solar-pro4,KR,D2 14 conditions
med − low,-0.9,-6.2,4.2,0.7433333333333333,-0.2,-7.5,6.8,0.9666666666666667,-1.6,-5.2,0.5,0.362,0.8,-3.0,5.3,0.74,solar-pro4,KR,D2 14 conditions
