mode,contrast,bloc,n_models,n_labs,mean_pp,median_pp,positive,negative,zero,minimum_model_pp,maximum_model_pp,leave_one_min_pp,leave_one_max_pp,equal_lab_mean_pp,leave_lab_min_pp,leave_lab_max_pp
control,ai_minus_human,all,24,16,3.0614865110529386,3.645833333333334,17,5,2,-2.0833333333333335,8.333333333333337,2.8322757796494424,3.2851743303740806,3.440863147178592,2.6278409090909087,3.434500436300175
control,ai_minus_human,US,12,7,2.7809591332169865,2.3437499999999982,7,3,2,-2.0833333333333335,8.333333333333337,2.2761978422973184,3.2231675392670156,3.5617546538685283,1.7708333333333328,3.545484293193718
control,ai_minus_human,CN,12,9,3.3420138888888893,3.9062500000000027,10,2,0,-2.083333333333333,7.291666666666666,2.9829545454545463,3.8352272727272734,3.346836419753086,2.9829545454545463,3.835227272727273
de,ai_minus_human,all,24,16,6.274801587301588,5.357142857142859,22,0,2,0.0,19.642857142857142,5.693581780538302,6.547619047619048,6.510416666666667,5.708874458874458,6.791125541125541
de,ai_minus_human,US,12,7,5.456349206349206,4.761904761904763,10,0,2,0.0,19.642857142857142,4.166666666666666,5.952380952380952,6.1224489795918355,4.047619047619047,6.428571428571428
de,ai_minus_human,CN,12,9,7.0932539682539675,6.845238095238095,12,0,0,2.380952380952381,14.285714285714288,6.439393939393938,7.52164502164502,6.812169312169313,6.6071428571428585,7.467532467532467
he,ai_minus_human,all,24,16,1.8353174603174605,0.8928571428571432,19,2,3,-1.1904761904761905,5.9523809523809526,1.656314699792961,1.9668737060041408,1.785714285714286,1.5151515151515154,2.0975056689342404
he,ai_minus_human,US,12,7,1.8353174603174605,0.8928571428571428,8,1,3,-1.1904761904761905,5.3571428571428585,1.5151515151515154,2.1103896103896105,2.0833333333333335,1.130952380952381,2.4470899470899474
he,ai_minus_human,CN,12,9,1.8353174603174605,0.8928571428571432,11,1,0,-1.1904761904761905,5.9523809523809526,1.4610389610389611,2.1103896103896105,1.5542328042328044,1.256613756613757,2.023809523809524
pg,ai_minus_human,all,24,16,7.911706349206349,8.035714285714285,22,2,0,-1.1904761904761905,21.428571428571423,7.324016563146999,8.30745341614907,7.521081349206349,7.007575757575757,8.739177489177488
pg,ai_minus_human,US,12,7,7.192460317460317,6.547619047619047,10,2,0,-1.1904761904761905,21.428571428571423,5.8982683982683985,7.954545454545454,7.298752834467121,5.059523809523808,8.869047619047617
pg,ai_minus_human,CN,12,9,8.630952380952381,8.63095238095238,12,0,0,1.785714285714285,17.261904761904763,7.846320346320346,9.253246753246753,7.694003527336859,7.619047619047619,9.253246753246753
