mode,lang,bloc,net_pp,more_only_pct,less_only_pct,changed_pct,unchanged_pct,n_pairs,n_more,n_less,n_changed,block,contrast
control,de,all,-1.517052065154159,6.211596495055265,7.728648560209424,13.94024505526469,86.05975494473532,4605,286,356,642,language,
control,de,US,1.0891597585805686,6.91104021233275,5.821880453752182,12.732920666084933,87.26707933391506,2301,159,134,293,language,
control,de,CN,-4.123263888888888,5.512152777777778,9.635416666666666,15.147569444444443,84.85243055555556,2304,127,222,349,language,
control,es,all,-1.7997382198952883,5.688718004653868,7.488456224549156,13.177174229203025,86.82282577079698,4606,262,345,607,language,
control,es,US,0.3067735602094235,6.255908231529959,5.949134671320535,12.205042902850494,87.7949570971495,2302,144,137,281,language,
control,es,CN,-3.9062500000000018,5.121527777777779,9.02777777777778,14.149305555555559,85.85069444444444,2304,118,208,326,language,
control,fr,all,-1.474444626236182,6.364074316463061,7.838518942699243,14.202593259162303,85.7974067408377,4605,293,361,654,language,
control,fr,US,-1.3863892524723678,6.040485020360674,7.426874272833042,13.467359293193716,86.53264070680628,2302,139,171,310,language,
control,fr,CN,-1.5625000000000009,6.687663612565445,8.250163612565446,14.937827225130892,85.06217277486911,2303,154,190,344,language,
control,hi,all,-0.14301851909563368,8.605734187581374,8.748752706677008,17.354486894258383,82.64551310574161,4604,396,403,799,language,
control,hi,US,2.83896296180873,10.093412819607192,7.254449857798462,17.347862677405654,82.65213732259434,2300,232,167,399,language,
control,hi,CN,-3.124999999999999,7.118055555555556,10.243055555555555,17.36111111111111,82.63888888888889,2304,164,236,400,language,
control,pt,all,-2.776982438917977,5.470454297556718,8.247436736474695,13.717891034031414,86.28210896596859,4607,252,380,632,language,
control,pt,US,-0.8230621000581726,6.340214150668995,7.163276250727168,13.503490401396164,86.49650959860384,2303,146,165,311,language,
control,pt,CN,-4.730902777777778,4.600694444444444,9.331597222222221,13.932291666666664,86.06770833333334,2304,106,215,321,language,
control,sw,all,0.8959247076023384,11.184895833333334,10.288971125730995,21.47386695906433,78.52613304093568,4604,515,474,989,language,
control,sw,US,8.302266081871341,15.772569444444441,7.470303362573099,23.24287280701754,76.75712719298245,2300,363,172,535,language,
control,sw,CN,-6.510416666666665,6.597222222222222,13.107638888888888,19.70486111111111,80.29513888888889,2304,152,302,454,language,
control,zh,all,-2.603712187318208,6.4686045666084935,9.072316753926701,15.540921320535194,84.45907867946481,4607,298,418,716,language,
control,zh,US,-4.2959660413030845,5.037903577661431,9.333869618964515,14.371773196625945,85.62822680337406,2303,116,215,331,language,
control,zh,CN,-0.9114583333333348,7.8993055555555545,8.81076388888889,16.710069444444443,83.28993055555556,2304,182,203,385,language,
de,de,all,-1.409794938917976,6.338168993600931,7.747963932518907,14.086132926119838,85.91386707388017,4607,292,357,649,language,
de,de,US,1.0432573443862712,6.3395324316463055,5.296275087260034,11.63580751890634,88.36419248109367,2303,146,122,268,language,
de,de,CN,-3.8628472222222205,6.336805555555556,10.199652777777777,16.536458333333332,83.46354166666667,2304,146,235,381,language,
de,es,all,-0.4997000436300185,6.87990837696335,7.379608420593368,14.259516797556717,85.74048320244327,4607,317,340,657,language,
de,es,US,1.7349749127399647,7.119191753926702,5.3842168411867375,12.50340859511344,87.49659140488656,2303,164,124,288,language,
de,es,CN,-2.734375,6.640625,9.375,16.015625,83.984375,2304,153,216,369,language,
de,fr,all,-0.06635398487492772,7.074766397614892,7.141120382489819,14.21588678010471,85.78411321989529,4607,326,329,655,language,
de,fr,US,-1.0441663030831876,4.774532795229785,5.8186990983129725,10.593231893542757,89.40676810645724,2303,110,134,244,language,
de,fr,CN,0.9114583333333339,9.375,8.463541666666666,17.838541666666664,82.16145833333333,2304,216,195,411,language,
de,hi,all,3.2875899869109952,10.2332842495637,6.945694262652705,17.178978512216407,82.8210214877836,4606,471,320,791,language,
de,hi,US,5.62031886271088,10.961360165794067,5.341041303083188,16.302401468877257,83.69759853112275,2302,252,123,375,language,
de,hi,CN,0.9548611111111107,9.505208333333334,8.550347222222223,18.055555555555557,81.94444444444444,2304,219,197,416,language,
de,pt,all,-0.6700161794648061,6.44951643397324,7.119532613438046,13.569049047411285,86.43095095258872,4606,297,328,625,language,
de,pt,US,0.8301065299592789,6.215005090168703,5.384898560209424,11.599903650378128,88.40009634962188,2302,143,124,267,language,
de,pt,CN,-2.1701388888888875,6.684027777777779,8.854166666666666,15.538194444444445,84.46180555555556,2304,154,204,358,language,
de,sw,all,4.86531504508435,12.678724003781268,7.813408958696917,20.492132962478184,79.50786703752182,4604,583,360,943,language,
de,sw,US,12.291393979057592,17.154323007562535,4.8629290285049445,22.01725203606748,77.98274796393251,2300,394,112,506,language,
de,sw,CN,-2.5607638888888875,8.203125,10.763888888888888,18.967013888888886,81.03298611111111,2304,189,248,437,language,
de,zh,all,-0.17224767306573607,7.620596095113438,7.792843768179174,15.413439863292613,84.58656013670739,4606,351,359,710,language,
de,zh,US,-1.169148123909249,5.2585533013379875,6.427701425247236,11.686254726585224,88.31374527341478,2302,121,148,269,language,
de,zh,CN,0.8246527777777768,9.982638888888888,9.15798611111111,19.140625,80.859375,2304,230,211,441,language,
he,de,all,-0.32552083333333326,1.6276041666666667,1.953125,3.580729166666667,96.41927083333333,4608,75,90,165,language,
he,de,US,0.21701388888888906,1.5190972222222223,1.3020833333333333,2.8211805555555554,97.17881944444444,2304,35,30,65,language,
he,de,CN,-0.8680555555555551,1.7361111111111114,2.6041666666666665,4.340277777777778,95.65972222222221,2304,40,60,100,language,
he,es,all,0.17361111111111138,1.8663194444444446,1.6927083333333333,3.5590277777777777,96.44097222222223,4608,86,78,164,language,
he,es,US,0.8246527777777779,2.2135416666666665,1.3888888888888886,3.6024305555555554,96.39756944444444,2304,51,32,83,language,
he,es,CN,-0.4774305555555556,1.519097222222222,1.9965277777777777,3.515625,96.484375,2304,35,46,81,language,
he,fr,all,0.6727430555555554,2.3871527777777777,1.7144097222222223,4.1015625,95.8984375,4608,110,79,189,language,
he,fr,US,0.6076388888888888,1.8229166666666667,1.215277777777778,3.0381944444444446,96.96180555555556,2304,42,28,70,language,
he,fr,CN,0.7378472222222228,2.9513888888888893,2.2135416666666665,5.164930555555555,94.83506944444444,2304,68,51,119,language,
he,hi,all,2.1267361111111107,4.1015625,1.974826388888889,6.076388888888889,93.92361111111111,4608,189,91,280,language,
he,hi,US,3.645833333333334,5.295138888888889,1.6493055555555554,6.944444444444445,93.05555555555556,2304,122,38,160,language,
he,hi,CN,0.6076388888888893,2.907986111111111,2.300347222222222,5.208333333333333,94.79166666666666,2304,67,53,120,language,
he,pt,all,-0.3472222222222221,1.5625,1.909722222222222,3.4722222222222223,96.52777777777777,4608,72,88,160,language,
he,pt,US,0.3472222222222221,1.8663194444444444,1.5190972222222223,3.385416666666667,96.61458333333333,2304,43,35,78,language,
he,pt,CN,-1.0416666666666663,1.2586805555555556,2.300347222222222,3.5590277777777777,96.44097222222221,2304,29,53,82,language,
he,sw,all,6.576202552356021,8.464337005526469,1.8881344531704478,10.352471458696916,89.64752854130307,4607,390,87,477,language,
he,sw,US,11.720113438045374,13.022424011052935,1.3023105730075624,14.324734584060497,85.6752654159395,2303,300,30,330,language,
he,sw,CN,1.4322916666666665,3.9062499999999996,2.473958333333333,6.380208333333332,93.61979166666667,2304,90,57,147,language,
he,zh,all,0.7378472222222217,2.5824652777777777,1.844618055555556,4.427083333333334,95.57291666666667,4608,119,85,204,language,
