block,contrast,mode,sample,bloc,n_models,n_pairs,n_boundary_models,pp,pp_lo,pp_hi,negative_rate,positive_rate,pp_median,n_positive,n_negative,n_zero,signed_rank_correlation,magnitude_rank_correlation,logit_a025,logit_a025_lo,logit_a025_hi,or_a025,or_a025_lo,or_a025_hi,logit_a05,logit_a05_lo,logit_a05_hi,or_a05,or_a05_lo,or_a05_hi,logit_a1,logit_a1_lo,logit_a1_hi,or_a1,or_a1_lo,or_a1_hi,logit_median,logit_of_mean_rates_a05,pp_leave_one_min,pp_leave_one_max,pp_without_nova,pp_without_lightning,logit_a05_leave_one_min,logit_a05_leave_one_max,logit_a05_without_nova,logit_a05_without_lightning,label
language,zh,he,full,US,12,2304,1,0.17361111111111113,-0.5642361111111112,0.954861111111111,2.690972222222222,2.8645833333333335,0.0,5,3,4,0.9635293180817431,0.8910660093090754,-0.0065003677487220175,-0.47919512669020886,0.5951101053256806,0.9935207139374077,0.6192816345269839,1.8132305803130766,-0.009026259487716404,-0.40576954026870693,0.44587254979130847,0.991014354901919,0.6664637427828171,1.5618523954344434,-0.011388692383756838,-0.3208698609001684,0.3295148653050495,0.9886759132827413,0.7255176630622397,1.3902934852247448,0.0,0.058939358210943205,-0.331439393939394,0.5681818181818182,0.5681818181818183,0.18939393939393942,-0.0810717553067713,0.12451558481644867,0.12451558481644867,-0.009846828532054258,zh
language,zh,he,drop_truncated,US,12,2262,1,0.1316233609263714,-0.5973432525525376,0.8947103496776553,2.674922257710216,2.806545618636587,0.0,4,3,5,0.9774436090225563,0.9172932330827067,-0.03756895870080849,-0.5190796263344297,0.5224121255036976,0.9631279993752375,0.5950679809089732,1.6860898087397727,-0.03748993218135118,-0.43052751732813876,0.3967027090808743,0.9632041150363583,0.6501660303978818,1.4869138183609463,-0.03578544288912663,-0.33982958983852773,0.2866030596005458,0.9648472861226021,0.7118916259936009,1.331895425431748,0.0,0.04513577462976137,-0.3772442123227464,0.5223769997984657,0.5223769997984657,0.14358912101058696,-0.11212303460891833,0.09346430551430164,0.09346430551430164,-0.04089810783420129,zh
language,pt,de,drop_truncated,all,24,4600,0,-0.624865820382836,-2.100195021663591,0.7835450219015133,14.485212684792744,13.86034686440991,0.5208333333333334,13,10,1,0.9647374357839714,0.8595093840692023,0.012145556432872434,-0.17640401315276205,0.1982864768286414,1.0122196132199976,0.8382792390748394,1.2193116483267308,0.010308700247221072,-0.1550026426965081,0.17333688948131395,1.0103620179521962,0.856412914241205,1.1892666890419978,0.0072656560566851935,-0.13949329731149174,0.1493598253335824,1.0072921149773069,0.869798853175638,1.1610907039022653,0.04758189586054651,-0.05055970371365692,-1.3766715806893361,0.16318349177443212,-0.40163553850100614,-0.9050819786649514,-0.03494704757706615,0.06623101317349425,0.033070135555898855,-0.021189770341845115,pt
language,es,pg,full,all,24,4607,0,0.7607984293193718,-0.8888489126461987,2.367164207933391,23.639061591041308,24.399860020360677,-0.2604166666666667,10,12,2,0.9778068810930047,0.932317935373817,-0.025049956193068573,-0.14151006605511599,0.07643981600264436,0.9752611904750474,0.8680464377376285,1.0794372235351974,-0.02381842145477339,-0.13464413317975935,0.07604395174891672,0.9764629983922317,0.8740268935220968,1.0790099974915954,-0.021558081868368596,-0.12677507135038177,0.0756578352344936,0.9786726326833104,0.8809317971139122,1.0785934543346072,-0.05358054572503057,0.04131566243112639,-0.2930798998406557,1.5638041581303588,-0.04398569694210477,0.7938766218984749,-0.07262445043340851,0.02598466609580778,-0.06435023077878041,-0.02485400499628528,es
language,es,pg,drop_truncated,all,24,4596,0,0.8324742207585055,-0.8268771321770344,2.466540138030577,23.536950343879596,24.36942456463811,-0.2604166666666667,11,12,1,0.9843478260869565,0.9489019576351261,-0.014858296949280278,-0.12996256012269036,0.08967890147636344,0.985251542861075,0.8781283073212015,1.0938230023590905,-0.013774316451241497,-0.1246956830812295,0.08904690075564493,0.9863201153704472,0.8827655021904438,1.0931319238373258,-0.0117992370363108,-0.11667029967008244,0.08732714341218069,0.9882701009811692,0.8898785380503829,1.0912536177621988,-0.05358054572503057,0.045290602237096245,-0.21828776964329863,1.6385962883277156,0.02641971954404485,0.8459052647295671,-0.06214364521233179,0.03646547131688452,-0.054354306071694745,-0.0173385124034157,es
language,fr,pg,full,US,12,2304,0,1.8229166666666667,0.30381944444444425,3.3420138888888893,21.657986111111114,23.480902777777775,1.3020833333333333,6,6,0,0.9632238939652261,0.7285475270718802,-0.005317345286917731,-0.1781119603184654,0.12891558441088094,0.9946967667695605,0.8368487243938851,1.1375940894371364,-0.0019355061890986684,-0.1512380547784551,0.1271751649752869,0.9980663656951294,0.8596430321676808,1.1356159204952323,0.0039350266106000275,-0.12745295113104393,0.1280335122742266,1.0039427789930881,0.8803348336181079,1.1365910918111826,0.021495651561136087,0.10335513687024922,0.6628787878787878,2.888257575757576,2.8882575757575757,2.3674242424242427,-0.05994445938397051,0.06256067483114985,0.06256067483114985,0.062217884568028195,fr
language,fr,pg,drop_truncated,US,12,2293,0,1.8130570648013922,0.25859252723413423,3.3681716429967814,21.428835959620766,23.241893024422158,1.2907608695652173,6,6,0,0.965034965034965,0.7202797202797203,-0.016161933863678507,-0.18730442281537313,0.11096599333174195,0.9839679694184773,0.8291912732177037,1.117356908622648,-0.012308062632871201,-0.1605661635218977,0.11265898361792812,0.9877673717690668,0.8516614727852844,1.119250185212375,-0.005589780956485116,-0.13408587639451963,0.1148030212186356,0.994425812800328,0.8745149611867546,1.1216524740726352,0.0005424562485841777,0.10354881380970005,0.6521228585712155,2.882211705152209,2.882211705152209,2.360655553946016,-0.07125997550444964,0.05661962512519874,0.05303374627849074,0.05661962512519874,fr
language,zh,pg,full,all,24,4607,0,0.937022796684119,-1.1224730948225716,2.936101339805113,23.639061591041308,24.576084387725427,-0.78125,11,12,1,0.919730454714722,0.7089341443580237,-0.05171707346799868,-0.2120646054104683,0.07428197442145278,0.9495974951661622,0.8089124357583751,1.0771104802844653,-0.04817611620647292,-0.19347851497153618,0.07668624614397235,0.9529659395514322,0.8240875415491971,1.079703262181372,-0.04215973259092052,-0.1742336532346664,0.08063775499611206,0.9587166300499689,0.8401005825059418,1.0839781597648843,-0.05510222621821015,0.05076130640755605,0.185190454510964,1.8382701646558917,1.1136324834964715,1.1362774110327032,-0.08350192215349228,-0.014889137415183476,-0.04195400207922379,-0.024576713718871157,zh
language,zh,pg,full,US,12,2303,0,0.13793448225712623,-1.8627745055264688,2.135399623691099,21.67048429319372,21.808418775450843,-0.78125,5,6,1,0.9160839160839163,0.665500144921429,-0.14023296476461464,-0.39518183748554137,0.0266081224724538,0.8691557291514563,0.673557550101368,1.026965279284166,-0.13346584486790172,-0.347679544115889,0.028325860036491488,0.8750573561668068,0.7063251860132481,1.0287308520825857,-0.12203230389931159,-0.3020724278852376,0.032331080029609036,0.885119775220695,0.7392845181361787,1.032859407826772,-0.09564237056660141,0.008024116836516493,-1.4678030303030305,1.9497164048865618,0.4345648897350468,0.48191337458353156,-0.21508250536270845,-0.07161941000079003,-0.1282095815710562,-0.09187525136304614,zh
language,zh,pg,drop_truncated,all,24,4589,0,0.9861273881655045,-1.0770576062585426,2.9929626571728623,23.560542436574135,24.546669824739638,-0.78125,11,12,1,0.9182608695652172,0.6981296876178099,-0.04989360598057002,-0.21590100959195582,0.07658095587638455,0.9513306350065875,0.8058150658876587,1.0795895859205886,-0.04610808885709453,-0.19596257303282308,0.0797588783092696,0.9549387383753167,0.8220430006788484,1.0830258951540996,-0.03968687305724172,-0.1765000909239378,0.08419893117801215,0.9610903353189293,0.8381987029428541,1.0878452786280415,-0.05510222621821015,0.053506151391180534,0.23643002823067072,1.889509738375598,1.1428199288301102,1.166302263165835,-0.0813439805715322,-0.0127311958332234,-0.04111001384746537,-0.02536649115011209,zh
