block,contrast,mode,sample,metric,comparison,estimate,lo,hi,label
language,es,he,full,pp,US minus CN,1.3020833333333335,0.17361111111111113,2.4739583333333335,es
language,es,he,full,logit,US minus CN,0.40499673479326526,0.0014292964524126271,1.0035042025479803,es
language,es,he,drop_truncated,pp,US minus CN,1.3176170110465035,0.18117913202996885,2.527048787850776,es
language,es,he,drop_truncated,logit,US minus CN,0.4051654503154072,0.009741757249601298,0.982375410537851,es
language,pt,he,full,pp,US minus CN,1.3888888888888886,0.47743055555555547,2.3437500000000004,pt
language,pt,he,full,logit,US minus CN,0.5449240781620002,0.23847613813967833,1.0997793623734822,pt
language,pt,he,drop_truncated,pp,US minus CN,1.3087600808057898,0.3919828763100187,2.273409023517553,pt
language,pt,he,drop_truncated,logit,US minus CN,0.49233771469495147,0.1951690852574612,1.0222338541553755,pt
language,fr,he,full,pp,US minus CN,-0.13020833333333348,-1.3454861111111112,1.128472222222222,fr
language,fr,he,full,logit,US minus CN,0.07750112176691737,-0.3183242666740192,0.6247708912236009,fr
language,fr,he,drop_truncated,pp,US minus CN,-0.16163734410666497,-1.4211054747513048,1.1175481950071138,fr
language,fr,he,drop_truncated,logit,US minus CN,0.033793073750522096,-0.3718088418976143,0.5339682721959672,fr
language,de,he,full,pp,US minus CN,1.0850694444444446,0.13020833333333334,2.0833333333333335,de
language,de,he,full,logit,US minus CN,0.5086959445111988,0.18294849087769713,0.9820592527856918,de
language,de,he,drop_truncated,pp,US minus CN,0.9974995421562346,0.04521407650515919,1.9896725879106858,de
language,de,he,drop_truncated,logit,US minus CN,0.4588256739024266,0.12729934474956073,0.8946369119120813,de
language,zh,he,full,pp,US minus CN,-1.1284722222222225,-2.2135416666666674,-0.08680555555555558,zh
language,zh,he,full,logit,US minus CN,-0.2973646680656895,-0.8164791370210375,0.11897096323761339,zh
language,zh,he,drop_truncated,pp,US minus CN,-1.1778087965950919,-2.2973840183023246,-0.1380662808346859,zh
language,zh,he,drop_truncated,logit,US minus CN,-0.3259066590464545,-0.8443906789923141,0.05797663557442822,zh
language,hi,he,full,pp,US minus CN,3.0381944444444438,1.8229166666666659,4.253472222222222,hi
language,hi,he,full,logit,US minus CN,0.3225886195327503,-0.07101493913265498,0.8787614641290609,hi
language,hi,he,drop_truncated,pp,US minus CN,2.7606119294243894,1.5001195511941976,3.993591227811918,hi
language,hi,he,drop_truncated,logit,US minus CN,0.29100472457790605,-0.09122337649234843,0.8164220600773844,hi
language,sw,he,full,pp,US minus CN,10.28782177137871,8.50596217105263,12.065972222222221,sw
language,sw,he,full,logit,US minus CN,1.0162553402304844,0.589369845797607,1.5943604788570578,sw
language,sw,he,drop_truncated,pp,US minus CN,9.586977335344974,6.933792801858198,12.305573496199269,sw
language,sw,he,drop_truncated,logit,US minus CN,1.0630689005949074,0.6062263374988173,1.6171493098300898,sw
language,es,de,full,pp,US minus CN,4.469349912739966,2.0348152281746037,7.074652777777777,es
language,es,de,full,logit,US minus CN,0.47827136117510516,0.2227250528024002,0.7695600014623204,es
language,es,de,drop_truncated,pp,US minus CN,4.46273110635567,1.9952859163417391,7.070791389062468,es
language,es,de,drop_truncated,logit,US minus CN,0.4682649458749236,0.19281651448477202,0.7639582122715366,es
language,pt,de,full,pp,US minus CN,3.0002454188481678,0.8744298163602724,5.0827508223684195,pt
language,pt,de,full,logit,US minus CN,0.41552144678081915,0.2030852592673176,0.6768591711512657,pt
language,pt,de,drop_truncated,pp,US minus CN,3.090546137012106,1.001202404469884,5.141548922123371,pt
language,pt,de,drop_truncated,logit,US minus CN,0.45144577382598755,0.24627806784303574,0.7084811846468941,pt
language,fr,de,full,pp,US minus CN,-1.955624636416521,-3.955146655701754,0.08761505180774849,fr
language,fr,de,full,logit,US minus CN,-0.11210031681628657,-0.41271334315755676,0.19346312512004726,fr
language,fr,de,drop_truncated,pp,US minus CN,-2.0073675937271793,-3.9642416645969556,-0.005662800160317311,fr
language,fr,de,drop_truncated,logit,US minus CN,-0.21393101329265585,-0.48390711778922035,0.08409096260103613,fr
language,de,de,full,pp,US minus CN,4.906104566608493,2.6909722222222223,7.166573660714271,de
language,de,de,full,logit,US minus CN,0.6200556161830345,0.3522689433582606,0.9501033402178921,de
language,de,de,drop_truncated,pp,US minus CN,4.955304373522458,2.7481826320701024,7.207399235103865,de
language,de,de,drop_truncated,logit,US minus CN,0.6275323928144594,0.3431657244408443,0.9526008942036747,de
language,zh,de,full,pp,US minus CN,-1.993800901687028,-4.253540394124491,0.43200534467713786,zh
language,zh,de,full,logit,US minus CN,-0.12288274604400787,-0.4404119272800322,0.18663802075820368,zh
language,zh,de,drop_truncated,pp,US minus CN,-1.9240393454187807,-4.1512662066488115,0.4719568783075849,zh
language,zh,de,drop_truncated,logit,US minus CN,-0.08723088192358278,-0.4242959803730735,0.21991020623567362,zh
