block,contrast,mode,sample,bloc,n_models,n_pairs,n_boundary_models,pp,pp_lo,pp_hi,negative_rate,positive_rate,pp_median,n_positive,n_negative,n_zero,signed_rank_correlation,magnitude_rank_correlation,logit_a025,logit_a025_lo,logit_a025_hi,or_a025,or_a025_lo,or_a025_hi,logit_a05,logit_a05_lo,logit_a05_hi,or_a05,or_a05_lo,or_a05_hi,logit_a1,logit_a1_lo,logit_a1_hi,or_a1,or_a1_lo,or_a1_hi,logit_median,logit_of_mean_rates_a05,pp_leave_one_min,pp_leave_one_max,pp_without_nova,pp_without_lightning,logit_a05_leave_one_min,logit_a05_leave_one_max,logit_a05_without_nova,logit_a05_without_lightning,label
language,es,he,full,all,24,4608,1,0.17361111111111108,-0.5864800347222221,0.9554036458333258,3.081597222222222,3.2552083333333335,0.2604166666666667,12,7,5,0.9561142541273036,0.8440893167681213,0.12608718725378076,-0.19407154817498512,0.5624735068756644,1.1343810675416048,0.8235989751568746,1.7550081606949743,0.11261052509958841,-0.18076589589166006,0.4593522183588764,1.1191959493208543,0.8346307263086925,1.5830481832324659,0.09332469283713335,-0.16348756160823658,0.35903290914739805,1.0978181310890054,0.84917706133286,1.4319439248499497,0.06528428076045723,0.052431842369840886,0.0,0.47554347826086957,0.04528985507246379,0.11322463768115944,0.06858447831316289,0.199907977395324,0.09640166008686392,0.06905437008649463,es
language,es,he,full,US,12,2304,1,0.8246527777777778,-0.17361111111111116,1.909722222222222,2.690972222222222,3.515625,0.2604166666666667,6,2,4,0.9200060827049525,0.8472783291314385,0.33927979709327455,-0.07856240806919217,1.052435629354039,1.403936107505313,0.9244443653433513,2.8646197801038227,0.31510889249622104,-0.061797729033303966,0.8609077006364559,1.3704085300381086,0.9400730170394476,2.3653067099943494,0.27834836057478424,-0.04908571859904033,0.6835023247517632,1.3209462826729153,0.9520995135640948,1.980803013281661,0.12830272295766076,0.25488829110619005,0.5208333333333334,0.9943181818181818,0.615530303030303,0.7575757575757577,0.24244587450490068,0.36212008731882556,0.2996265717784001,0.24244587450490068,es
language,es,he,full,CN,12,2304,0,-0.47743055555555564,-1.388888888888889,0.39062500000000006,3.472222222222222,2.9947916666666665,0.2604166666666667,6,5,1,0.9752893731111885,0.833380492911953,-0.08710542258571292,-0.5178326751716545,0.2677748331504791,0.9165804622572266,0.5958104644438449,1.3070528019170233,-0.08988784229704423,-0.47500069902590447,0.20581102501657836,0.914033695442173,0.6218846217514079,1.228521022317913,-0.09169897490051755,-0.41625466615326695,0.15817517945817622,0.9123797574183282,0.6595122936374352,1.171371376938424,0.06528428076045723,-0.1417797920639594,-0.7575757575757577,0.09469696969696964,-0.4774305555555556,-0.4774305555555556,-0.20035124625017328,0.0742342518307091,-0.08988784229704423,-0.08988784229704423,es
language,es,he,drop_truncated,all,24,4588,1,0.16721488628961376,-0.5912020806467865,0.9563436008547361,3.075070445456209,3.242285331745823,0.2604166666666667,12,7,5,0.9487174760088096,0.8398882554333867,0.12601663269300376,-0.19571973451459335,0.5519440761537097,1.1343010346070082,0.8222426486231786,1.7366258712073614,0.112540165980682,-0.18247650321767647,0.4521949127291197,1.1191172064501487,0.833204221316546,1.5717582744180598,0.093254722172674,-0.16463694367007373,0.3589569428565386,1.0977413187122556,0.8482015931514444,1.4318351495129418,0.06534400944298802,0.05063279738472737,-0.006674321552866827,0.4767403882045539,0.038615533519596956,0.10583521315346421,0.06851106010213012,0.19992047483319517,0.09632824187583115,0.06897364823607166,es
language,es,he,drop_truncated,US,12,2294,1,0.8260233918128654,-0.17551146914064433,1.9138768807463178,2.652683455951707,3.4787068477645726,0.2604166666666667,6,2,4,0.9200060827049525,0.8472783291314385,0.3392938328458784,-0.06708704291863102,1.0181764131966364,1.4039558129434795,0.9351138027595988,2.7681422108743203,0.3151228911383856,-0.04969046660980851,0.8414168662127786,1.3704277140310144,0.9515239073431146,2.319651285050158,0.2783622854362643,-0.038081659659339094,0.6725943341427164,1.3209646767949916,0.962634329290147,1.9593138474959895,0.12830272295766076,0.2580450088352002,0.522328548644338,0.9958133971291865,0.6170255183413078,0.7575757575757577,0.24244587450490068,0.36213535856482326,0.2996418430243978,0.24244587450490068,es
language,es,he,drop_truncated,CN,12,2294,0,-0.4915936192336381,-1.4073939964021138,0.38694365226816124,3.4974574349607117,3.0058638157270736,0.2604166666666667,6,5,1,0.9595796893085182,0.8183536065526446,-0.0872605674598708,-0.5180136711940666,0.26765262424317315,0.9164382705271983,0.5957026348783248,1.3068930781823402,-0.0900425591770216,-0.4751139934322668,0.2057008384475427,0.9138922899398112,0.6218141696933481,1.2283856632589878,-0.09185284109091629,-0.4163646584528964,0.15797383906927975,0.9122393838205096,0.6594397563529687,1.1711355563107542,0.06534400944298802,-0.14520460746547448,-0.7730263724973021,0.09570438426821398,-0.4915936192336381,-0.4915936192336381,-0.2005200283010577,0.07424511159116925,-0.0900425591770216,-0.0900425591770216,es
language,pt,he,full,all,24,4608,1,-0.3472222222222221,-1.0416666666666667,0.36892361111111116,3.081597222222222,2.734375,0.2604166666666667,12,9,3,0.9705119614235618,0.8862907819328847,-0.04323906435547148,-0.5307205729905613,0.46893478560984597,0.9576824149689481,0.5881809896077337,1.5982907637984178,-0.046249355464297925,-0.4441252020977687,0.3561074156859051,0.9548038469477108,0.6413851130384429,1.4277609039441004,-0.04916820239693596,-0.35620578249733464,0.2570630352173254,0.9520209840189935,0.7003284900603881,1.293126636708902,0.04445324243551063,-0.11326557284299898,-0.4755434782608696,-0.1358695652173914,-0.18115942028985507,-0.45289855072463764,-0.10566854254276724,0.016000087638712263,0.016000087638712263,-0.10566854254276724,pt
language,pt,he,full,US,12,2304,1,0.34722222222222215,-0.43402777777777785,1.171875,2.690972222222222,3.0381944444444446,0.5208333333333334,7,2,3,0.9696273392115726,0.9195358899534102,0.24813265131791162,-0.14089780821127895,0.8929502425119882,1.281629930817899,0.868578068708957,2.442324482338918,0.22621268361670213,-0.11970647294888298,0.7169661917791126,1.2538423086388202,0.8871808100689642,2.0482098992201268,0.1935795413135024,-0.09759451474550485,0.5564289100559031,1.2135859129300939,0.9070166110603045,1.7444318409449082,0.1727559653931714,0.11479070127472069,0.14204545454545459,0.7575757575757577,0.7575757575757577,0.18939393939393936,0.1267418414599936,0.3811398863849052,0.3811398863849052,0.1267418414599936,pt
language,pt,he,full,CN,12,2304,0,-1.0416666666666665,-1.953125,-0.17361111111111113,3.472222222222222,2.430555555555556,-0.78125,5,7,0,0.9252124456154485,0.856729001883789,-0.33461078002885464,-1.0638350616047187,0.1322662333430327,0.7156165644129849,0.34512967548390994,1.141412160794414,-0.318711394545298,-0.8839535624387028,0.08721923837010298,0.7270853598295319,0.413146278938414,1.091135872347433,-0.2919159461073743,-0.7108295992822177,0.04316261665720584,0.746831307413751,0.49123649892423443,1.0441076703451913,-0.16692499153572093,-0.3379177413539729,-1.2784090909090908,-0.662878787878788,-1.0416666666666667,-1.0416666666666667,-0.4208061312785578,-0.2276495261093709,-0.318711394545298,-0.318711394545298,pt
language,pt,he,drop_truncated,all,24,4587,1,-0.44033940325155224,-1.1129437710669128,0.2791396532210501,3.0756366418675927,2.6352972386160403,0.0,11,9,4,0.9653498974474415,0.8876837039635376,-0.08676243597045936,-0.6035796904908397,0.39324561518028817,0.9168948910069276,0.5468505723936973,1.481782292862328,-0.08701553786975912,-0.5035722774805497,0.29371723578608333,0.9166628525344832,0.6043678293108676,1.3414045488327184,-0.08542276888865165,-0.40372228436325736,0.21296232687001387,0.9181240480566747,0.66782956222992,1.2373380359688688,0.0,-0.1460147151924791,-0.5727092323784315,-0.2294408863926942,-0.276418233141208,-0.5277750567960656,-0.13925471942167905,-0.02651831106390288,-0.02651831106390288,-0.13925471942167905,pt
