fit,term,logodds,se,lo,hi,z,p,odds_ratio,or_lo,or_hi
A_he,(Intercept),-5.06981165140234,0.407156683574096,-5.867838751207568,-4.271784551597111,-12.4517461113461,1.36818707506476e-35,0.006283603537266586,0.002828980863167314,0.013956854190007991
A_he,cn,0.597011412710885,0.491930281970161,-0.36717193995063047,1.5611947653724005,1.2136098032426,0.224896761752057,1.8166813684714682,0.6926905336285254,4.764510317851783
A_de,(Intercept),-3.44005783310854,0.4210350216535,-4.2652864755493995,-2.61482919066768,-8.17047907226019,3.07167228978697e-16,0.032062830981055744,0.014047842193239951,0.07318028750454289
A_de,cn,1.02812800510675,0.543900600573551,-0.03791717201741007,2.09417318223091,1.89028657814052,0.0587196428735861,2.7958271586780974,0.9627926837643318,8.118725487859406
A_pg,(Intercept),-2.39063789891069,0.385185197679621,-3.1456008863627467,-1.6356749114586326,-6.20646357469612,5.419017367854601e-10,0.09157125204075645,0.04304105349289567,0.1948208401008543
A_pg,cn,0.631784143792927,0.477296387516829,-0.30371677574005784,1.5672850633259119,1.32367258650298,0.185611806633599,1.8809634966788598,0.7380698761453428,4.793616146910249
A_control,(Intercept),-2.55035676798012,0.374267545465138,-3.2839211570917906,-1.8167923788684492,-6.81426107842333,9.47494980071457e-12,0.07805381393154827,0.03748099939953848,0.1625463025763335
A_control,cn,0.1914232920352,0.439809276051153,-0.6706028890250598,1.0534494730954598,0.435241597798715,0.663387071481522,1.2109719383843311,0.5114001672789628,2.867525529678545
B_power_shifting,(Intercept),-2.47565200032202,0.382786445045499,-3.225913432611198,-1.7253905680328419,-6.46744949400639,9.967083746705059e-11,0.08410813384570277,0.039719483929097,0.17810347666235352
B_power_shifting,cn,0.811150387685653,0.483648329907211,-0.13680033893248067,1.7591011143037867,1.67714915472007,0.093513318775149,2.2504954403448925,0.8721443420198076,5.807215025076806
B_power_shifting,modede,-0.781248767542068,0.247294787253575,-1.265946550559075,-0.29655098452506096,-3.15918008712808,0.0015821369332488,0.45783392603232026,0.28197226877435705,0.7433777255376344
B_power_shifting,modehe,-2.86746502981519,0.280167032981287,-3.4165924144585125,-2.3183376451718676,-10.2348409779059,1.3842239988308e-24,0.05684283899801622,0.03282409549775079,0.09843708703491309
C_he,(Intercept),-5.08248119003134,0.404960929338862,-5.876204611535509,-4.28875776852717,-12.5505470325964,3.9477331237523396e-36,0.006204495369696673,0.00280541272572498,0.01372196056558463
C_he,cn,0.62705302523208,0.489876699931703,-0.3331053066340579,1.5872113570982178,1.28002214704129,0.200537347018687,1.8720854534650841,0.7166947174733268,4.890093173047567
C_he,cap_z,-0.135389285948899,0.246979699059204,-0.6194694961049388,0.3486909242071409,-0.548179815849742,0.583568439942479,0.8733758525547005,0.5382298949255631,1.417211096999996
C_de,(Intercept),-3.47069678737975,0.414582759238179,-4.283278995486581,-2.6581145792729193,-8.3715415319184,5.6869321259181e-17,0.03109535625890282,0.013797346395550822,0.07008022797629303
C_de,cn,1.09157821217,0.536064468042464,0.04089185480677049,2.1422645695332294,2.03628159903248,0.0417220864859618,2.9789718141426897,1.0417394403404188,8.518707006578017
C_de,cap_z,-0.259691832234232,0.272262381479612,-0.7933260999342715,0.27394243546580754,-0.953829283439509,0.340170063900242,0.7712892356641878,0.4523377697866431,1.3151390946903263
C_pg,(Intercept),-2.3994366562996,0.385854509963276,-3.155711495827621,-1.6431618167715791,-6.21850100061801,5.0192674764334e-10,0.09076907307456379,0.042608074738031444,0.1933676815362289
C_pg,cn,0.64945037401658,0.480391166152288,-0.29211631164190444,1.5910170596750643,1.3519198931537,0.176400942940329,1.9144882872806075,0.7466816831499107,4.908738870722722
C_pg,cap_z,-0.0696151817322985,0.24483510528475,-0.5494919880904084,0.4102616246258115,-0.284334967615588,0.776153691210008,0.9327526911262121,0.5772429822164836,1.507212057325461
C_control,(Intercept),-2.58112066045547,0.366714121178941,-3.2998803379661945,-1.8623609829447458,-7.03850904938562,1.94307685413636e-12,0.07568913465673782,0.03688758118014004,0.1553055234798142
C_control,cn,0.254513875428668,0.4286757788824,-0.585690651180836,1.094718402038172,0.593721147698643,0.552698636189683,1.289834448224991,0.5567212288297636,2.9883410541482895
