fit,term,estimate,se,z,p,sd_prompt,sd_model,sd_model_slope,cor_model_int_slope,slope_name,singular,messages,optimizer,formula_used,variant,loglik,nobs,n_prompts,n_models,term_interest,error,lme4_version,r_version,lrt_stat,lrt_df,lrt_p,reduced_clean
A_he,(Intercept),-5.06981165140234,0.407156683574096,-12.4517461113461,1.36818707506476e-35,2.12911094717539,1.0570977415963,,,,False,,bobyqa,refuse ~ cn + (1 | prompt_id) + (1 | model),1,-475.890328023233,4608,192,24,cn,,2.0.6,R version 4.6.1 (2026-06-24 ucrt),,,,
A_he,cn,0.597011412710885,0.491930281970161,1.2136098032426,0.224896761752057,2.12911094717539,1.0570977415963,,,,False,,bobyqa,refuse ~ cn + (1 | prompt_id) + (1 | model),1,-475.890328023233,4608,192,24,cn,,2.0.6,R version 4.6.1 (2026-06-24 ucrt),,,,
C_he,(Intercept),-5.08248119003134,0.404960929338862,-12.5505470325964,3.9477331237523396e-36,2.12818783634168,1.04121070419295,,,,False,,bobyqa,refuse ~ cn + cap_z + (1 | prompt_id) + (1 | model),1,-475.718397447866,4608,192,24,cn,,2.0.6,R version 4.6.1 (2026-06-24 ucrt),,,,
C_he,cn,0.62705302523208,0.489876699931703,1.28002214704129,0.200537347018687,2.12818783634168,1.04121070419295,,,,False,,bobyqa,refuse ~ cn + cap_z + (1 | prompt_id) + (1 | model),1,-475.718397447866,4608,192,24,cn,,2.0.6,R version 4.6.1 (2026-06-24 ucrt),,,,
C_he,cap_z,-0.135389285948899,0.246979699059204,-0.548179815849742,0.583568439942479,2.12818783634168,1.04121070419295,,,,False,,bobyqa,refuse ~ cn + cap_z + (1 | prompt_id) + (1 | model),1,-475.718397447866,4608,192,24,cn,,2.0.6,R version 4.6.1 (2026-06-24 ucrt),,,,
A_de,(Intercept),-3.44005783310854,0.4210350216535,-8.17047907226019,3.07167228978697e-16,2.08717093518732,1.2937309393164,,,,False,,bobyqa,refuse ~ cn + (1 | prompt_id) + (1 | model),1,-1320.24245959895,4607,192,24,cn,,2.0.6,R version 4.6.1 (2026-06-24 ucrt),,,,
A_de,cn,1.02812800510675,0.543900600573551,1.89028657814052,0.0587196428735861,2.08717093518732,1.2937309393164,,,,False,,bobyqa,refuse ~ cn + (1 | prompt_id) + (1 | model),1,-1320.24245959895,4607,192,24,cn,,2.0.6,R version 4.6.1 (2026-06-24 ucrt),,,,
C_de,(Intercept),-3.47069678737975,0.414582759238179,-8.3715415319184,5.6869321259181e-17,2.08716664110189,1.26237735261314,,,,False,,bobyqa,refuse ~ cn + cap_z + (1 | prompt_id) + (1 | model),1,-1319.7511773825,4607,192,24,cn,,2.0.6,R version 4.6.1 (2026-06-24 ucrt),,,,
C_de,cn,1.09157821217,0.536064468042464,2.03628159903248,0.0417220864859618,2.08716664110189,1.26237735261314,,,,False,,bobyqa,refuse ~ cn + cap_z + (1 | prompt_id) + (1 | model),1,-1319.7511773825,4607,192,24,cn,,2.0.6,R version 4.6.1 (2026-06-24 ucrt),,,,
C_de,cap_z,-0.259691832234232,0.272262381479612,-0.953829283439509,0.340170063900242,2.08716664110189,1.26237735261314,,,,False,,bobyqa,refuse ~ cn + cap_z + (1 | prompt_id) + (1 | model),1,-1319.7511773825,4607,192,24,cn,,2.0.6,R version 4.6.1 (2026-06-24 ucrt),,,,
