mode,dimension,level,matched,did_logOR,se,lo,hi,p,singular
he,scale,individual,True,0.109090338496608,0.332196698892454,-0.5420151913326019,0.7601958683258179,0.742616200948962,False
he,scale,group,True,0.138950203497812,0.377101923273936,-0.6001695661191024,0.8780699731147266,0.712523882402238,True
he,scale,society,True,0.36972308492641,0.250057838400223,-0.12039027833802707,0.859836448190847,0.139260551735319,True
he,standing,low,True,0.840321587311371,0.293191054830433,0.26566711984372227,1.4149760547790198,0.0041553293285864,True
he,standing,med,True,0.285201778851063,0.38932200186338,-0.47786934480116183,1.048272902503288,0.463826751902318,True
he,standing,high,True,-0.0358202432941651,0.246097231889754,-0.5181708177980829,0.4465303312097527,0.884274103585799,False
he,context,Academia,True,0.600925381085046,0.427589524458947,-0.23715008685449013,1.4390008490245823,0.159908578202955,True
he,context,Diplomacy,True,0.531520909584732,0.584822253076167,-0.6147307064445553,1.6777725256140192,0.363424611097403,True
he,context,Fiction,True,-0.0643035843489811,0.397561995822799,-0.8435250961616672,0.714917927463705,0.871506825996131,True
he,context,Government,True,0.410939078726115,0.354033894174221,-0.2829673538553581,1.1048455113075881,0.245750204725972,True
he,context,Interpersonal,True,0.0878686025486052,0.49020662507801,-0.8729363826042944,1.0486735877015048,0.857742902706756,False
he,context,Markets,True,-0.696122843100014,0.949437259368311,-2.5570198714619035,1.1647741852618756,0.463439381350107,True
he,context,Media,True,0.707236632611303,0.615143630615577,-0.49844488339522786,1.912918148617834,0.250263435326686,True
he,context,Work,True,0.541678847594285,0.391659307544988,-0.22597339519389148,1.3093310903824613,0.166653886037049,True
he,domain,Rank,False,0.0103087091243108,0.49695726667604,-0.9637275335607276,0.9843449518093492,0.983450146397282,True
he,domain,Wealth,False,-0.105342895676764,0.342107813404596,-0.7758742099497722,0.5651884185962441,0.758140854137264,False
he,domain,Legal,False,0.447139121667904,0.305531820459316,-0.1517032464323554,1.0459814897681634,0.143336607605253,True
he,domain,Physical,False,0.616863820335643,0.417545598226786,-0.20152555218885748,1.4352531928601435,0.139580025222974,True
he,domain,Epistemic,False,0.504785652323184,0.52353854144846,-0.5213498889157977,1.5309211935621656,0.334955439358081,True
he,domain,Status,False,-0.123839820242632,0.523220907763546,-1.1493527994591823,0.9016731589739183,0.812899275073639,True
he,domain,Attentional,False,-0.394927091773519,1.17873358732714,-2.7052449229347135,1.9153907393876755,0.737592230730517,True
