set,origin,mode,n_models,n_discordant_total,mean_abs_bias,null_expected_mean,excess,lo,hi,sd_models,t,p_t,n_excess_positive,n_bias_pos,n_bias_neg,q_bh
us_cn,US,he,12,118,0.46018801459977937,0.31500844758799457,0.1451795670117847,-0.07404817032459657,0.36440730434816593,0.34503965440699885,1.4575622429104833,0.17291111887598518,8,4,6,0.5533155804031525
us_cn,US,de,12,238,0.4761864293114293,0.1937050361108655,0.2824813932005637,0.1476809272947238,0.4172818591064036,0.21216068155959006,4.612278972895314,0.0007497525262282418,11,8,4,0.011996040419651868
us_cn,US,pg,12,282,0.2863593469538592,0.18640227443544666,0.09995707251841246,-0.02235173789057575,0.22226588292740068,0.1925002291552869,1.7987586709631949,0.09952180206243572,10,9,2,0.39808720824974286
us_cn,US,control,12,199,0.30085970486579,0.22209000339110688,0.07876970147468311,-0.11544394562712122,0.27298334857648743,0.305670306555724,0.8926815730877175,0.39113847888844777,7,5,6,0.5761884203648334
us_cn,CN,he,12,176,0.2001775409928144,0.22760290900866187,-0.02742536801584745,-0.1472043946002966,0.0923536585686017,0.18851863564367735,-0.5039515659290779,0.6242357086556476,5,4,7,0.7134122384635972
us_cn,CN,de,12,383,0.1959328861171994,0.14966745643788623,0.04626542967931312,-0.05121656457189217,0.14374742393051843,0.1534256295120695,1.0445982863934935,0.3186215084621583,8,7,3,0.5761884203648334
us_cn,CN,pg,12,390,0.2905640362604642,0.1446895735470313,0.14587446271343293,0.022447200428884304,0.26930172499798155,0.19426054586202773,2.601269133938593,0.02463817340917173,9,8,4,0.13730692982910225
us_cn,CN,control,12,267,0.14071546534019233,0.1729599613657531,-0.03224449602556081,-0.10194693328607232,0.03745794123495071,0.10970374988083798,-1.018180425762807,0.3304639950269638,4,4,7,0.5761884203648334
neutral,US,he,12,120,0.2782290394790395,0.3587295015652974,-0.08050046208625801,-0.1492651716201271,-0.011735752552388928,0.10822787253675852,-2.5766170413968856,0.025745049342956672,4,5,7,0.13730692982910225
neutral,US,de,11,206,0.23042470508746166,0.19992486319758668,0.03049984188987491,-0.05961359077963932,0.12061327455938914,0.13413546667980997,0.754137098992218,0.46815309154642715,8,6,4,0.5761884203648334
neutral,US,pg,12,252,0.19001877923189323,0.19408417538716086,-0.004065396155267632,-0.1016860631628665,0.09355527085233124,0.1536438847407329,-0.09165965447568418,0.9286163805075583,4,5,7,0.9286163805075583
neutral,US,control,12,144,0.2186407525223314,0.2617216110229493,-0.043080858500617804,-0.15410620564646635,0.06794448864523073,0.1747413346279305,-0.8540421865912506,0.4112948040681369,5,5,4,0.5761884203648334
neutral,CN,he,12,160,0.1794100149363307,0.2319021224975586,-0.052492107561227914,-0.1763527774669873,0.07136856234453148,0.1949426804206236,-0.9327767228422552,0.3709573651861644,4,2,5,0.5761884203648334
neutral,CN,de,12,328,0.2536967640890666,0.16456509172419878,0.0891316723648678,-0.06527808348556988,0.24354142821530547,0.2430234852716449,1.2704993093730963,0.2301205722244865,7,5,6,0.5761884203648334
neutral,CN,pg,12,319,0.14489254417988637,0.1640957473076696,-0.0192032031277832,-0.07361347889142471,0.035207072635858316,0.08563561789113462,-0.7768011559785662,0.4536567600940803,4,5,6,0.5761884203648334
neutral,CN,control,12,235,0.21555728707473557,0.1909921456050748,0.02456514146966075,-0.12823405482088238,0.17736433776020386,0.24048864674847373,0.353846833901232,0.7301427180407545,5,9,3,0.7788188992434715
