lang,mode,rate,boot_dev,boot_lo,boot_hi,boot_p,lpm_prompt_dev,lpm_prompt_lo,lpm_prompt_hi,lpm_prompt_p,lpm_prompt_model_dev,lpm_prompt_model_lo,lpm_prompt_model_hi,lpm_prompt_model_p,glmm_dev,glmm_lo,glmm_hi,glmm_p
en,he,3.0815972222222223,-0.6100918600151667,-1.1033130170172445,-0.1256874586279518,0.013,-0.6260775575279993,-1.1070955085082521,-0.14505960654774647,0.011522677393198755,-0.6260775575279993,-1.3880890760389066,0.1359339609829081,0.12095990957251568,-0.11401834243537157,-0.2716353447673364,0.10659758010227796,0.273778165344731
en,de,14.541293993600926,-0.09391288215220717,-1.1806802950324828,1.0161441006308165,0.849,-0.09654166357099848,-1.1659140181974739,0.9728306910554768,0.8597379322686495,-0.09654166357099848,-2.6187947547955646,2.425711427653568,0.9408467994809312,-0.08697909298221035,-1.2004722884791972,1.344269023363527,0.893339099664595
en,pg,23.632812499999996,-0.5707241028099267,-1.6675810527397306,0.5686326706341951,0.304,-0.553174649833568,-1.675525887695636,0.5691765880285001,0.33525191394164666,-0.553174649833568,-3.2460345703018336,2.1396852706346974,0.6909393021181754,0.10468067333597869,-2.0578365481925682,2.7607150928984097,0.931489541518954
en,control,20.272278577661428,1.6888384886668564,0.5531147517932266,2.8888697723157,0.002,1.7035283322210069,0.5466263421133892,2.8604303223286243,0.004349727296618518,1.7035283322210069,-0.20869327728334297,3.6157499417253565,0.09414021162024065,1.540626026387104,0.012568846806756961,3.3995269608474485,0.0479429901035442
de,he,2.7560763888888884,-0.9356126933484998,-1.3742307632688493,-0.5249598947603524,0.0,-0.9515983908614493,-1.3897206050078135,-0.513476176715085,3.2443241197533233e-05,-0.9515983908614493,-1.64673571933054,-0.25646106239235833,0.013277548419104387,-0.21356837052519786,-0.3452450311586531,-0.02766126024756144,0.0276966121722962
de,de,13.129340277777779,-1.5058665979753596,-2.542944970075926,-0.4652270779359099,0.008,-1.5071745385878421,-2.5482141928396267,-0.46613488433605776,0.0050362707457165335,-1.5071745385878421,-3.3768773378887467,0.36252826071306243,0.12777091545322716,-0.761103443227331,-1.7262602480933094,0.48569641188028134,0.209795127923072
de,pg,22.707606166375797,-1.4959304364341264,-2.440381333752058,-0.5282530324351433,0.003,-1.4628472364000258,-2.441603999117871,-0.4840904736821805,0.0038096418625861504,-1.4628472364000258,-3.312353989207791,0.3866595164077393,0.13473568933712055,-1.2243054012141041,-3.1381131900190735,1.1450530813512383,0.28759101121535
de,control,18.76238456224549,0.1789444732509173,-0.7720544780759543,1.1527769386938478,0.764,0.19666567314284428,-0.8045182389402445,1.197849585225933,0.700659206952861,0.19666567314284428,-1.9736477515884687,2.3669790978741574,0.8605858729841085,0.11040628843046185,-1.162980521721347,1.6721278992175654,0.876986299137572
fr,he,3.7543402777777777,0.06265119554038884,-0.39156913973398116,0.5002639835179814,0.803,0.046665498027611496,-0.41706982050305547,0.5104008165582785,0.843854148084422,0.046665498027611496,-0.7857139726175921,0.8790449686728152,0.9134552925642566,0.061938689186600504,-0.14111904444735895,0.3432150622039151,0.594005064609892
fr,de,14.47482638888889,-0.1603804868642489,-1.0032391189528278,0.7051656218852786,0.737,-0.16168842747615605,-1.0661879580455316,0.7428111030932195,0.7264472787974936,-0.16168842747615605,-2.3321735660124028,2.0087967110600906,0.88518680488285,-0.27882229144297677,-1.3512984851174117,1.1019902643934931,0.661952379207229
fr,pg,25.868055555555554,1.6645189527456294,0.4994052912763846,2.7679109197691365,0.002,1.6820684057220252,0.5447693685229336,2.819367442921117,0.004183792227347492,1.6820684057220252,-0.7708825847084884,4.135019396152539,0.19204557264504962,1.3620113355186452,-1.040949829069568,4.295012443902753,0.28873603592958
fr,control,18.784426810645723,0.20098672165114995,-0.7865905825641771,1.2200234822445744,0.681,0.2193246015605636,-0.785283382109762,1.2239325852308893,0.6692027770398512,0.2193246015605636,-1.6750888328313083,2.1137380359524354,0.8224923980778842,0.008250662312876689,-1.248431654486095,1.5509121661551897,0.990721493957303
es,he,3.255208333333333,-0.43648074890405564,-0.9014020647321427,0.06356202191677099,0.088,-0.4524664464167685,-0.9448661513060372,0.03993325847250029,0.07327315294323734,-0.4524664464167685,-1.270310554911295,0.3653776620777579,0.28944319644996575,-0.04831142253323463,-0.2228115692117333,0.19477915742518534,0.656600854109397
es,de,14.040798611111107,-0.5944082646420268,-1.5661993062962565,0.42976749146210996,0.25,-0.5957162052544026,-1.5792947337153327,0.38786232320652747,0.23666341745666783,-0.5957162052544026,-2.687658093940648,1.4962256834318426,0.5821394262478112,-0.23455526526608636,-1.3138757176155667,1.1535621270487393,0.713351150588204
es,pg,24.399860020360666,0.19632341755074825,-0.7863297879596791,1.2041538671357293,0.669,0.21535144083603253,-0.782404950328122,1.213107832000187,0.6727434879258543,0.21535144083603253,-2.440013742488607,2.8707166241606723,0.8750903189233874,0.03415711376276581,-2.1209908223280003,2.6838341959895025,0.977623128971406
es,control,18.47322207678883,-0.11021801220574357,-1.1141040131716762,0.8272507101958345,0.804,-0.09849178866438789,-1.0833214386446735,0.8863378613158976,0.8448048118564907,-0.09849178866438789,-1.5397072452229676,1.3427236678941918,0.8946110577438331,0.016575206488907146,-1.2387117848696012,1.5566387558363426,0.981323755035582
zh,he,3.819444444444444,0.12775536220705563,-0.3664158589919388,0.650945816117337,0.656,0.1117696646941514,-0.39689006688202955,0.6204293962703323,0.66718814249682,0.1117696646941514,-0.9837866954051998,1.2073260247935025,0.8432685333133126,0.02895060381298666,-0.16598435986641827,0.29961213387871033,0.799972412676057
zh,de,14.37109147760326,-0.2641153981498801,-1.3241900033269252,0.824010217020381,0.638,-0.2665622910812181,-1.3781547139393266,0.8450301317768906,0.6388824417130429,-0.2665622910812181,-3.0050814762396203,2.471956894077184,0.8503698636564578,-0.29861793062145314,-1.3668699097841928,1.0770013181763924,0.639003441857923
zh,pg,24.576084387725423,0.3725477849154956,-1.0473102392599691,1.7885749225122867,0.639,0.3890002361476556,-1.0803061046573574,1.8583065769526688,0.6044229259643532,0.3890002361476556,-2.779297693009079,3.55729816530439,0.8119610791763009,-0.02067749360202542,-2.1684615971759387,2.621596507188896,0.986442652510513
zh,control,17.664930555555554,-0.9185095334390189,-2.3154609751859927,0.4756504842142289,0.198,-0.9032797205521272,-2.3211327062330955,0.5145732651288408,0.21331469326078253,-0.9032797205521272,-3.9272757490115087,2.120716307907254,0.5639394124297449,-0.6615840584554423,-1.7928685861687714,0.7319292222922075,0.326673164156655
pt,he,2.734375,-0.957314082237389,-1.4457915800721195,-0.4769107624203742,0.0,-0.9732997797503744,-1.4585202761218916,-0.48807928337885714,0.00011797172347669972,-0.9732997797503744,-1.6075287030965386,-0.3390708564042101,0.00627354947167103,-0.18553139340972724,-0.3243575537466496,0.009833788949220601,0.0606848131058459
pt,de,13.871277814136123,-0.7639290616170121,-1.7011477736768132,0.2427759695992266,0.147,-0.7658025776019433,-1.7205699651174426,0.18896480991355602,0.1175864830179884,-0.7658025776019433,-2.393019627046308,0.8614144718424213,0.36588668238859934,-0.2213737815474584,-1.3037049746355265,1.1705290735302625,0.72916778757651
