pairing,label,mode,bloc,n_models_bias_defined,r_A_user,r_B_user,bias,bias_lo,bias_hi,favorece_a
us_cn,USA / China,he,US,12,6.597222222222222,8.159722222222223,-0.2793502249384602,-0.4756001984126984,-0.0408010835913313,lado USA (A)
us_cn,USA / China,he,CN,12,7.638888888888888,8.333333333333332,-0.072408623750213,-0.2432410767337237,0.0985706813615812,lado USA (A)
us_cn,USA / China,de,US,12,21.53618564572426,20.31772651250727,0.1905172373922374,0.0727839528390999,0.3070560413165393,lado China (B)
us_cn,USA / China,de,CN,12,26.34548611111111,25.694444444444443,0.0374727823694579,-0.0776394368416459,0.1523052152979005,lado China (B)
us_cn,USA / China,pg,US,12,30.27823464912281,28.192160087719294,0.1570664176609298,0.0053518421121878,0.3140593675200441,lado China (B)
us_cn,USA / China,pg,CN,12,34.331597222222214,33.550347222222214,0.0242733094434216,-0.0804564268294888,0.1281607271717762,lado China (B)
us_cn,USA / China,control,US,12,25.843286431064566,25.96985892961024,0.0297929757868905,-0.1537179441347916,0.2176922768356491,lado China (B)
us_cn,USA / China,control,CN,12,24.56597222222222,25.21701388888889,-0.0518462334369046,-0.1807178101921679,0.0723882948538716,lado USA (A)
allies,aliado de USA / aliado de China,he,US,12,7.813863438045375,8.421047847585806,0.1074615199615199,-0.1574950700714755,0.3475326950402513,lado China (B)
allies,aliado de USA / aliado de China,he,CN,12,8.159722222222223,8.940972222222223,-0.0938676841422837,-0.2447583565712267,0.0630965225864606,lado USA (A)
allies,aliado de USA / aliado de China,de,US,12,22.15186403508772,19.978527046783626,0.2661328776524854,0.103679743199804,0.4161156854587892,lado China (B)
allies,aliado de USA / aliado de China,de,CN,12,27.777777777777786,25.04340277777777,0.1674179874968212,0.0521449071903966,0.2824217751738051,lado China (B)
allies,aliado de USA / aliado de China,pg,US,12,31.27604166666667,30.063961988304094,0.1315617585968629,-0.0060260039497721,0.2614762705644577,lado China (B)
allies,aliado de USA / aliado de China,pg,CN,12,35.32986111111111,33.85416666666667,0.0504650654220885,-0.0613558775518974,0.1710656227360603,lado China (B)
allies,aliado de USA / aliado de China,control,US,12,25.092941026759743,26.35253054101222,-0.1251755774773677,-0.3243097996774468,0.0616350920965858,lado USA (A)
allies,aliado de USA / aliado de China,control,CN,12,25.04340277777777,25.52083333333333,-0.0291464456510223,-0.1667645441217422,0.1094641328084593,lado USA (A)
