fit,term,logodds,se,lo,hi,z,p,odds_ratio,or_lo,or_hi
A_he,(Intercept),-5.24654528828213,0.420628520755099,-6.070977188962124,-4.422113387602136,-12.4731087631997,1.0466172451781999e-35,0.005265678413229746,0.0023089158607594753,0.012008826143380264
A_he,x,0.453486088263669,0.273594456400935,-0.08275904628216357,0.9897312228095015,1.65751197677454,0.097416009490033,1.5737890009783153,0.9205729359701013,2.6905112271090776
A_de,(Intercept),-2.78808946031722,0.386730062564746,-3.5460803829441225,-2.030098537690318,-7.20939417491093,5.62013549985958e-13,0.061538673751659834,0.02883745018436171,0.1313225802871742
A_de,x,-0.157958035581535,0.216528914384242,-0.5823547077746493,0.2664386366115793,-0.729500889203324,0.465695324054878,0.8538856140298691,0.5585815205308888,1.3053074887873009
A_pg,(Intercept),-2.51137349490406,0.384214896078517,-3.264434691217953,-1.7583122985901665,-6.53637722154021,6.30268320734712e-11,0.08115669434913829,0.0382185342510543,0.17233546934097194
A_pg,x,0.432592102523533,0.23254873080897,-0.02320340986204822,0.8883876149091141,1.86022130079433,0.0628542225942142,1.5412474215326994,0.9770637191622943,2.4312064482527607
A_control,(Intercept),-2.53127673309571,0.398379534979293,-3.3121006216551243,-1.7504528445362957,-6.35393264673418,2.09878759589237e-10,0.07955738187469516,0.036439547597849,0.17369526868466642
A_control,x,0.0767657090830343,0.25794991706952,-0.42881612837322486,0.5823475465392934,0.297599278011573,0.766009025684572,1.079789061984807,0.6512796700246363,1.7902361643469147
B_power_shifting,(Intercept),-2.32676784349749,0.333581634853655,-2.9805878478106536,-1.6729478391843262,-6.97510774092305,3.05636496477402e-12,0.09761073093548239,0.05076298418310876,0.1876929606697454
B_power_shifting,x,0.248759460593715,0.140422696636322,-0.026469024813476127,0.5239879460009061,1.77150465382368,0.0764768194788819,1.2824335201690025,0.9738782094275288,1.6887488781783293
B_power_shifting,modede,-0.77824750851691,0.247605259911012,-1.2635538179424937,-0.29294119909132654,-3.14309764177307,0.0016717006608532,0.4592100682815479,0.28264776083248927,0.7460660087667135
B_power_shifting,modehe,-2.89046607289867,0.28144738213363,-3.442102941880585,-2.3388292039167555,-10.2700051817369,9.619949370443181e-25,0.055550316080278585,0.03199732600938692,0.09644048429901855
