dim,mode,level,n_models,n_discordant_median,bias,lo,hi,sd_models,p_t,n_positive,q_bh
scale,he,individual,17,1.0,0.369327731092437,-0.013579114478324661,0.7522345766631986,0.744733913180121,0.057696083478683984,11,0.05878974190876279
scale,he,group,17,1.0,0.40196078431372545,-0.016812825421123667,0.8207343940485745,0.8144929053162204,0.05878974190876279,11,0.05878974190876279
scale,he,society,21,2.5,0.4942176870748298,0.2485904229913499,0.7398449511583097,0.5396094221511025,0.00044372563369624897,16,0.001331176901088747
scale,de,individual,21,5.5,0.3553509982081411,0.12457417566564555,0.5861278207506366,0.5069850381743473,0.0043749611133718615,16,0.0043749611133718615
scale,de,group,21,4.5,0.4419329347900776,0.246851157397917,0.6370147121822383,0.42856791799389576,0.00012953603413525387,14,0.00019430405120288082
scale,de,society,23,10.0,0.6075789938961296,0.4676310479387026,0.7475269398535566,0.3236296286560164,7.862128778644523e-09,22,2.3586386335933572e-08
scale,pg,individual,23,9.5,0.6109091533643962,0.47536914351810244,0.74644916321069,0.31343627628470366,4.061627492127581e-09,21,1.2184882476382745e-08
scale,pg,group,22,6.5,0.519468031968032,0.31061886841767866,0.7283171955183854,0.4710438962627667,3.991935799161451e-05,19,5.9879036987421766e-05
scale,pg,society,24,9.5,0.2845788896775739,0.11610136514637986,0.4530564142087679,0.39898721388220787,0.0019554465209464344,18,0.0019554465209464344
scale,control,individual,24,9.5,0.15226081788581788,-0.06226455715395371,0.36678619292558945,0.5080373891551717,0.1555822722053407,16,0.1555822722053407
scale,control,group,24,6.0,0.1386574074074074,-0.03460854655887924,0.31192336137369403,0.4103271366671335,0.11141406329318851,13,0.1555822722053407
scale,control,society,24,6.0,0.3079365079365079,0.08222538134505483,0.5336476345279609,0.5345274023435934,0.009662373058235219,18,0.02898711917470566
standing,he,low,20,2.0,0.5157142857142858,0.24207013122613485,0.7893584402024367,0.5846917332767475,0.0008696602783349898,15,0.0013044904175024848
standing,he,med,13,1.0,0.7509157509157508,0.5064182551170715,0.9954132467144301,0.4046002693858375,2.222476913228706e-05,11,6.667430739686119e-05
standing,he,high,21,2.0,0.3763416477702192,0.07559162316711382,0.6770916723733247,0.6607065693361135,0.016750925501630945,14,0.016750925501630945
standing,de,low,23,8.0,0.5664735023430675,0.4305956248046017,0.7023513798815333,0.3142175953316139,1.5885161786134264e-08,22,3.8997878853852916e-08
standing,de,med,24,6.0,0.4633748196248197,0.21184149897867338,0.714908140270966,0.5956793292304358,0.0008987198265266618,19,0.0008987198265266618
standing,de,high,23,5.5,0.5889144671753367,0.4435232271581268,0.7343057071925465,0.3362172463104329,2.599858590256861e-08,22,3.8997878853852916e-08
standing,pg,low,23,8.0,0.5279179757440627,0.36117802787489495,0.6946579236132305,0.38558613377175155,1.3265820606343149e-06,20,3.979746181902945e-06
standing,pg,med,23,7.5,0.4317993600602296,0.26485921428007053,0.5987395058403887,0.38604909144611094,2.191392510398085e-05,18,3.287088765597128e-05
standing,pg,high,24,10.0,0.4509304353054353,0.2636925675732873,0.6381683030375833,0.44341531837894005,4.8771117288127565e-05,21,4.8771117288127565e-05
standing,control,low,24,7.0,0.004882154882154877,-0.1984715231320734,0.20823583289638314,0.48158065979046416,0.9608183403710155,13,0.9608183403710155
standing,control,med,24,5.0,0.34241452991452986,0.15257184691321224,0.5322572129158475,0.44958402242308926,0.0010939909965495729,17,0.0032819729896487186
standing,control,high,23,9.0,0.2676374634175146,0.06712827325257545,0.4681466535824538,0.463677507456508,0.011215950772749889,17,0.016823926159124834
