quantity,kind,estimate,se,z,p,df,sd_model,sd_model_r1,sd_model_r2,sd_prompt,singular,messages,optimizer,variant,formula_used,nobs,n_models,n_prompts,seconds,lme4_version,r_version
r1 (promedio),contraste,-1.17226258516673,0.534868252392897,-2.19168473717079,0.028402278567608,,1.58330363039231,1.47830952286095,1.31092076707564,2.6551742686174,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,198.49,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
r1 en modelos US,contraste,-0.434448753754949,0.755984782872635,-0.57467923111376,0.565508256176721,,1.58330363039231,1.47830952286095,1.31092076707564,2.6551742686174,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,198.49,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
r1 en modelos CN,contraste,-1.91007641657851,0.751973339280637,-2.54008528866961,0.0110825439410898,,1.58330363039231,1.47830952286095,1.31092076707564,2.6551742686174,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,198.49,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
r1 x origen (US - CN),contraste,1.47562766282356,1.06283470030687,1.38838867643059,0.165018722596242,,1.58330363039231,1.47830952286095,1.31092076707564,2.6551742686174,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,198.49,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
r1 en he,contraste,-0.449028840246719,0.602395482847483,-0.745405390698133,0.456026686024102,,1.58330363039231,1.47830952286095,1.31092076707564,2.6551742686174,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,198.49,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
r1 en de,contraste,-1.93729423319847,0.550457508899011,-3.51942557214511,0.0004324823625792,,1.58330363039231,1.47830952286095,1.31092076707564,2.6551742686174,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,198.49,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
r1 en pg,contraste,-1.20736628343982,0.541161338540426,-2.23106529874479,0.0256768039453137,,1.58330363039231,1.47830952286095,1.31092076707564,2.6551742686174,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,198.49,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
r1 en ctl,contraste,-1.09536098378189,0.543979781091076,-2.01360606010925,0.0440509096833226,,1.58330363039231,1.47830952286095,1.31092076707564,2.6551742686174,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,198.49,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
r1 en pg - en ctl,contraste,-0.112005299657932,0.192440221207587,-0.582026454527458,0.560548861858194,,1.58330363039231,1.47830952286095,1.31092076707564,2.6551742686174,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,198.49,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
r1 en de - en ctl,contraste,-0.841933249416582,0.21288405436898,-3.95489108807232,7.65695245411222e-05,,1.58330363039231,1.47830952286095,1.31092076707564,2.6551742686174,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,198.49,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
r1 en he - en ctl,contraste,0.646332143535173,0.323453395084657,1.99822340206387,0.0456924455019542,,1.58330363039231,1.47830952286095,1.31092076707564,2.6551742686174,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,198.49,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
r2 (promedio),contraste,-1.56270540074015,0.480357782861958,-3.25321136972028,0.0011410858314632,,1.58330363039231,1.47830952286095,1.31092076707564,2.6551742686174,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,198.49,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
r2 en modelos US,contraste,-0.863879058216104,0.677258583634938,-1.27555276387868,0.202113660982931,,1.58330363039231,1.47830952286095,1.31092076707564,2.6551742686174,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,198.49,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
r2 en modelos CN,contraste,-2.26153174326419,0.67250595637785,-3.36284269576571,0.0007714430886264,,1.58330363039231,1.47830952286095,1.31092076707564,2.6551742686174,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,198.49,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
r2 x origen (US - CN),contraste,1.39765268504809,0.948109963410128,1.47414618450064,0.140442235796229,,1.58330363039231,1.47830952286095,1.31092076707564,2.6551742686174,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,198.49,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
r2 en he,contraste,-1.20254071393447,0.587728180054471,-2.04608312948856,0.0407481925313383,,1.58330363039231,1.47830952286095,1.31092076707564,2.6551742686174,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,198.49,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
r2 en de,contraste,-2.06074665172985,0.496918145733206,-4.14705453891045,3.36779860731683e-05,,1.58330363039231,1.47830952286095,1.31092076707564,2.6551742686174,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,198.49,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
r2 en pg,contraste,-1.55311566601008,0.486182324926246,-3.19451281213418,0.0014006706786834,,1.58330363039231,1.47830952286095,1.31092076707564,2.6551742686174,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,198.49,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
r2 en ctl,contraste,-1.43441857128619,0.489721718191021,-2.9290483105074,0.0034000157344443,,1.58330363039231,1.47830952286095,1.31092076707564,2.6551742686174,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,198.49,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
r2 en pg - en ctl,contraste,-0.118697094723885,0.201933065779997,-0.58780415315045,0.556663756054818,,1.58330363039231,1.47830952286095,1.31092076707564,2.6551742686174,False,,bobyqa,1,refuse ~ (r1 + r2) * (mode + origin) + ((1 | model) + (0 + r1 |     model) + (0 + r2 | model)) + (1 | prompt_id),18401,8,768,198.49,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
