bloc,lang,mode,r_en,r_lang,delta_pp,delta_lo,delta_hi,delta_p
all,de,pg,23.617246582315296,22.7076061663758,-0.9096404159394996,-2.491368300974404,0.6352564897486714,0.2184
all,de,control,20.283413321698664,18.766361256544503,-1.517052065154159,-3.0820733485034766,-0.0378110586512152,0.0456
all,fr,pg,23.6328125,25.868055555555557,2.2352430555555567,0.7378472222222223,3.7760416666666665,0.0028
all,fr,control,20.263529850203607,18.78908522396741,-1.4744446262361834,-2.9966419956140355,0.0426386843731812,0.0564
all,es,pg,23.6390615910413,24.39986002036068,0.760798429319371,-0.93373308380025,2.367864863595599,0.3856
all,es,control,20.276482511634672,18.476744291739383,-1.7997382198952878,-3.4068964968731823,-0.2586754426628863,0.0232
all,zh,pg,23.6390615910413,24.57608438772542,0.9370227966841188,-1.1225819605665008,2.93437793617579,0.3704
all,zh,control,20.272278577661428,17.668566390343223,-2.6037121873182083,-4.600694444444444,-0.7156912941849605,0.0052
all,pt,pg,23.6390615910413,23.07709787667248,-0.5619637143688186,-2.083729469797176,0.8950338084795322,0.446
all,pt,control,20.272278577661428,17.495296138743456,-2.776982438917975,-4.317670270687901,-1.3000102796052635,0.0
all,hi,pg,23.623446637426905,26.92913925438597,3.305692616959064,1.569286841770385,5.043426890432098,0.0
all,hi,control,20.26022225050093,20.1172037314053,-0.1430185190956348,-2.081654059193122,1.7101551888408764,0.9068
all,sw,pg,23.623446637426905,26.62600511695906,3.002558479532164,0.7647422934654496,5.147438781631761,0.0104
all,sw,control,20.28394554093567,21.179870248538013,0.89592470760234,-1.3825397227468883,3.019805975552185,0.4164
US,de,pg,21.626854275741717,23.236392888307154,1.6095386125654447,-0.3006380890052347,3.4388820358187133,0.0932
US,de,control,20.124118310063995,21.213278068644563,1.0891597585805703,-0.3479346784008444,2.567359520433392,0.1364
US,fr,pg,21.657986111111114,23.48090277777777,1.8229166666666672,0.2170138888888892,3.385416666666665,0.018
US,fr,control,20.11571044211751,18.72932118964514,-1.3863892524723682,-3.1256987619982546,0.3058759634962181,0.116
US,es,pg,21.670484293193724,26.10006726294357,4.429582969749854,2.517361111111112,6.340219831660848,0.0
US,es,control,20.11025668993601,20.417030250145437,0.3067735602094245,-1.3463875255267763,1.9131478603112275,0.6984
US,zh,pg,21.670484293193724,21.808418775450843,0.1379344822571256,-1.909722222222222,2.148311860380109,0.8936
US,zh,control,20.101848821989527,15.805882780686446,-4.295966041303082,-6.467013888888888,-2.170127467105263,0.0004
US,pt,pg,21.670484293193724,23.15072353112275,1.4802392379290292,-0.122520257869851,3.081597222222221,0.07
US,pt,control,20.101848821989527,19.27878672193135,-0.8230621000581735,-2.430555555555556,0.7812500000000002,0.328
US,hi,pg,21.639254385964914,28.511056286549707,6.871801900584796,4.740931103801169,9.02793116455788,0.0
US,hi,control,20.07773616766854,22.91669912947727,2.8389629618087304,0.7672415767777132,4.927328932530446,0.0064
US,sw,pg,21.639254385964914,32.41867690058479,10.77942251461988,8.426933355148341,13.045799824805806,0.0
US,sw,control,20.12518274853801,28.42744883040936,8.302266081871345,6.1714918861237,10.338142574378487,0.0
CN,de,pg,25.60763888888889,22.178819444444443,-3.428819444444444,-5.381944444444445,-1.6059027777777766,0.0
CN,de,control,20.442708333333336,16.319444444444446,-4.123263888888888,-6.380208333333333,-2.039930555555556,0.0
CN,fr,pg,25.60763888888889,28.25520833333333,2.6475694444444446,0.5642361111111109,4.774305555555556,0.0152
CN,fr,control,20.411349258289704,18.848849258289704,-1.5624999999999998,-3.690641353093381,0.4349594604421178,0.136
CN,es,pg,25.60763888888889,22.69965277777778,-2.9079861111111107,-5.338541666666666,-0.5642361111111109,0.0108
CN,es,control,20.442708333333336,16.536458333333336,-3.906249999999999,-6.119791666666668,-1.7361111111111112,0.0
CN,zh,pg,25.60763888888889,27.34375,1.7361111111111118,-0.9114583333333336,4.341362847222207,0.1952
CN,zh,control,20.442708333333336,19.53125,-0.9114583333333331,-3.2986111111111107,1.3465711805555405,0.446
CN,pt,pg,25.60763888888889,23.00347222222222,-2.604166666666667,-4.817708333333334,-0.4340277777777773,0.016
CN,pt,control,20.442708333333336,15.711805555555555,-4.730902777777777,-6.987847222222222,-2.5607638888888884,0.0
CN,hi,pg,25.60763888888889,25.347222222222225,-0.2604166666666655,-2.430555555555556,1.909722222222222,0.8092
CN,hi,control,20.442708333333336,17.317708333333336,-3.125000000000001,-5.729166666666666,-0.6510416666666667,0.0104
CN,sw,pg,25.60763888888889,20.833333333333336,-4.7743055555555545,-7.638888888888888,-2.083333333333333,0.0
CN,sw,control,20.442708333333336,13.932291666666666,-6.510416666666667,-9.54861111111111,-3.6458333333333344,0.0
