fit,term,logodds,se,lo,hi,z,p,odds_ratio,or_lo,or_hi
A_he,(Intercept),-5.08893676597345,0.423927769226519,-5.919835193657428,-4.258038338289473,-12.0042543456366,3.3749190648921e-33,0.006164570785400925,0.0026856427514425976,0.014150032779976328
A_he,x,0.308149823314413,0.263432113271468,-0.2081771186976642,0.8244767653264902,1.169750413067,0.242101424049596,1.3609048689418455,0.8120631923984977,2.280687118498006
A_de,(Intercept),-3.36484817255463,0.382308846401515,-4.114173511501599,-2.6155228336076606,-8.80138716178369,1.35135273858051e-18,0.03456726397899273,0.016339439188939566,0.0731295441157009
A_de,x,0.439723113940942,0.213734982449548,0.02080254833982792,0.858643679542056,2.05732870165387,0.039654618300205,1.5522773550430786,1.021020429553991,2.35995766317046
A_pg,(Intercept),-3.29587460620604,0.374814581756423,-4.030511186448629,-2.561238025963451,-8.79334680833707,1.45169492382659e-18,0.0370356392781645,0.017765246278977187,0.07720909438590075
A_pg,x,1.2040167189324,0.220943312240895,0.7709678269402458,1.6370656109245543,5.44943726388811,5.05294429518345e-08,3.3334797185690817,2.161857545590996,5.140064412095038
A_control,(Intercept),-2.34653682279565,0.39808544347101,-3.1267842919988293,-1.5662893535924702,-5.89455570727628,3.756908409414381e-09,0.09570001509453047,0.043858607203672725,0.20881859851505785
A_control,x,-0.107935000309759,0.260286590961981,-0.6180967185952417,0.40222671797572374,-0.414677528761074,0.678377984602366,0.897685943842416,0.5389692722044993,1.4951502716958083
B_power_shifting,(Intercept),-2.8137634436364,0.331413618196076,-3.463334135300709,-2.1641927519720907,-8.49018654982271,2.06305666391379e-17,0.05997884011946686,0.03132514543915808,0.1148426036541095
B_power_shifting,x,0.729428815235174,0.139228405078603,0.4565411412811121,1.0023164891892358,5.23908045074111,1.61378680848233e-07,2.07389569168043,1.5786043616603775,2.7245859978790428
B_power_shifting,modede,-0.770649405838221,0.238163638861078,-1.2374501380059337,-0.3038486736705081,-3.23579791408774,0.0012130322979963,0.4627124825331375,0.2901230493167702,0.7379725326759937
B_power_shifting,modehe,-2.88733043806293,0.272636416169298,-3.4216978137547542,-2.3529630623711055,-10.5904063684214,3.30155453563193e-26,0.05572477496324877,0.03265694243832442,0.09508699568458567
