weights,models,group,n_models,n_prompts,rate_human,rate_ai,odds_ratio,boot_lo,boot_hi,boot_p,perm_p,pp,pp_boot_lo,pp_boot_hi,pp_perm_p,boot_q,perm_q,pp_perm_q
with_luna,all,he,24,168,2.500661593057139,3.537541281613922,1.4298482033174318,1.066881046819921,2.0376420719154087,0.012,0.0033993201359728054,1.036879688556783,0.19668485655890863,1.8182453232139817,0.0033993201359728054,0.012,0.004532426847963741,0.004532426847963741
with_luna,US,he,12,168,1.9117684317581103,2.6366078024035997,1.3894133105260869,0.8764717713276017,2.7729787225466236,0.17,0.17816436712657469,0.7248393706454893,-0.26544535447692363,1.7552106260878335,0.17816436712657469,0.17,0.17816436712657469,0.17816436712657469
with_luna,CN,he,12,168,4.13663516746299,6.0403778929855925,1.4898011219975402,1.124855009883056,2.11177447285576,0.006,0.004599080183963208,1.9037427255226023,0.594964804394824,3.397698738604211,0.004599080183963208,0.006,0.004599080183963208,0.004599080183963208
without_luna,all,he,23,168,2.977893219802892,4.706896335397475,1.6092915890056188,1.2742259953062156,2.1678888570671897,0.0,0.0001999600079984003,1.7290031155945826,0.88179925952257,2.680356810245798,0.0001999600079984003,0.0,0.0001999600079984003,0.0001999600079984003
without_luna,US,he,11,168,2.0623895181233984,3.6533336292587237,1.8006589047850812,1.2886098362316125,2.825920743592447,0.0,0.0001999600079984003,1.5909441111353253,0.6495298888511775,2.609606030255832,0.0001999600079984003,0.0,0.0002666133439978671,0.0002666133439978671
without_luna,CN,he,12,168,4.13663516746299,6.040377892985592,1.4898011219975402,1.124855009883056,2.11177447285576,0.006,0.004599080183963208,1.9037427255226016,0.5949648043948247,3.397698738604211,0.004599080183963208,0.006,0.004599080183963208,0.004599080183963208
equal,all,he,24,168,3.149801587301587,4.985119047619048,1.6132483243823181,1.3333062326932212,2.0614050707759204,0.0,0.0001999600079984003,1.8353174603174607,1.0912698412698416,2.703373015873016,0.0001999600079984003,0.0,0.0001999600079984003,0.0001999600079984003
equal,US,he,12,168,2.827380952380952,4.662698412698412,1.6808697080891615,1.3462275861325916,2.2913586676346798,0.0,0.0001999600079984003,1.83531746031746,0.9424603174603183,2.777777777777778,0.0001999600079984003,0.0,0.0001999600079984003,0.0001999600079984003
equal,CN,he,12,168,3.4722222222222223,5.307539682539682,1.55819800942902,1.2255658825441718,2.1269434822026474,0.0,0.0001999600079984003,1.8353174603174593,0.843253968253968,3.025793650793651,0.0001999600079984003,0.0,0.0001999600079984003,0.0001999600079984003
with_luna,all,de,24,168,8.385525236129329,13.271684753678525,1.6718564036440404,1.454906384927606,1.962724990325632,0.0,0.0001999600079984003,4.8861595175491965,3.3143516595810416,6.617525596038404,0.0001999600079984003,0.0,0.0003999200159968006,0.0003999200159968006
with_luna,US,de,12,168,4.321681071014146,8.466563260115654,2.04780317066509,1.5531323670063673,2.8598348434383367,0.0,0.0001999600079984003,4.1448821891015095,2.377766644834954,6.358284360422584,0.0001999600079984003,0.0,0.0003999200159968006,0.0003999200159968006
with_luna,CN,de,12,168,19.675080118998736,26.620543769018223,1.4810721814394638,1.2889322298184054,1.7208027779028383,0.0,0.0001999600079984003,6.945463650019487,4.322158716326053,9.75420100349445,0.0001999600079984003,0.0,0.0003999200159968006,0.0003999200159968006
without_luna,all,de,23,168,12.393613723432765,17.362714037538666,1.4851809747528562,1.3596653970103236,1.64099445006513,0.0,0.0001999600079984003,4.969100314105901,3.674426806453248,6.376634322175881,0.0001999600079984003,0.0,0.0001999600079984003,0.0001999600079984003
without_luna,US,de,11,168,6.640642190593319,10.04824906472645,1.570466024329146,1.3490539499726817,1.8504605385071573,0.0,0.0001999600079984003,3.4076068741331316,2.1482584797394493,4.752775122973823,0.0001999600079984003,0.0,0.0002666133439978671,0.0002666133439978671
without_luna,CN,de,12,168,19.675080118998736,26.620543769018223,1.4810721814394638,1.2889322298184054,1.7208027779028388,0.0,0.0001999600079984003,6.945463650019487,4.32215871632605,9.75420100349445,0.0001999600079984003,0.0,0.0003999200159968006,0.0003999200159968006
equal,all,de,24,168,13.641912603364698,19.915674603174597,1.574255620969663,1.4427584224704577,1.7316835791715322,0.0,0.0001999600079984003,6.273761999809901,4.93488089261809,7.736936840604502,0.0001999600079984003,0.0,0.0001999600079984003,0.0001999600079984003
