weights,group,lang,language,n_models,odds_ratio,boot_lo,boot_hi,boot_p,boot_q,perm_p,perm_q
with_luna,he,de,German,24,0.7491218133190881,0.5565796197741978,0.950459939623551,0.016,0.09333333333333334,0.10217956408718257,0.23841898287009267
with_luna,he,pt,Portuguese,24,0.9903141613982401,0.598908554985321,1.535097106128379,0.922,0.922,0.9586082783443312,0.9586082783443312
with_luna,he,es,Spanish,24,0.9391143347115367,0.5486823175956976,1.509851152258165,0.77,0.922,0.7150569886022795,0.9424781710324601
with_luna,he,sw,Swahili,22,1.462069155248678,1.025199583421437,2.1149645094253406,0.036,0.09333333333333334,0.03279344131173765,0.11477704459108178
with_luna,he,zh,Chinese,24,1.0444381200762742,0.7091460374275941,1.5333236484807853,0.816,0.922,0.8078384323135372,0.9424781710324601
with_luna,he,fr,French,24,1.084847894931196,0.7595491876579447,1.603620980955131,0.614,0.922,0.6366726654669066,0.9424781710324601
with_luna,he,hi,Hindi,24,1.4927705550306087,1.016365171825908,2.3506660712541607,0.04,0.09333333333333334,0.022795440911817635,0.11477704459108178
without_luna,he,de,German,23,0.780120597786139,0.6049318366566329,0.9920597272897163,0.042,0.09800000000000002,0.024795040991801638,0.05785509564753716
without_luna,he,pt,Portuguese,23,0.8627819799546176,0.6024731022718796,1.1750360549755274,0.344,0.4013333333333333,0.1917616476704659,0.22372192228221022
without_luna,he,es,Spanish,23,0.9166612591091634,0.6529496580121207,1.2089999095166708,0.528,0.528,0.4297140571885623,0.4297140571885623
without_luna,he,sw,Swahili,21,1.3810114375549574,1.0693970786359073,1.905955351792926,0.016,0.056,0.003599280143971206,0.01259748050389922
without_luna,he,zh,Chinese,23,1.186301794143563,0.9343029774920897,1.5207598126934994,0.184,0.2576,0.12077584483103379,0.1690861827634473
without_luna,he,fr,French,23,1.2421815170942199,0.9636222500100083,1.610415321728481,0.092,0.161,0.04579084183163367,0.08013397320535892
without_luna,he,hi,Hindi,23,1.4235362946745984,1.1106143017698777,1.9547139184608644,0.002,0.014,0.0021995600879824036,0.01259748050389922
equal,he,de,German,24,0.8913723357776651,0.712436109407576,1.0984860414275952,0.28,0.392,0.20795840831833634,0.24261814303805906
equal,he,pt,Portuguese,24,0.8841563436845974,0.6524980105929074,1.1500091486644552,0.396,0.462,0.1811637672465507,0.24261814303805906
