weights,set,group,n_models,n_pairs,rate_A_user,rate_B_user,odds_ratio,boot_lo,boot_hi,boot_p,perm_p,boot_q,perm_q
with_luna,geo,he,24,9215,4.5510218814695405,4.886302402961435,0.9281119506959974,0.7976037894341448,1.074935838892053,0.3196,0.33353329334133175,0.4261333333333333,0.44471105778844233
without_luna,geo,he,23,9215,6.37204851689066,6.409641729791411,0.9937357343343608,0.8688724738449818,1.1310030816071228,0.9152,0.9172165566886623,0.9152,0.9172165566886623
equal,geo,he,24,9215,7.5524233028720635,8.463796643820713,0.8835242357163028,0.8045445753592387,0.9632104759045818,0.0056,0.0011997600479904018,0.007466666666666667,0.0015996800639872025
with_luna,geo,de,24,9213,15.985831470365738,13.832934980289918,1.1852491741229192,1.071480751800239,1.3182906096994138,0.0008,0.0001999600079984003,0.0032,0.0007998400319936012
without_luna,geo,de,23,9213,20.746260610694826,19.06841936798208,1.1110238819382978,1.035252874888389,1.1932777788637605,0.0016,0.0015996800639872025,0.0032,0.003199360127974405
equal,geo,de,24,9213,24.452851596675416,22.758349054024492,1.0985560739221065,1.0408949583063416,1.159693052131155,0.0012,0.0001999600079984003,0.0048,0.0007998400319936012
with_luna,geo,pg,24,9212,25.792488188357986,23.78164741656664,1.1139430594766142,1.0352367038840369,1.2064996521890776,0.0036,0.005598880223955209,0.0072,0.011197760447910418
without_luna,geo,pg,23,9212,27.3644569650138,25.575835104889045,1.096280763006548,1.0403865003671937,1.160168477777073,0.0016,0.0001999600079984003,0.0032,0.0007998400319936012
equal,geo,pg,24,9212,32.803933662280706,31.415158991228072,1.0657883016271903,1.0220397740818472,1.113304246436132,0.0036,0.0005998800239952009,0.0072,0.0011997600479904018
with_luna,geo,control,24,9213,21.26871764121611,21.023137115066525,1.014837101834071,0.9223743755050962,1.1191225516868133,0.7608,0.7458508298340332,0.7608,0.7458508298340332
without_luna,geo,control,23,9213,19.95447822178657,20.242105435118688,0.9822484103091059,0.9328140980036248,1.0324621806225862,0.4932,0.4553089382123575,0.6576000000000001,0.6070785842831433
equal,geo,control,24,9213,25.13642241878513,25.76519489403487,0.9674021082832561,0.9312348861837138,1.00360506700803,0.0784,0.057588482303539294,0.0784,0.057588482303539294
with_luna,geo,power_shifting,24,27640,15.442271064621035,14.166122490367805,1.1065361349353917,1.0501916563877534,1.1716269308054588,0.0,0.0003999200159968006,0.0,0.0003999200159968006
without_luna,geo,power_shifting,23,27640,18.159516686630127,17.016566180631294,1.0820705439108527,1.0398934708075809,1.1264743703950193,0.0,0.0001999600079984003,0.0,0.0001999600079984003
equal,geo,power_shifting,24,27640,21.60155744140119,20.87759607290857,1.0442310721048802,1.0141654205764492,1.0759750573511793,0.0036,0.0009998000399920016,0.0036,0.0009998000399920016
with_luna,neutral,he,24,4607,3.9503795862406625,4.4218832991641,0.888984865999061,0.7157652888061007,1.1044582213117415,0.3092,0.3153369326134773,0.7994666666666667,0.8009064853695927
without_luna,neutral,he,23,4607,5.544303568764487,5.982879463437289,0.9223920252486101,0.7825207511657222,1.0925700694655083,0.362,0.32953409318136373,0.4668,0.439378790908485
equal,neutral,he,24,4607,6.641420338859802,7.0759025959860375,0.934228769937937,0.8406368869371039,1.0430521325274789,0.238,0.22455508898220355,0.7216,0.5854829034193162
with_luna,neutral,de,24,4606,14.374478300847981,14.829510633226445,0.9641646041440224,0.8627406776451894,1.0820734466564426,0.522,0.5434913017396521,0.7994666666666667,0.8009064853695927
without_luna,neutral,de,23,4606,19.44995703861742,18.818088661619853,1.041685530622523,0.9608859673316175,1.1320504628890746,0.3252,0.3093381323735253,0.4668,0.439378790908485
equal,neutral,de,24,4606,22.903188961988302,22.772066885964907,1.0074685613234156,0.9536785396470154,1.0663264095390166,0.792,0.7772445510897821,0.9088,0.9110177964407119
with_luna,neutral,pg,24,4606,24.58411426948843,25.145987180472652,0.9703717112485978,0.8662100320278128,1.0906645309219678,0.5996,0.6006798640271945,0.7994666666666667,0.8009064853695927
without_luna,neutral,pg,23,4606,26.740123716572032,26.286412646849328,1.023560357347712,0.9610626541667693,1.0886195819807025,0.4668,0.4539092181563687,0.4668,0.4539092181563687
equal,neutral,pg,24,4606,31.11339546783626,31.048748172514617,1.0030225360281755,0.954374944647578,1.0524326620195399,0.9088,0.9110177964407119,0.9088,0.9110177964407119
with_luna,neutral,control,24,4607,19.578578947092947,19.670450686383127,0.9941924108524882,0.8990821075872696,1.0996021369744582,0.9072,0.9114177164567087,0.9072,0.9114177164567087
without_luna,neutral,control,23,4607,19.436341612946396,18.89421952694145,1.0356146732723417,0.9662075023567316,1.1130696050744635,0.3032,0.3111377724455109,0.4668,0.439378790908485
equal,neutral,control,24,4607,23.700870782431643,23.24514161576498,1.0256953801042055,0.971416013376019,1.0812802667963217,0.3608,0.2927414517096581,0.7216,0.5854829034193162
with_luna,neutral,power_shifting,24,13819,14.30235514489886,14.798562518834723,0.9608731581008533,0.8926236682532918,1.0352457789728313,0.2928,0.2891421715656869,0.2928,0.2891421715656869
without_luna,neutral,power_shifting,23,13819,17.243734951250932,17.028185585498058,1.015295986535072,0.9693124637589571,1.0622582178241418,0.5268,0.5118976204759048,0.5268,0.5118976204759048
equal,neutral,power_shifting,24,13819,20.218194606603102,20.297893052312382,0.9950785278470651,0.9626837832534849,1.0289748712314786,0.7564,0.7742451509698061,0.7564,0.7742451509698061
with_luna,us_cn,he,24,4608,4.02853209203424,4.605996350395198,0.8693650503817075,0.6829093904408319,1.0857159688409121,0.2272,0.17956408718256348,0.2788,0.23941878291008464
without_luna,us_cn,he,23,4608,6.022282723974511,6.289889083466855,0.9547281177814412,0.7846580433540491,1.1466580019314598,0.6064,0.5842831433713257,0.6064,0.5842831433713257
equal,us_cn,he,24,4608,7.118055555555555,8.246527777777777,0.8526709296606002,0.7512799944482575,0.9587169143437758,0.0072,0.003999200159968006,0.0288,0.015996800639872025
with_luna,us_cn,de,24,4607,15.06887480031423,13.76658824906718,1.1113815749773477,0.9855558572733887,1.253536444873465,0.0808,0.08338332333533294,0.1616,0.16676664667066587
without_luna,us_cn,de,23,4607,19.912548613285423,18.783956103786736,1.0750214796453332,0.9802398009844075,1.1768522788839113,0.1268,0.10617876424715057,0.2536,0.21235752849430115
equal,us_cn,de,24,4607,23.940835878417687,23.006085478475857,1.053419692320616,0.9838858471866222,1.1250052924800762,0.1316,0.07538492301539693,0.17546666666666666,0.1005132306871959
with_luna,us_cn,pg,24,4606,25.324483514558782,23.10860331161257,1.1284086691739035,1.0119260453682162,1.2625010198885105,0.0292,0.03179364127174565,0.1168,0.1271745650869826
