level,power,mode,dyad,estimate,OR,OR_lo,OR_hi,p,q_bh_old,q_bh_power,family,n_family,sig_q05_old,sig_q05_power
pooled,china,he,todas,0.0462792105153245,1.047366805960784,0.8819308296880214,1.2438358988046083,0.597769698914249,0.7970262652189987,0.7970262652189987,"direction, china, pooled (4 tests)",4,False,False
pooled,china,de,todas,0.0602605870970712,1.0621132835040623,0.886843066524899,1.2720228297168614,0.512528713696828,0.7970262652189987,0.7970262652189987,"direction, china, pooled (4 tests)",4,False,False
pooled,china,pg,todas,0.078046545849702,1.081172981614016,0.9497870632697998,1.2307337732605963,0.237737245254774,0.475474490509548,0.7970262652189987,"direction, china, pooled (4 tests)",4,False,False
pooled,china,control,todas,0.0060842116820258,1.006102758092272,0.9035878457399432,1.1202483130037637,0.911643564232557,0.969572213146264,0.911643564232557,"direction, china, pooled (4 tests)",4,False,False
pooled,usa,he,todas,-0.135829057193795,0.8729918514112797,0.7871141454415262,0.9682392027181655,0.0101432673680694,0.0270487129815184,0.0135243564907592,"direction, usa, pooled (4 tests)",4,True,True
pooled,usa,de,todas,0.235871809616115,1.2660120091989282,1.141228268881052,1.4044398050246356,8.37873459657822e-06,6.702987677262576e-05,3.351493838631288e-05,"direction, usa, pooled (4 tests)",4,True,True
pooled,usa,pg,todas,0.171686802492838,1.187305913722401,1.095990881118465,1.2862290709221802,2.61245636275627e-05,0.0001044982545102,5.22491272551254e-05,"direction, usa, pooled (4 tests)",4,True,True
pooled,usa,control,todas,0.0013483852978189,1.0013492947780052,0.9343204023672071,1.0731868935024351,0.969572213146264,0.969572213146264,0.969572213146264,"direction, usa, pooled (4 tests)",4,False,False
by_dyad,china,he,cn_ally,-0.120853093608752,0.8861641332058363,0.7229364396223136,1.0862460763365471,0.244615323862074,0.3727471601707794,0.4348716868659093,"direction, china, by_dyad (16 tests)",16,False,False
by_dyad,china,he,cn_rival,0.104883176545039,1.11058086088378,0.8460962898839665,1.4577417054157096,0.449792414938835,0.6257981425235964,0.6542435126383054,"direction, china, by_dyad (16 tests)",16,False,False
