kind,term,dom,estimate,se,z,p,p_bh,df,fit,sd_prompt,sd_model,sd_model_dom,singular,messages,optimizer,formula_used,variant,fit_seconds,loglik,nobs,n_prompts,n_models,error,lme4_version,r_version
coef,(Intercept),,-4.84654844371402,0.320990840926353,-15.0987125667738,1.6512604364056e-51,,,A_he,1.911252236918,1.09151389506876,0.401331486166347,False,,bobyqa,refuse ~ dom + (1 | model) + (1 | model_dom) + (1 | prompt_id),1,0.9,-465.379616162042,4608,192,24,,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
coef,dom1,,-0.384730405800351,0.584425726844707,-0.658305047379581,0.510342135325166,,,A_he,1.911252236918,1.09151389506876,0.401331486166347,False,,bobyqa,refuse ~ dom + (1 | model) + (1 | model_dom) + (1 | prompt_id),1,0.9,-465.379616162042,4608,192,24,,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
coef,dom2,,0.565493367274918,0.509514219502662,1.1098676850018,0.267056047365117,,,A_he,1.911252236918,1.09151389506876,0.401331486166347,False,,bobyqa,refuse ~ dom + (1 | model) + (1 | model_dom) + (1 | prompt_id),1,0.9,-465.379616162042,4608,192,24,,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
coef,dom3,,0.302681838643996,0.517486977601165,0.584907160460523,0.558610143642141,,,A_he,1.911252236918,1.09151389506876,0.401331486166347,False,,bobyqa,refuse ~ dom + (1 | model) + (1 | model_dom) + (1 | prompt_id),1,0.9,-465.379616162042,4608,192,24,,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
coef,dom4,,1.42382208788544,0.464479558945876,3.06541388197313,0.0021736896622277,,,A_he,1.911252236918,1.09151389506876,0.401331486166347,False,,bobyqa,refuse ~ dom + (1 | model) + (1 | model_dom) + (1 | prompt_id),1,0.9,-465.379616162042,4608,192,24,,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
coef,dom5,,0.200736131114702,0.527896850480944,0.380256352982254,0.703755131614364,,,A_he,1.911252236918,1.09151389506876,0.401331486166347,False,,bobyqa,refuse ~ dom + (1 | model) + (1 | model_dom) + (1 | prompt_id),1,0.9,-465.379616162042,4608,192,24,,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
coef,dom6,,-0.496190385654882,0.600612430827394,-0.826140719350976,0.408724271335308,,,A_he,1.911252236918,1.09151389506876,0.401331486166347,False,,bobyqa,refuse ~ dom + (1 | model) + (1 | model_dom) + (1 | prompt_id),1,0.9,-465.379616162042,4608,192,24,,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
coef,dom7,,-0.0521421545438236,0.5493097617227,-0.0949230437491219,0.92437595289625,,,A_he,1.911252236918,1.09151389506876,0.401331486166347,False,,bobyqa,refuse ~ dom + (1 | model) + (1 | model_dom) + (1 | prompt_id),1,0.9,-465.379616162042,4608,192,24,,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
omnibus,dom,,13.213774934824,,,0.0670679664946347,,7.0,A_he,1.911252236918,1.09151389506876,0.401331486166347,False,,bobyqa,refuse ~ dom + (1 | model) + (1 | model_dom) + (1 | prompt_id),1,0.9,-465.379616162042,4608,192,24,,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
dom_dev,dom,1.0,-0.384730405800351,0.584425726844707,-0.658305047379581,0.510342135325166,0.744813524856187,,A_he,1.911252236918,1.09151389506876,0.401331486166347,False,,bobyqa,refuse ~ dom + (1 | model) + (1 | model_dom) + (1 | prompt_id),1,0.9,-465.379616162042,4608,192,24,,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
dom_dev,dom,2.0,0.565493367274918,0.509514219502662,1.1098676850018,0.267056047365117,0.712149459640313,,A_he,1.911252236918,1.09151389506876,0.401331486166347,False,,bobyqa,refuse ~ dom + (1 | model) + (1 | model_dom) + (1 | prompt_id),1,0.9,-465.379616162042,4608,192,24,,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
dom_dev,dom,3.0,0.302681838643996,0.517486977601165,0.584907160460523,0.558610143642141,0.744813524856187,,A_he,1.911252236918,1.09151389506876,0.401331486166347,False,,bobyqa,refuse ~ dom + (1 | model) + (1 | model_dom) + (1 | prompt_id),1,0.9,-465.379616162042,4608,192,24,,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
dom_dev,dom,4.0,1.42382208788544,0.464479558945876,3.06541388197313,0.0021736896622277,0.0173895172978219,,A_he,1.911252236918,1.09151389506876,0.401331486166347,False,,bobyqa,refuse ~ dom + (1 | model) + (1 | model_dom) + (1 | prompt_id),1,0.9,-465.379616162042,4608,192,24,,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
dom_dev,dom,5.0,0.200736131114702,0.527896850480944,0.380256352982254,0.703755131614364,0.804291578987845,,A_he,1.911252236918,1.09151389506876,0.401331486166347,False,,bobyqa,refuse ~ dom + (1 | model) + (1 | model_dom) + (1 | prompt_id),1,0.9,-465.379616162042,4608,192,24,,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
dom_dev,dom,6.0,-0.496190385654882,0.600612430827394,-0.826140719350976,0.408724271335308,0.744813524856187,,A_he,1.911252236918,1.09151389506876,0.401331486166347,False,,bobyqa,refuse ~ dom + (1 | model) + (1 | model_dom) + (1 | prompt_id),1,0.9,-465.379616162042,4608,192,24,,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
dom_dev,dom,7.0,-0.0521421545438236,0.5493097617227,-0.0949230437491219,0.92437595289625,0.92437595289625,,A_he,1.911252236918,1.09151389506876,0.401331486166347,False,,bobyqa,refuse ~ dom + (1 | model) + (1 | model_dom) + (1 | prompt_id),1,0.9,-465.379616162042,4608,192,24,,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
dom_dev,dom,8.0,-1.55967047892,0.806476000069061,-1.93393291156394,0.053121376974086,0.212485507896344,,A_he,1.911252236918,1.09151389506876,0.401331486166347,False,,bobyqa,refuse ~ dom + (1 | model) + (1 | model_dom) + (1 | prompt_id),1,0.9,-465.379616162042,4608,192,24,,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
coef,(Intercept),,-2.97855244501358,0.34238572441219,-8.69940605767713,3.3362570892138297e-18,,,A_de,2.06772758772422,1.43637456713154,0.478717328491307,False,,bobyqa,refuse ~ dom + (1 | model) + (1 | model_dom) + (1 | prompt_id),1,1.2,-1311.27530051198,4607,192,24,,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
coef,dom1,,-0.744665706183616,0.470220445600896,-1.58365233402815,0.113272857492799,,,A_de,2.06772758772422,1.43637456713154,0.478717328491307,False,,bobyqa,refuse ~ dom + (1 | model) + (1 | model_dom) + (1 | prompt_id),1,1.2,-1311.27530051198,4607,192,24,,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
coef,dom2,,-0.0384497997965704,0.450443293372433,-0.0853599118075438,0.931975262542269,,,A_de,2.06772758772422,1.43637456713154,0.478717328491307,False,,bobyqa,refuse ~ dom + (1 | model) + (1 | model_dom) + (1 | prompt_id),1,1.2,-1311.27530051198,4607,192,24,,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
coef,dom3,,0.671221359147509,0.44121081538853,1.5213166489503,0.128180394216892,,,A_de,2.06772758772422,1.43637456713154,0.478717328491307,False,,bobyqa,refuse ~ dom + (1 | model) + (1 | model_dom) + (1 | prompt_id),1,1.2,-1311.27530051198,4607,192,24,,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
coef,dom4,,0.808162611147851,0.442087081957493,1.82806203603469,0.06754024177404,,,A_de,2.06772758772422,1.43637456713154,0.478717328491307,False,,bobyqa,refuse ~ dom + (1 | model) + (1 | model_dom) + (1 | prompt_id),1,1.2,-1311.27530051198,4607,192,24,,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
coef,dom5,,-0.479176717650465,0.462941425787952,-1.03506986188345,0.300636286153869,,,A_de,2.06772758772422,1.43637456713154,0.478717328491307,False,,bobyqa,refuse ~ dom + (1 | model) + (1 | model_dom) + (1 | prompt_id),1,1.2,-1311.27530051198,4607,192,24,,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
