mode,model,origin,share_requests,range_or,null_or,excess_or,n_langs
he,gemini-3.1-flash-lite,US,0.09044125874973799,3.015665796344648,3.015665796344728,0.9999999999999734,8
he,gemma-4-31b,US,0.07577114337709528,1.8190981432360747,3.2000457753363483,0.5684600380583225,8
he,gpt-5.6-luna,US,0.40030201264257825,2.2352,2.83420542172471,0.7886513739853779,8
he,gpt-5.6-sol,US,0.02844655764364783,3.080862533692722,2.6855948849801026,1.147180667837602,8
he,gpt-5.6-terra,US,0.021065051730942624,2.3579595426561135,3.1143138633716787,0.7571361288882085,8
he,grok-4.3,US,0.011011528508970112,3.977989562060359,1.9657284431409443,2.023671975618422,8
he,haiku-4.5,US,0.03250775064807124,1.956037151702786,1.6304125789479578,1.1997191244469796,8
he,inkling,US,0.0035658224250544037,2.5639402380349456,2.0783590747990273,1.23363679987919,8
he,nemotron-3-ultra,US,0.03386946718616393,2.6557640750670246,2.849717455373039,0.9319394349287778,8
he,nemotron-3.5-lightning,US,0.014632854218467115,73.4734693877551,2.240566249816157,32.792366391211935,7
he,nova-2-lite,US,0.00047601691991760054,7.1235127478753535,2.3792833969303917,2.9939740499453236,7
he,sonnet-5,US,0.023223599042790824,2.818395303326809,2.409489630691413,1.1697063425494214,8
he,deepseek-v4-pro,CN,0.025972066452122928,2.505525460455037,1.9979630019747934,1.2540399686974022,8
he,glm-5.2,CN,0.05609262898397016,3.1504178272980496,2.3744335064065174,1.3268081918477943,8
he,hy3,CN,0.06959092600037148,19.93188010899183,2.846637227954967,7.001903829983617,8
he,kimi-k2.6,CN,0.008578707573046008,6.654084507042254,2.2809904039819795,2.917190925234082,8
he,kimi-k3,CN,0.02352594011603243,2.6557640750670246,3.126012341228658,0.8495692867364671,8
he,ling-3.0-flash,CN,0.01878889628688762,16.586119873817033,2.3804637006018075,6.96760041735729,8
he,mimo-v2.5-pro,CN,0.0072099502089913075,3.744888888888889,3.6094750429892524,1.0375162161496736,8
he,minimax-m3,CN,0.02618172717355483,4.971007715688566,1.9187097066831718,2.5908076132485043,8
he,qwen3.7-plus,CN,0.015177613922899418,2.189064304967269,2.2250529752672996,0.9838257018147142,8
he,qwen3.8-27b,CN,0.009171365519893511,3.4027388733271087,2.44714963870376,1.3904907241918878,8
he,qwen3.8-flash,CN,0.004272431476809304,3.944959128065395,2.2880976808416302,1.7241218157322384,8
he,seed-2-1-turbo,CN,0.00012468319198390013,8.841181902123735,2.8840484041992047,3.065545602234304,8
de,gemini-3.1-flash-lite,US,0.09044125874973799,7.110817941952511,5.728010364345282,1.241411500617158,8
de,gemma-4-31b,US,0.07577114337709528,1.5881904761904757,2.7863454009836834,0.5699905243728166,8
de,gpt-5.6-luna,US,0.40030201264257825,5.176899553046342,1.7740895874706557,2.9180598260695056,8
de,gpt-5.6-sol,US,0.02844655764364783,2.6095534787123573,1.636519310208648,1.5945754275149082,8
de,gpt-5.6-terra,US,0.021065051730942624,3.2831858407079664,1.7930927515174553,1.8310184110272474,8
de,grok-4.3,US,0.011011528508970112,3.1568011175135324,1.3944916204898676,2.263764852458982,8
de,haiku-4.5,US,0.03250775064807124,2.814586933978569,1.4575933567738062,1.9309822735528186,8
de,inkling,US,0.0035658224250544037,2.7479245283018865,1.4488598425110613,1.8966116995411912,8
de,nemotron-3-ultra,US,0.03386946718616393,2.310557029177719,1.6459509656713143,1.4037824196271482,8
de,nemotron-3.5-lightning,US,0.014632854218467115,103.69170579029736,1.7827847352514306,58.16277408033421,7
de,nova-2-lite,US,0.00047601691991760054,5.255547703180211,1.5562217760171178,3.3771200121816065,7
de,sonnet-5,US,0.023223599042790824,3.0035555555555558,1.4857086942967148,2.021631539941509,8
de,deepseek-v4-pro,CN,0.025972066452122928,3.4543898263634136,1.437758966150657,2.4026209592084316,8
de,glm-5.2,CN,0.05609262898397016,2.9992600813910473,1.5552224409617295,1.9285087472994173,8
de,hy3,CN,0.06959092600037148,7.692260061919503,1.67868101443904,4.582323857692525,8
de,kimi-k2.6,CN,0.008578707573046008,2.2136074954411122,1.4981504558013556,1.4775602055649752,8
de,kimi-k3,CN,0.02352594011603243,3.0742848111269168,1.8479339623797162,1.6636334813436413,8
