factor,level,mode,contrast,est,lo,hi,p
scale,individual,pg,US − CN of Δ,-3.3,-7.1,0.7,0.108
scale,individual,ctl,US − CN of Δ,1.6,-2.9,5.6,0.44066666666666665
scale,individual,de,US − CN of Δ,-1.7,-6.0,2.5,0.44733333333333336
scale,group,pg,US − CN of Δ,-1.6,-5.2,1.9,0.39
scale,group,ctl,US − CN of Δ,-1.8,-4.7,1.0,0.20933333333333334
scale,group,de,US − CN of Δ,1.5,-2.3,5.4,0.446
scale,society,pg,US − CN of Δ,0.6,-4.8,5.9,0.8173333333333334
scale,society,ctl,US − CN of Δ,-1.4,-5.0,2.0,0.43866666666666665
scale,society,de,US − CN of Δ,-4.9,-9.3,-0.9,0.018666666666666668
standing,low,pg,US − CN of Δ,-2.2,-7.0,2.5,0.348
standing,low,ctl,US − CN of Δ,-0.9,-5.0,2.6,0.638
standing,low,de,US − CN of Δ,-4.1,-8.3,0.0,0.052
standing,med,pg,US − CN of Δ,-0.4,-4.2,3.0,0.8413333333333334
standing,med,ctl,US − CN of Δ,0.4,-2.5,3.1,0.7606666666666667
standing,med,de,US − CN of Δ,-0.7,-5.1,3.8,0.758
standing,high,pg,US − CN of Δ,-1.6,-6.3,3.2,0.48933333333333334
standing,high,ctl,US − CN of Δ,-1.2,-5.3,2.9,0.5553333333333333
standing,high,de,US − CN of Δ,-0.3,-4.2,3.4,0.928
