factor,level,mean,lo,hi,n_models,dev_logodds,dev_se,dev_p,dev_q_bh,glmm_singular
context,Academia,13.715277777777777,10.382768534641297,17.047787020914257,24,0.0399328458398467,0.299692979627398,0.893998950967824,0.91267877950773,False
context,Diplomacy,12.847222222222221,9.77171433663678,15.922730107807663,24,-0.0331282578999077,0.30209889307689,0.91267877950773,0.91267877950773,False
context,Fiction,9.780907668231611,4.986956480247844,14.574858856215378,24,-0.22030353170043,0.300138143331016,0.46294440373731,0.61725920498308,False
context,Government,20.081018518518515,16.532624162131526,23.629412874905505,24,0.983292317092732,0.287590825320257,0.0006283623877652,0.0050268991021223,False
context,Interpersonal,11.921296296296296,9.28758869043872,14.55500390215387,24,-0.532742465725569,0.314631933808261,0.0904127628294487,0.361651051317795,False
context,Markets,12.789351851851853,9.291896567677703,16.286807136026002,24,-0.264583314031281,0.30772104737473,0.389890775523366,0.61725920498308,False
context,Media,12.962962962962964,10.435004316950835,15.490921608975093,24,-0.24030893854372,0.308659395962204,0.436240707438059,0.61725920498308,False
context,Work,15.914351851851853,12.47727951522347,19.351424188480237,24,0.267841344968329,0.297735344036656,0.368335607767982,0.61725920498308,False
domain,Attentional,9.49074074074074,6.506961556310872,12.47451992517061,24,-0.657883544610192,0.310268389656564,0.0339749200013017,0.090599786670138,False
domain,Epistemic,10.590277777777777,7.6158060953866755,13.564749460168878,24,-0.544380147841956,0.306459527050977,0.0756748345654421,0.131355037342635,False
domain,Health,19.90740740740741,16.402744078489818,23.412070736325,24,0.88344890302219,0.284296195419299,0.0018868040784916,0.0075472163139664,False
domain,Legal,19.7973721961398,15.93591233007274,23.658832062206862,24,0.972685974979622,0.281337878290516,0.0005454981279374,0.0043639850234994,False
domain,Physical,13.773148148148147,10.297406685954579,17.248889610341713,24,0.0149741945654888,0.295448940305904,0.959578242150531,0.959578242150531,False
domain,Rank,11.168981481481481,8.246923777741065,14.091039185221897,24,-0.534748875804762,0.307566123812374,0.082096898339147,0.131355037342635,False
domain,Status,9.895833333333334,6.392681574213485,13.398985092453183,24,-0.422365353546668,0.301618436492901,0.161414512857282,0.215219350476377,False
domain,Wealth,15.393518518518519,11.73744556359457,19.04959147344247,24,0.288268849236276,0.291358328120079,0.322469288439897,0.368536329645596,False
