bloc,mode,contrast,positive_condition,negative_condition,n_models,min_pairs,max_pairs,negative_rate,positive_rate,estimate,lo,hi,p_boot,n_draws,q
all,he,ai_minus_human,ai,human,24,168,168,3.149801587301587,4.9851190476190474,1.8353174603174611,1.0664682539682537,2.6537698412698414,0.0003999200159968006,5000,0.00047990401919616074
US,he,ai_minus_human,ai,human,12,168,168,2.8273809523809526,4.662698412698413,1.8353174603174607,0.992063492063492,2.777777777777778,0.0003999200159968006,5000,0.00047990401919616074
CN,he,ai_minus_human,ai,human,12,168,168,3.472222222222222,5.307539682539683,1.8353174603174605,0.7936507936507938,2.976190476190476,0.0007998400319936012,5000,0.0008725527621748376
all,de,ai_minus_human,ai,human,24,167,168,13.6419126033647,19.916714190666287,6.274801587301587,4.910408090517188,7.689388506406577,0.0003999200159968006,5000,0.00047990401919616074
US,de,ai_minus_human,ai,human,12,167,168,10.91477758768178,16.371126794030985,5.456349206349206,4.017857142857143,7.0430715949054274,0.0003999200159968006,5000,0.00047990401919616074
CN,de,ai_minus_human,ai,human,12,168,168,16.369047619047617,23.46230158730158,7.093253968253969,4.96031746031746,9.176587301587302,0.0003999200159968006,5000,0.00047990401919616074
all,pg,ai_minus_human,ai,human,24,168,168,21.825396825396822,29.73710317460317,7.911706349206349,6.274801587301586,9.673239087301582,0.0003999200159968006,5000,0.00047990401919616074
US,pg,ai_minus_human,ai,human,12,168,168,20.386904761904763,27.579365079365083,7.192460317460317,5.357142857142857,9.077380952380953,0.0003999200159968006,5000,0.00047990401919616074
CN,pg,ai_minus_human,ai,human,12,168,168,23.263888888888886,31.894841269841272,8.63095238095238,6.299603174603174,10.962301587301587,0.0003999200159968006,5000,0.00047990401919616074
all,control,ai_minus_human,ai,human,24,191,192,20.272278577661428,23.333765088714372,3.0614865110529372,1.5430715460526305,4.537536346387894,0.0003999200159968006,5000,0.00047990401919616074
US,control,ai_minus_human,ai,human,12,191,192,20.101848821989527,22.882807955206516,2.780959133216987,1.215277777777778,4.302882858187132,0.0011997600479904018,5000,0.0011997600479904018
CN,control,ai_minus_human,ai,human,12,192,192,20.442708333333336,23.784722222222218,3.342013888888889,1.302083333333333,5.468749999999999,0.0003999200159968006,5000,0.00047990401919616074
