contrast,pg,pg_lo,pg_hi,pg_p,excess,excess_lo,excess_hi,excess_p,he,he_lo,he_hi,he_p,de,de_lo,de_hi,de_p,model,origin
Spanish,0.5,-5.2,6.8,0.916,6.4,-1.4,14.4,0.11266666666666666,0.0,-3.6,3.6,1.0,-6.2,-10.9,-2.1,0.006,haiku-4.5,US
Portuguese,0.5,-5.2,6.3,0.9333333333333333,-1.2,-9.2,7.3,0.7833333333333333,2.6,-1.6,6.8,0.278,-0.5,-5.2,4.2,0.9193333333333333,haiku-4.5,US
French,11.5,5.2,17.7,0.0006666666666666666,8.1,-0.5,17.3,0.06866666666666667,0.5,-3.6,4.7,0.9093333333333333,3.1,-2.6,8.3,0.3006666666666667,haiku-4.5,US
German,5.7,0.0,12.0,0.06666666666666667,1.3,-7.2,9.8,0.736,4.2,-0.5,8.9,0.08533333333333333,1.0,-3.6,5.7,0.776,haiku-4.5,US
Chinese,15.1,8.3,21.9,0.0,3.4,-5.7,12.8,0.44533333333333336,5.7,1.6,9.9,0.012666666666666666,7.8,1.6,13.5,0.016,haiku-4.5,US
Hindi,14.1,7.3,21.4,0.0,1.6,-7.6,11.4,0.762,6.8,2.6,11.5,0.002,7.8,1.6,14.1,0.014,haiku-4.5,US
Swahili,-2.1,-8.9,4.7,0.5986666666666667,-7.8,-17.0,1.7,0.112,5.7,1.0,10.4,0.019333333333333334,1.0,-5.2,6.8,0.836,haiku-4.5,US
Spanish,4.2,0.0,8.3,0.07866666666666666,1.1,-4.2,6.2,0.696,0.0,-1.6,1.6,1.0,3.1,0.5,6.2,0.034,gpt-5.6-luna,US
Portuguese,4.2,-1.0,9.4,0.13733333333333334,-1.0,-7.3,5.2,0.7613333333333333,0.0,-1.6,1.6,1.0,5.2,2.1,8.9,0.0013333333333333333,gpt-5.6-luna,US
French,1.6,-2.6,5.7,0.5433333333333333,1.6,-3.1,6.2,0.5693333333333334,-0.5,-1.6,0.0,0.7306666666666667,0.5,-1.0,2.6,0.772,gpt-5.6-luna,US
German,1.0,-3.6,5.7,0.7553333333333333,-3.6,-9.3,2.6,0.25533333333333336,1.0,-1.0,3.1,0.436,3.6,1.0,6.8,0.017333333333333333,gpt-5.6-luna,US
Chinese,3.6,-0.5,7.8,0.106,2.1,-3.0,6.8,0.38466666666666666,0.0,-1.6,1.6,1.0,1.6,-0.5,4.2,0.22933333333333333,gpt-5.6-luna,US
Hindi,2.6,-1.6,6.8,0.29333333333333333,-2.5,-8.3,3.2,0.4186666666666667,0.5,-1.0,2.1,0.774,4.7,1.0,8.3,0.014,gpt-5.6-luna,US
Swahili,3.6,-1.0,8.3,0.15933333333333333,-1.5,-7.3,4.2,0.602,0.0,-1.6,1.6,1.0,5.2,2.1,8.9,0.0013333333333333333,gpt-5.6-luna,US
Spanish,8.9,2.1,15.1,0.012666666666666666,2.7,-6.3,11.6,0.534,1.6,-1.6,4.7,0.37333333333333335,5.2,-0.5,10.9,0.09466666666666666,minimax-m3,CN
Portuguese,-0.5,-7.8,6.8,0.9206666666666666,-2.1,-12.2,7.6,0.6486666666666666,-0.5,-4.2,3.1,0.916,2.1,-4.2,8.9,0.596,minimax-m3,CN
French,6.2,-1.0,13.5,0.104,4.2,-5.7,13.8,0.418,-0.5,-3.1,2.1,0.8533333333333334,2.6,-3.6,8.9,0.4806666666666667,minimax-m3,CN
