model,origin,tokens_30d,requests_30d,share_tokens,share_requests
gpt-5.6-luna,US,47825315042504,1870908101,0.32216222099661074,0.40030201264257786
gemini-3.1-flash-lite,US,1973494158591,422699058,0.013293906390171605,0.0904412587497379
gemma-4-31b,US,1560948083686,354134732,0.010514902014837953,0.07577114337709522
hy3,CN,23449248638569,325249994,0.15795948265869716,0.0695909260003714
glm-5.2,CN,10628570433714,262162444,0.07159647257735942,0.056092628983970126
nemotron-3-ultra,US,18381189247545,158297132,0.12381987964502225,0.03386946718616395
haiku-4.5,US,1029448829125,151932821,0.0069346019132027065,0.03250775064807126
gpt-5.6-sol,US,7441188445899,132951855,0.05012554113767163,0.02844655764364782
minimax-m3,CN,6539044484119,122366623,0.044048493822302616,0.02618172717355483
deepseek-v4-pro,CN,4537696737012,121386723,0.030566959312356673,0.02597206645212292
kimi-k3,CN,6799116560354,109954161,0.04580039859542548,0.023525940116032477
sonnet-5,US,5608205154789,108541097,0.03777814797175393,0.023223599042790862
gpt-5.6-terra,US,2525632980771,98452605,0.017013239322821918,0.021065051730942676
ling-3.0-flash,CN,405396763489,87814443,0.0027308449843849877,0.018788896286887655
qwen3.7-plus,CN,340997913253,70936243,0.0022970396533961712,0.015177613922899453
nemotron-3.5-lightning,US,4084955716049,68390177,0.02751719262038432,0.01463285421846711
grok-4.3,US,271373660725,51465037,0.0018280348217559659,0.011011528508970168
qwen3.8-27b,CN,908676301061,42864591,0.0061210506414150654,0.009171365519893556
kimi-k2.6,CN,756946460939,40094661,0.005098963860769263,0.008578707573046034
mimo-v2.5-pro,CN,1503163602416,33697443,0.01012565258054702,0.007209950208991343
qwen3.8-flash,CN,766362820282,19968240,0.00516239460318982,0.004272431476809362
inkling,US,1101659484277,16665732,0.007421029342331267,0.003565822425054439
nova-2-lite,US,5747080966,2224780,3.871364708436154e-05,0.0004760169199176258
seed-2-1-turbo,CN,6656082194,582737,4.483688650768503e-05,0.00012468319198394336
